language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,title_and_5_sentences,Dummy Classifier,No Upsampling,DummyProbSampling,0.38037979820488643,0.2779610033517798,0.0,0.3818190321438031,0.27830425199382575,0.37971552257266544,0.278504852116132,0.40568169373541785,0.2735098326311565,0.0,0.42299424869233576,0.2801614651641605,0.3960880195599022,0.27245813326291135
en,title_and_5_sentences,Dummy Classifier,No Upsampling,DummyUniformSampling,0.41320827126180143,0.33274540521210155,0.0,0.3848575602536107,0.283513664115413,0.49845392702535557,0.5188994945562547,0.43650375626182175,0.3151408061015554,0.0,0.4283174104517421,0.281781874659922,0.49877750611246946,0.494407394762515
en,title_and_5_sentences,Dummy Classifier,No Upsampling,DummyMostFrequent,0.2035383590482129,0.10199486851217235,0.0024330900243309003,0.15940727098182783,0.07959680222453946,0.28324056895485467,0.14285714285714285,0.21053891527858207,0.10394561973027734,0.0,0.16602179125026703,0.08183079056865464,0.2885085574572127,0.14285714285714285
en,title_and_5_sentences,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.4440829979041362,0.3705610306691714,0.0024330900243309003,0.4688669028017061,0.3212645588093864,0.8447742733457019,0.9270583387502507,0.4690139833667068,0.3519808537620243,0.0,0.4978063192006553,0.3147903647232019,0.8337408312958435,0.9218568665377177
en,title_and_5_sentences,KNN,No Upsampling,kNN,0.6058250743232747,0.46164285194998195,0.0705596107055961,0.7666493271203969,0.7741292176502775,0.6499690785405071,0.4706463315445432,0.46037066554509287,0.2790251341047141,0.009708737864077669,0.49476366369703784,0.31420755751112894,0.5256723716381418,0.33701846000643415
en,title_and_5_sentences,KNN,Random Oversampling,kNN_ROS,0.7145920637935168,0.6206636177359653,0.021897810218978103,0.7041220112915951,0.5848505993831035,0.8769325912183055,0.9097197261658939,0.5273995982129365,0.3719106240009959,0.0,0.552126075869361,0.3844350032319312,0.6797066014669927,0.6687688955656897
en,title_and_5_sentences,KNN,SMOTE,kNN_SMOTE,0.44245088253127196,0.36914208133296794,0.0024330900243309003,0.4684309784789219,0.32060474273156786,0.8453927025355596,0.9290117341434956,0.46989042672488085,0.3517550815130969,0.0,0.4982151891781946,0.3145937324620934,0.8361858190709046,0.9229906533857902
en,title_and_5_sentences,KNN,SVMSMOTE,kNN_SVMSMOTE,0.4476118354681259,0.37263108309086873,0.0024330900243309003,0.4728459709865225,0.32358414615654246,0.8447742733457019,0.9270583387502507,0.4696786200395621,0.3523145164311403,0.0,0.49870364135493495,0.3152103374141771,0.8337408312958435,0.9218568665377177
en,title_and_5_sentences,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6386871701165859,0.46706241376491603,0.08737864077669903,0.7337389381902542,0.6099303629765814,0.58679706601467,0.4054416357109051
en,title_and_5_sentences,LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6386871701165859,0.46706241376491603,0.08737864077669903,0.7337389381902542,0.6099303629765814,0.58679706601467,0.4054416357109051
en,title_and_5_sentences,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6386871701165859,0.46706241376491603,0.08737864077669903,0.7337389381902542,0.6099303629765814,0.58679706601467,0.4054416357109051
en,title_and_5_sentences,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6386871701165859,0.46706241376491603,0.08737864077669903,0.7337389381902542,0.6099303629765814,0.58679706601467,0.4054416357109051
en,title_and_5_sentences,LinearSVM,SMOTE,LinearSVM_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6386871701165859,0.46706241376491603,0.08737864077669903,0.7337389381902542,0.6099303629765814,0.58679706601467,0.4054416357109051
en,title_and_5_sentences,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6262981570930551,0.45588009224413956,0.06796116504854369,0.7194613173677629,0.5941672069435519,0.5745721271393643,0.3960647031196866
en,title_and_5_sentences,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6259594975888684,0.4525373232910918,0.0970873786407767,0.7364466241596094,0.6223148458675941,0.5721271393643031,0.3889785353192332
en,title_and_5_sentences,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6260514007464523,0.45842942533051684,0.07766990291262135,0.7137169192976848,0.5900419300504709,0.5794621026894865,0.40201708407206777
en,title_and_5_sentences,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6282654981571402,0.460078462287787,0.07766990291262135,0.7189781910350452,0.5963518808714425,0.5819070904645477,0.402442254140095
en,title_and_5_sentences,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6204003922478464,0.4447403299668646,0.06796116504854369,0.6821960638934965,0.5420573579072615,0.5819070904645477,0.4036175209948042
en,title_and_5_sentences,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6284593895314831,0.4311907604279032,0.04854368932038835,0.722722833817009,0.5268478707651243,0.5745721271393643,0.37865218505019216
en,title_and_5_sentences,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6189466920035372,0.42730744590566505,0.06796116504854369,0.7300758072523653,0.5466752091499396,0.5623471882640587,0.3694160437851755
en,title_and_5_sentences,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6307334091656666,0.4400319607901238,0.06796116504854369,0.7169809725927816,0.5250233190938746,0.5794621026894865,0.3898875302521027
en,title_and_5_sentences,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6315850670642783,0.43865048654111477,0.06796116504854369,0.7324410987104565,0.5392978462025506,0.5745721271393643,0.3836517025877036
en,title_and_5_sentences,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6377183391690987,0.46312491636450026,0.07766990291262135,0.7285505901377956,0.5922608082330809,0.5819070904645477,0.40523237952503993
en,title_and_5_sentences,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.617888390660402,0.4343916983834548,0.0970873786407767,0.71393952454456,0.5204957849322148,0.5599022004889975,0.38172008886407405
en,title_and_5_sentences,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.610361091378652,0.4180181366011902,0.0970873786407767,0.7089000545795182,0.5116770610395646,0.5550122249388753,0.36527789963757923
en,title_and_5_sentences,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6127713945668867,0.4214292383520579,0.07766990291262135,0.7032953101412759,0.501479737194023,0.5574572127139364,0.3716955827649887
en,title_and_5_sentences,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6107643657117218,0.425043524941118,0.07766990291262135,0.7053031470083332,0.5099168400327683,0.5550122249388753,0.37392302435413244
en,title_and_5_sentences,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6244435587438576,0.4367662427119467,0.07766990291262135,0.6966657378499564,0.5080729344462277,0.5745721271393643,0.39053199209087097
en,title_and_5_sentences,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidge_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6288536217441526,0.4481203738338858,0.08737864077669903,0.7246810025715769,0.5958495490751421,0.5770171149144254,0.3881513862777984
en,title_and_5_sentences,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.61648372794722,0.4152656928826265,0.0970873786407767,0.7210463138563088,0.55205495153527,0.5647921760391198,0.36012936186519656
