language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,title_and_first_paragraph,Dummy Classifier,No Upsampling,DummyProbSampling,0.4014656340498292,0.2777503937898255,0.0024330900243309003,0.39754225108813995,0.2752920133399056,0.4056895485466914,0.28050052102961265,0.4098153140529592,0.2751007505768165,0.0,0.4194769207063145,0.2739764086928346,0.4034229828850856,0.2810238110284525
en,title_and_first_paragraph,Dummy Classifier,No Upsampling,DummyUniformSampling,0.41560223271850094,0.332360232731439,0.0,0.39162935185987613,0.28621469564975793,0.49783549783549785,0.5131067965222346,0.45853256383864666,0.32936153495344245,0.0,0.4425157079281652,0.28978732564910403,0.5330073349633252,0.5405624112856575
en,title_and_first_paragraph,Dummy Classifier,No Upsampling,DummyMostFrequent,0.2035383590482129,0.10199486851217235,0.0024330900243309003,0.15940727098182783,0.07959680222453946,0.28324056895485467,0.14285714285714285,0.21053891527858207,0.10394561973027734,0.0,0.16602179125026703,0.08183079056865464,0.2885085574572127,0.14285714285714285
en,title_and_first_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.47826906003071623,0.39002863213761146,0.0024330900243309003,0.5139879814935451,0.34743932674784184,0.8373531230674088,0.9233372410452855,0.46308448286799,0.3499184381222733,0.0,0.4557077899670933,0.29661115781939523,0.7872860635696821,0.8978973407544836
en,title_and_first_paragraph,KNN,No Upsampling,kNN,0.575991123212218,0.4224451940143967,0.0705596107055961,0.6759025662041516,0.6479135305217758,0.7179962894248608,0.5072455012600173,0.47929704420281594,0.28452871989405243,0.0,0.3941275483605881,0.2305823388652278,0.6308068459657702,0.39444343886852595
en,title_and_first_paragraph,KNN,Random Oversampling,kNN_ROS,0.6946444305828612,0.6852789015802225,0.04866180048661801,0.6165501226475997,0.603686260379017,0.9103277674706246,0.9260265032880751,0.5404990824951709,0.3785031649149794,0.0,0.5056357384711295,0.3538701162199313,0.7188264058679706,0.558587768110342
en,title_and_first_paragraph,KNN,SMOTE,kNN_SMOTE,0.4679831845421167,0.3835503132496649,0.0024330900243309003,0.5062641419428884,0.3420486656016797,0.8416821273964131,0.9268047024635097,0.4607487036913866,0.3476631995021969,0.0,0.5021552924481765,0.3172996236256279,0.7921760391198044,0.9001649144506286
en,title_and_first_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,0.5014529256947912,0.4001529456518101,0.0024330900243309003,0.48319322784017654,0.33087004426472016,0.8676561533704391,0.9380792219800542,0.5134666043611763,0.3754256793405309,0.0,0.4856230542736756,0.3113372277687755,0.8386308068459658,0.9235209235209235
en,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6122771727061733,0.4229719503509584,0.05825242718446602,0.6899218209763893,0.5619649133340817,0.5770171149144254,0.37837581760194233
en,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6122771727061733,0.4229719503509584,0.05825242718446602,0.6899218209763893,0.5619649133340817,0.5770171149144254,0.37837581760194233
en,title_and_first_paragraph,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6122771727061733,0.4229719503509584,0.05825242718446602,0.6899218209763893,0.5619649133340817,0.5770171149144254,0.37837581760194233
en,title_and_first_paragraph,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6122771727061733,0.4229719503509584,0.05825242718446602,0.6899218209763893,0.5619649133340817,0.5770171149144254,0.37837581760194233
en,title_and_first_paragraph,LinearSVM,SMOTE,LinearSVM_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6122771727061733,0.4229719503509584,0.05825242718446602,0.6899218209763893,0.5619649133340817,0.5770171149144254,0.37837581760194233
en,title_and_first_paragraph,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6079594736632038,0.4200879920178063,0.06796116504854369,0.6884871941595163,0.5611225480466281,0.5721271393643031,0.37502224453000765
en,title_and_first_paragraph,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6095552389342169,0.4045714010864336,0.04854368932038835,0.6740883640113648,0.49055390468444665,0.5770171149144254,0.36921479889288605
