language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
fr,title_and_10_sentences,Dummy Classifier,No Upsampling,DummyProbSampling,0.2681122271046975,0.2031910475594669,0.0,0.2684396406687204,0.2023463972526311,0.2693069306930693,0.2055891361574688,0.2349180890748453,0.15379704440517078,0.023809523809523808,0.2665487562546386,0.15980969310801243,0.23015873015873015,0.16029993815708105
fr,title_and_10_sentences,Dummy Classifier,No Upsampling,DummyUniformSampling,0.35596895689131897,0.3008843331345834,0.0,0.2855561848501468,0.22592602371134904,0.5306930693069307,0.5382894563787973,0.32869205927015266,0.272645903312739,0.0,0.3001797382620765,0.21657817647976868,0.46825396825396826,0.5014734075448362
fr,title_and_10_sentences,Dummy Classifier,No Upsampling,DummyMostFrequent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,title_and_10_sentences,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.4139436140974648,0.3200916789651627,0.0,0.27445699245852684,0.2055104341837624,0.9306930693069307,0.8571428571428571,0.413784124907997,0.3063189738110634,0.0,0.28471479617637696,0.1984453134737382,0.9047619047619048,0.8334523809523811
fr,title_and_10_sentences,KNN,No Upsampling,kNN,0.3229251285550072,0.19766432985684093,0.029585798816568046,0.461530391449741,0.304162724692526,0.3326732673267327,0.2175231118088261,0.1191432128406918,0.07428971588635454,0.0,0.2816442816442817,0.13396127681841968,0.1349206349206349,0.09669758812615956
fr,title_and_10_sentences,KNN,Random Oversampling,kNN_ROS,0.7962540349559128,0.8158527215336395,0.04142011834319527,0.8702988395164427,0.8585244719800179,0.8534653465346534,0.8952304378996108,0.2728361250033077,0.17646491795098607,0.0,0.28346604453747315,0.16659471480900054,0.38095238095238093,0.27544063079777364
fr,title_and_10_sentences,KNN,SMOTE,kNN_SMOTE,0.4200743352620345,0.33899041470559554,0.0,0.2763164280684433,0.21445666519954318,1.0,1.0,0.4326245872293498,0.3369735795914958,0.0,0.294657658769157,0.21489196053655985,1.0,1.0
fr,title_and_10_sentences,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25092053915583323,0.16037715785614948,0.07142857142857142,0.3831128747795415,0.2332044939187796,0.20634920634920634,0.13591372912801486
fr,title_and_10_sentences,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25092053915583323,0.16037715785614948,0.07142857142857142,0.3831128747795415,0.2332044939187796,0.20634920634920634,0.13591372912801486
fr,title_and_10_sentences,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25092053915583323,0.16037715785614948,0.07142857142857142,0.3831128747795415,0.2332044939187796,0.20634920634920634,0.13591372912801486
fr,title_and_10_sentences,LinearSVM,SMOTE,LinearSVM_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25092053915583323,0.16037715785614948,0.07142857142857142,0.3831128747795415,0.2332044939187796,0.20634920634920634,0.13591372912801486
fr,title_and_10_sentences,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2558045440398381,0.16351687528158118,0.07142857142857142,0.393694885361552,0.24000721500721497,0.20634920634920634,0.13591372912801486
fr,title_and_10_sentences,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2504515092750387,0.16409962586433174,0.047619047619047616,0.4189814814814814,0.2648809523809524,0.19047619047619047,0.1265630797773655
fr,title_and_10_sentences,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25189339882434514,0.15903403927700605,0.07142857142857142,0.4055996472663139,0.2503968253968254,0.1984126984126984,0.1283766233766234
fr,title_and_10_sentences,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24851019230104196,0.15799276975747564,0.047619047619047616,0.38711504544837877,0.23562271062271062,0.1984126984126984,0.12942022263450834
fr,title_and_10_sentences,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2536823510766314,0.1772139500961675,0.07142857142857142,0.37831206556696756,0.2703548085901027,0.21428571428571427,0.14994434137291282
fr,title_and_10_sentences,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.294721300416912,0.2029462289966492,0.07142857142857142,0.5695728433823672,0.41867259724402583,0.23015873015873015,0.1584786641929499
fr,title_and_10_sentences,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2719909873118983,0.18811795519870053,0.047619047619047616,0.5558862433862434,0.4077380952380953,0.20634920634920634,0.14263450834879404
fr,title_and_10_sentences,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.294001369001369,0.21094738594738596,0.047619047619047616,0.5480442176870749,0.40943877551020413,0.23015873015873015,0.1658256029684601
fr,title_and_10_sentences,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.300836729408158,0.217425431711146,0.07142857142857142,0.5881410256410257,0.4471153846153846,0.23015873015873015,0.1658256029684601
fr,title_and_10_sentences,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.273181962070851,0.18953638953638954,0.09523809523809523,0.5449917146345717,0.3998233908948195,0.21428571428571427,0.14912801484230057
fr,title_and_10_sentences,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29771499692774656,0.23729886345093718,0.023809523809523808,0.46124790242437297,0.38455441617206326,0.2698412698412698,0.21452690166975882
fr,title_and_10_sentences,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2803140410347272,0.21372039165817966,0.023809523809523808,0.3775953757571405,0.28029384830855425,0.25396825396825395,0.1953942486085343
fr,title_and_10_sentences,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29332768194572895,0.22952347476689566,0.023809523809523808,0.42314296088805886,0.3399626517273576,0.2698412698412698,0.21209183673469387
fr,title_and_10_sentences,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28129179318570224,0.2168451022363064,0.023809523809523808,0.4166833400026677,0.31737695078031214,0.25396825396825395,0.19782931354359926
fr,title_and_10_sentences,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.272749604892462,0.20943104514533087,0.047619047619047616,0.4367207701794168,0.35101145721446475,0.24603174603174602,0.1887847866419295
fr,title_and_10_sentences,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidge_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2665549047901989,0.17551202299101457,0.047619047619047616,0.3829958621625288,0.23782814407814407,0.23015873015873015,0.1564378478664193
fr,title_and_10_sentences,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2796378454763548,0.1845459923099675,0.07142857142857142,0.41600529100529104,0.2717687074829932,0.23015873015873015,0.1541929499072356
fr,title_and_10_sentences,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidge_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3077137013847231,0.21840445732606792,0.07142857142857142,0.4990740740740741,0.35833333333333334,0.25396825396825395,0.18216914038342608
fr,title_and_10_sentences,LogisticRegressionRidge,SMOTE,LogisticRegressionRidge_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27883438158580476,0.18711654749876488,0.047619047619047616,0.458684470939373,0.3068932701285642,0.23809523809523808,0.16358070500927643
fr,title_and_10_sentences,LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidge_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27310955039763957,0.18699120116273935,0.07142857142857142,0.4100308641975309,0.2774801587301587,0.23015873015873015,0.15941403834260975
fr,title_and_10_sentences,NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.9362860058833427,0.9106431259457596,0.7041420118343196,0.9044813409778847,0.8690914758416024,0.9742574257425742,0.9621315192743765,0.44275273918131064,0.3912442930300073,0.0,0.44751133384673764,0.36356482544370744,0.5,0.4684338280766852
fr,title_and_10_sentences,NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.9260391818309054,0.8986645734762384,0.6449704142011834,0.8890156155699251,0.8500979808485406,0.9702970297029703,0.9597794853433951,0.4413674155860504,0.3838576865721934,0.0,0.45609764976224604,0.36027407375233456,0.49206349206349204,0.4581137909709338
fr,title_and_10_sentences,NaiveBayes,No Upsampling,ComplementNaiveBayes,0.9438541658839689,0.9228963640689047,0.7514792899408284,0.976638691587709,0.9846662221928746,0.9188118811881189,0.875755938984599,0.28758436595738185,0.19985784717927577,0.047619047619047616,0.41032848324514987,0.26537698412698413,0.2619047619047619,0.18747526283240568
fr,title_and_10_sentences,NaiveBayes,No Upsampling,NaiveBayes,0.358084003273964,0.19841648723081204,0.11242603550295859,0.504950495049505,0.2857142857142857,0.297029702970297,0.16376977241638896,0.16794495576008178,0.10494197679071629,0.047619047619047616,0.3600529100529101,0.18809523809523812,0.12698412698412698,0.08185528756957328
fr,title_and_10_sentences,NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.9317892367008727,0.9088027946763261,0.6863905325443787,0.8795416502276097,0.8395684210994744,0.996039603960396,0.9976130803198472,0.4532402561177167,0.4012988411787168,0.0,0.4311423281067661,0.3486153881842592,0.5396825396825397,0.530760667903525
