language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ge,raw_text,Dummy Classifier,No Upsampling,DummyProbSampling,0.3910415168548396,0.3202658404084809,0.0,0.3891942986853386,0.32139073941983026,0.3953098827470687,0.32161029065543534,0.3710024319805441,0.29978735646305305,0.0,0.4113495032099683,0.3257644819674895,0.3546511627906977,0.29934105221035784
ge,raw_text,Dummy Classifier,No Upsampling,DummyUniformSampling,0.4136947711565938,0.36639610736199807,0.0,0.3801033580152275,0.31341927703643296,0.5025125628140703,0.5170348281834459,0.4430715699320504,0.39655987213138755,0.0,0.4083489332085344,0.3428579246690702,0.5232558139534884,0.5374295332167954
ge,raw_text,Dummy Classifier,No Upsampling,DummyMostFrequent,0.16495777999294,0.09702138062016961,0.0,0.12489159746724163,0.0734549138804458,0.24288107202680068,0.14285714285714285,0.19125461685572054,0.10837593040982872,0.0,0.15564784053156144,0.08775510204081634,0.25,0.14285714285714285
ge,raw_text,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.3536930199318055,0.3214934025179477,0.0,0.2546640555401447,0.22118276123483405,0.6733668341708543,0.7099029266879165,0.36212100120706264,0.33586189928475113,0.0,0.25945333736031406,0.23172541743970315,0.6569767441860465,0.7142857142857143
ge,raw_text,KNN,No Upsampling,kNN,0.16429975966790472,0.10093167701863355,0.03546099290780142,0.22311557788944722,0.1357142857142857,0.1457286432160804,0.0899859943977591,0.03887203684979215,0.03542673107890499,0.0,0.10797342192691028,0.06802721088435373,0.03488372093023256,0.037698412698412696
ge,raw_text,KNN,Random Oversampling,kNN_ROS,0.5354084777257924,0.6496279036792615,0.07801418439716312,0.8132037814868185,0.8479220462000139,0.5008375209380235,0.6346571483505896,0.06966362126245848,0.08119113029827316,0.0,0.12774841437632134,0.1090909090909091,0.09883720930232558,0.1244047619047619
ge,raw_text,KNN,SMOTE,kNN_SMOTE,0.3988995387530913,0.373335049813213,0.0,0.36552643973587867,0.3009453781512605,0.7805695142378559,0.871031746031746,0.4072362735316373,0.3932150223521599,0.0,0.41976744186046505,0.33469387755102037,0.7558139534883721,0.8601190476190476
ge,raw_text,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45949995641529134,0.32415073941773126,0.02857142857142857,0.5253678063743191,0.3804509790186098,0.4418604651162791,0.31431519976411615
ge,raw_text,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45949995641529134,0.32415073941773126,0.02857142857142857,0.5253678063743191,0.3804509790186098,0.4418604651162791,0.31431519976411615
ge,raw_text,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45949995641529134,0.32415073941773126,0.02857142857142857,0.5253678063743191,0.3804509790186098,0.4418604651162791,0.31431519976411615
ge,raw_text,LinearSVM,SMOTE,LinearSVM_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45949995641529134,0.32415073941773126,0.02857142857142857,0.5253678063743191,0.3804509790186098,0.4418604651162791,0.31431519976411615
ge,raw_text,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4549823719732125,0.34110954860167236,0.02857142857142857,0.5259781456474492,0.408902790365158,0.42441860465116277,0.31669246646026833
ge,raw_text,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45562686247335665,0.34438189202179903,0.02857142857142857,0.5552681386002329,0.4700499765123441,0.43023255813953487,0.3208941471325372
ge,raw_text,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4661564691938214,0.33287730465514276,0.0,0.5208689137940312,0.3807642622266298,0.4476744186046512,0.32101577473094495
ge,raw_text,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46103923116241924,0.32627071674565256,0.02857142857142857,0.5193790789594632,0.37558582721626205,0.436046511627907,0.31011351909184726
ge,raw_text,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46006140147084673,0.3239258968315544,0.0,0.5032886258649061,0.36125119384138094,0.4418604651162791,0.31387291758808783
ge,raw_text,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4903723800137118,0.3655968520580771,0.02857142857142857,0.5421761576217949,0.4432942742314317,0.4883720930232558,0.3610263403607057
ge,raw_text,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46703301622694987,0.3220027448147573,0.02857142857142857,0.4962043968244528,0.34169205439612915,0.47093023255813954,0.331264435598801
ge,raw_text,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49099236740928326,0.34904514072048803,0.02857142857142857,0.506724884089126,0.3635323694695269,0.4941860465116279,0.3547517252515041
ge,raw_text,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4882915966599786,0.3505592580731148,0.02857142857142857,0.5237653049086166,0.38853236946952696,0.4883720930232558,0.3533732791362159
ge,raw_text,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4718968311625842,0.32624294291829026,0.0,0.4741986430568183,0.3249565043408668,0.48255813953488375,0.3397857388569463
ge,raw_text,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5184519765947592,0.4351988266142257,0.0,0.5946353065539113,0.5225726654298083,0.4941860465116279,0.4099254614126352
ge,raw_text,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4845567456196136,0.3623461448183099,0.0,0.5506029873838931,0.4229844090746346,0.45930232558139533,0.34426130101163277
ge,raw_text,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5157233501855223,0.4124083072292791,0.0,0.558147284172376,0.45776779611366075,0.5058139534883721,0.4067120707932296
ge,raw_text,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.520868334183219,0.41880527107725546,0.0,0.5866781702110019,0.4853577794754265,0.5058139534883721,0.40636070217560716
ge,raw_text,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5094867274467881,0.41253407355891836,0.0,0.547758781566111,0.45766231532485396,0.4941860465116279,0.39895528386793316
ge,raw_text,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidge_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4456840873261155,0.313781321235916,0.0,0.48372093023255813,0.3466836734693877,0.43023255813953487,0.3057938965059708
ge,raw_text,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43599416484549536,0.30187655933115404,0.0,0.45465116279069767,0.31096938775510197,0.42441860465116277,0.29865103936311366
