language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ge,title_and_first_paragraph,Dummy Classifier,No Upsampling,DummyProbSampling,0.3626065763479796,0.2924652311848657,0.0,0.36304846629447485,0.29272050438134295,0.36348408710217756,0.29341587381554346,0.34896147838777075,0.31153072496169326,0.0,0.4251809207554311,0.37625040477484084,0.3430232558139535,0.33663509263354463
ge,title_and_first_paragraph,Dummy Classifier,No Upsampling,DummyUniformSampling,0.40587106203239653,0.35780441052719214,0.0,0.3616945063738045,0.29793559521609153,0.5108877721943048,0.5187857683068843,0.45285116598687586,0.38410709625935197,0.0,0.44922752046555064,0.3540101128170567,0.5,0.4848418314694299
ge,title_and_first_paragraph,Dummy Classifier,No Upsampling,DummyMostFrequent,0.16495777999294,0.09702138062016961,0.0,0.12489159746724163,0.0734549138804458,0.24288107202680068,0.14285714285714285,0.19125461685572054,0.10837593040982872,0.0,0.15564784053156144,0.08775510204081634,0.25,0.14285714285714285
ge,title_and_first_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.5883435519462766,0.4853531871744815,0.0,0.5187956839245196,0.3916956144159792,0.9380234505862647,0.9637285279408567,0.5076036956817326,0.4450610374203873,0.0,0.4402015145306064,0.355015289883076,0.7674418604651163,0.8032194456730061
ge,title_and_first_paragraph,KNN,No Upsampling,kNN,0.4726227589619884,0.34180337861930504,0.07092198581560284,0.6307109684431075,0.5617242660720921,0.5125628140703518,0.3653676632302866,0.3635413299672326,0.26656979078803356,0.0,0.45362487753792097,0.3640258292432206,0.3488372093023256,0.2509128212688584
ge,title_and_first_paragraph,KNN,Random Oversampling,kNN_ROS,0.7030778868407365,0.6462110805545931,0.0070921985815602835,0.7058270836386678,0.6324994727141797,0.8525963149078727,0.8642567767435735,0.4592285156736771,0.3948348940265272,0.0,0.4298278178160189,0.347881953480693,0.5406976744186046,0.5240666442015403
ge,title_and_first_paragraph,KNN,SMOTE,kNN_SMOTE,0.4971508787779493,0.430274090398735,0.0,0.47889685016587585,0.36694513028071923,0.8793969849246231,0.9286937377690803,0.4967265749749465,0.44652997575322145,0.0,0.4196547813843887,0.34504699358423385,0.7906976744186046,0.8448897980244732
ge,title_and_first_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,0.6093150837800496,0.4978975159572568,0.0,0.5183140842057737,0.39161409672515496,0.9681742043551089,0.9813818221352467,0.5127379846111076,0.44316361371107954,0.0,0.4518789853839229,0.3587148780563675,0.7558139534883721,0.7758176077448524
ge,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36456319289217076,0.2929419033962796,0.0,0.4514849725358041,0.379556607331928,0.3313953488372093,0.26784424296034204
ge,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36456319289217076,0.2929419033962796,0.0,0.4514849725358041,0.379556607331928,0.3313953488372093,0.26784424296034204
ge,title_and_first_paragraph,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36456319289217076,0.2929419033962796,0.0,0.4514849725358041,0.379556607331928,0.3313953488372093,0.26784424296034204
ge,title_and_first_paragraph,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36456319289217076,0.2929419033962796,0.0,0.4514849725358041,0.379556607331928,0.3313953488372093,0.26784424296034204
ge,title_and_first_paragraph,LinearSVM,SMOTE,LinearSVM_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36456319289217076,0.2929419033962796,0.0,0.4514849725358041,0.379556607331928,0.3313953488372093,0.26784424296034204
