language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
po,title_and_5_sentences,Dummy Classifier,No Upsampling,DummyProbSampling,0.4134091130761312,0.35469316307578164,0.0064516129032258064,0.41786692824197236,0.3570292233817255,0.4108322324966975,0.3541879260971404,0.4382829501921298,0.3614783603771819,0.0,0.4522784219438927,0.3729017359452142,0.4320388349514563,0.3585609878842962
po,title_and_5_sentences,Dummy Classifier,No Upsampling,DummyUniformSampling,0.4203200268596697,0.3752526183955584,0.0,0.4025701234565554,0.3371217236203067,0.47688243064729197,0.4758479703717219,0.49134710248716523,0.44878281110423973,0.0,0.5059480562155072,0.42509695188290647,0.529126213592233,0.5577097714315761
po,title_and_5_sentences,Dummy Classifier,No Upsampling,DummyMostFrequent,0.2511785852876489,0.15477318476370958,0.0064516129032258064,0.19679550006391955,0.12119815668202764,0.3474240422721268,0.21428571428571427,0.28122326622015403,0.1649597200707844,0.0,0.2335075927308937,0.13553113553113552,0.3592233009708738,0.21428571428571427
po,title_and_5_sentences,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.36395662156190417,0.374989991502847,0.0,0.5690339863189768,0.44726521849481854,0.6750330250990753,0.7993630458191753,0.365887347955842,0.38653678391196783,0.0,0.5884770132342947,0.4596248938354201,0.6553398058252428,0.7944548872180451
po,title_and_5_sentences,KNN,No Upsampling,kNN,0.44899742628394096,0.3786365755865112,0.012903225806451613,0.6748395951710012,0.5569023935756147,0.49273447820343463,0.42425897828262193,0.3491171344770682,0.25994371482176365,0.0,0.5537679149329635,0.41567583555161186,0.35436893203883496,0.27947788427111736
po,title_and_5_sentences,KNN,Random Oversampling,kNN_ROS,0.6040703857849297,0.6415028330588691,0.0,0.819203721227908,0.7839295780921287,0.6737120211360634,0.7443106805814824,0.41560535969184487,0.38386245448558626,0.0,0.6088238561054096,0.5154555354555355,0.48058252427184467,0.482321531851607
po,title_and_5_sentences,KNN,SMOTE,kNN_SMOTE,0.3397407703443334,0.3589960021011701,0.0,0.4500219644999438,0.3737836767736474,0.6618229854689565,0.7915114145750979,0.3375350803517705,0.36780347164835153,0.0,0.344204892365342,0.31554848660111817,0.6407766990291263,0.7849310776942356
po,title_and_5_sentences,KNN,SVMSMOTE,kNN_SVMSMOTE,0.4852807068755634,0.4606815581678298,0.0,0.5976097870960858,0.4732834913287878,0.7595772787318362,0.8538079237706759,0.4519114221358546,0.43041256132388245,0.0,0.5867872147610792,0.4617164310192837,0.7038834951456311,0.8141827783745077
po,title_and_5_sentences,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5033188393461592,0.38740943411524237,0.02564102564102564,0.5793013637909723,0.49829806758012823,0.5048543689320388,0.37771007188300426
po,title_and_5_sentences,LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5033188393461592,0.38740943411524237,0.02564102564102564,0.5793013637909723,0.49829806758012823,0.5048543689320388,0.37771007188300426
po,title_and_5_sentences,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5033188393461592,0.38740943411524237,0.02564102564102564,0.5793013637909723,0.49829806758012823,0.5048543689320388,0.37771007188300426
po,title_and_5_sentences,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5033188393461592,0.38740943411524237,0.02564102564102564,0.5793013637909723,0.49829806758012823,0.5048543689320388,0.37771007188300426
po,title_and_5_sentences,LinearSVM,SMOTE,LinearSVM_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5033188393461592,0.38740943411524237,0.02564102564102564,0.5793013637909723,0.49829806758012823,0.5048543689320388,0.37771007188300426
po,title_and_5_sentences,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5085094430709556,0.3914828978301871,0.02564102564102564,0.5788726662748961,0.49687013043790534,0.5145631067961165,0.38621347324354843
po,title_and_5_sentences,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5055307210047705,0.3927775120385709,0.02564102564102564,0.577241934547077,0.4974477274440738,0.5097087378640777,0.3874039494340246
po,title_and_5_sentences,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5086681020417121,0.390636410962725,0.02564102564102564,0.5778169278114693,0.4952018750251213,0.5145631067961165,0.38342525269217004
po,title_and_5_sentences,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5092628736066969,0.39320958576468046,0.02564102564102564,0.5809753733797138,0.5011097740531619,0.5145631067961165,0.3864014431683605
po,title_and_5_sentences,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5185345869332376,0.412644768351527,0.02564102564102564,0.5620443322386611,0.47417442538277754,0.5242718446601942,0.4146523589192763
po,title_and_5_sentences,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4813424017859041,0.36633852579370846,0.0,0.5689739388280894,0.4813175045130496,0.4854368932038835,0.35989733950260266
po,title_and_5_sentences,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4852716721778169,0.37141031735618324,0.0,0.5781741237564297,0.4927120623361788,0.4854368932038835,0.35989733950260266
po,title_and_5_sentences,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4858898428556585,0.3756386267523831,0.0,0.5806285035666061,0.5112094612957627,0.4854368932038835,0.36406400616926937
po,title_and_5_sentences,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47504764360315865,0.36306132310365086,0.0,0.5651061405177066,0.47876197301663137,0.47572815533980584,0.3537569886254096
