language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
po,title_and_first_paragraph,Dummy Classifier,No Upsampling,DummyProbSampling,0.4110110194093674,0.34882611797118657,0.0,0.4171352798944509,0.3506314526543505,0.40686922060766184,0.3488842692142331,0.45357246529808004,0.3545090229549747,0.0,0.4631978505979077,0.36512646510573316,0.46601941747572817,0.3657907255651617
po,title_and_first_paragraph,Dummy Classifier,No Upsampling,DummyUniformSampling,0.4507208733948933,0.40302749103817925,0.0,0.412288719051935,0.34904674480302805,0.5310435931307794,0.5264005253846674,0.4377687067486989,0.37743269948647196,0.0,0.4531513806161377,0.36365023005889874,0.46116504854368934,0.4318486025252942
po,title_and_first_paragraph,Dummy Classifier,No Upsampling,DummyMostFrequent,0.2511785852876489,0.15477318476370958,0.0064516129032258064,0.19679550006391955,0.12119815668202764,0.3474240422721268,0.21428571428571427,0.28122326622015403,0.1649597200707844,0.0,0.2335075927308937,0.13553113553113552,0.3592233009708738,0.21428571428571427
po,title_and_first_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.34759813969911973,0.36331230503486805,0.0,0.4474532072946868,0.37124902747022565,0.6684280052840158,0.7959656522479241,0.3610239120757108,0.37908346382369384,0.0,0.45222668523639403,0.36840867761920393,0.6504854368932039,0.7886725742928752
po,title_and_first_paragraph,KNN,No Upsampling,kNN,0.6051714671421233,0.5271619921079892,0.05161290322580645,0.7378628639389057,0.708975401575022,0.6486129458388376,0.5583063263466133,0.41867192498260464,0.32007833436404864,0.0,0.4262492140133488,0.325517782870724,0.4368932038834951,0.3356402682530502
po,title_and_first_paragraph,KNN,Random Oversampling,kNN_ROS,0.635129997507636,0.640269868010013,0.0,0.607868468714586,0.6120513536224674,0.7846763540290621,0.8238590781264286,0.4440732558603405,0.3819972062973189,0.0,0.41814399865582436,0.357315949019803,0.5485436893203883,0.5114865710730372
po,title_and_first_paragraph,KNN,SMOTE,kNN_SMOTE,0.32193693505593135,0.34659497980690457,0.0,0.33780987836470006,0.2998204560416542,0.6538969616908851,0.7864992150706437,0.3375883600107807,0.3680647956901634,0.0,0.3442359658506823,0.31570089464826306,0.6407766990291263,0.7849310776942356
po,title_and_first_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,0.42686100352889106,0.4154294976468586,0.0,0.4553012232971636,0.3770698960517568,0.7384412153236459,0.8415010118968811,0.427513138882266,0.41186138872571204,0.0,0.4562408221602966,0.3704079789993102,0.6844660194174758,0.7989764934313807
po,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4544277078693502,0.3611433309266126,0.02564102564102564,0.5261878089547992,0.43664311878597584,0.42718446601941745,0.3329169890260116
po,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4544277078693502,0.3611433309266126,0.02564102564102564,0.5261878089547992,0.43664311878597584,0.42718446601941745,0.3329169890260116
po,title_and_first_paragraph,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4544277078693502,0.3611433309266126,0.02564102564102564,0.5261878089547992,0.43664311878597584,0.42718446601941745,0.3329169890260116
po,title_and_first_paragraph,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4544277078693502,0.3611433309266126,0.02564102564102564,0.5261878089547992,0.43664311878597584,0.42718446601941745,0.3329169890260116
po,title_and_first_paragraph,LinearSVM,SMOTE,LinearSVM_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4544277078693502,0.3611433309266126,0.02564102564102564,0.5261878089547992,0.43664311878597584,0.42718446601941745,0.3329169890260116
po,title_and_first_paragraph,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4520407687822227,0.3647878100711865,0.02564102564102564,0.5264161617636324,0.4417990183027777,0.4223300970873786,0.33470270331172586
po,title_and_first_paragraph,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.471256438829006,0.38317804218045637,0.0,0.5335591133004927,0.4489649307999061,0.45145631067961167,0.3616257802348028
po,title_and_first_paragraph,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46081826036137863,0.37385486546477253,0.02564102564102564,0.5308021266759131,0.4471248328391186,0.4320388349514563,0.34422651283553535
po,title_and_first_paragraph,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45409396221477827,0.36516942020511867,0.02564102564102564,0.525953840912962,0.43966371973890767,0.42718446601941745,0.3376788937879163
po,title_and_first_paragraph,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45673640176047914,0.3752446115870808,0.0,0.4998952183399581,0.4092227749516752,0.4368932038834951,0.36230426841329094
po,title_and_first_paragraph,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44408617112081283,0.3356929299218915,0.0,0.5068938343210189,0.4016968150896722,0.4320388349514563,0.3197926134016359
po,title_and_first_paragraph,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44112039681009274,0.3291689955618227,0.0,0.5182038834951457,0.41636904761904764,0.42718446601941745,0.3084830895921121
po,title_and_first_paragraph,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.448415954847545,0.3448087765654851,0.0,0.541451251951463,0.4518491817016662,0.42718446601941745,0.3174116610206835
po,title_and_first_paragraph,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44375708969467637,0.3363746725431458,0.0,0.5113450017622189,0.40774740853883307,0.4320388349514563,0.320387851496874
po,title_and_first_paragraph,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4704448566518738,0.3741827422382369,0.02564102564102564,0.5416080261373635,0.4516017109184811,0.4563106796116505,0.3609472920563146
po,title_and_first_paragraph,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4831086825274357,0.39506592260351653,0.02564102564102564,0.6051375404530744,0.5204365079365079,0.44660194174757284,0.35568820277466895
po,title_and_first_paragraph,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46970998536613257,0.37957278513898185,0.02564102564102564,0.5733600593769632,0.47821233190503143,0.441747572815534,0.3491405837270499
po,title_and_first_paragraph,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4837705223848373,0.38820650554001795,0.02564102564102564,0.5828028302958042,0.4782946950710108,0.4563106796116505,0.3604174021467254
po,title_and_first_paragraph,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48369538535136947,0.39362783573064714,0.02564102564102564,0.6034924487594391,0.511359126984127,0.45145631067961167,0.3592596313460975
po,title_and_first_paragraph,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42938255983621043,0.33839597152401224,0.0,0.5427920529479038,0.432829096550901,0.36893203883495146,0.29074190220806756
po,title_and_first_paragraph,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidge_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47834222289635525,0.4019385076708006,0.0,0.5279807441782555,0.44940556233125895,0.46601941747572817,0.3926614112704338
po,title_and_first_paragraph,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47329056951531673,0.3937616777725282,0.02564102564102564,0.5225579255950998,0.4398234719193366,0.4563106796116505,0.37837569698471946
po,title_and_first_paragraph,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidge_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4701411310035265,0.4018049179744493,0.0,0.5038788016049129,0.42694179949819044,0.46116504854368934,0.3990716676806902
po,title_and_first_paragraph,LogisticRegressionRidge,SMOTE,LogisticRegressionRidge_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4800866383987627,0.4199408305511722,0.0,0.5235479388639989,0.4578642089478003,0.470873786407767,0.4164709350799575
po,title_and_first_paragraph,LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidge_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4720681483510206,0.407930946732351,0.02564102564102564,0.5121577866436068,0.43778970090060315,0.4563106796116505,0.3992090303180529
po,title_and_first_paragraph,NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.9356466615881247,0.9160833723898673,0.5935483870967742,0.9132007534001348,0.8738408028289107,0.9656538969616909,0.9714146317873918,0.5390645472868957,0.4801952293677256,0.0,0.5570185542240641,0.467643085104722,0.558252427184466,0.5329688481944121
po,title_and_first_paragraph,NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.9281162711876106,0.9070846433864626,0.6,0.904142264297989,0.8632813973898176,0.9603698811096433,0.963847109702947,0.5550049089165718,0.49872815886176697,0.0,0.5813390577809439,0.49212302373862765,0.5679611650485437,0.5427543008370076
po,title_and_first_paragraph,NaiveBayes,No Upsampling,ComplementNaiveBayes,0.9604981452293273,0.9576293342585078,0.7419354838709677,0.9698190082744671,0.9668565220085911,0.952443857331572,0.9496399653676002,0.5053185555880216,0.42244142634900983,0.02564102564102564,0.6070998612403524,0.5227638374697198,0.470873786407767,0.39446509004779673
