language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ru,title_and_5_sentences,Dummy Classifier,No Upsampling,DummyProbSampling,0.20826342379334334,0.17452735170804615,0.0196078431372549,0.21313004130081095,0.1764547941044551,0.206266318537859,0.17583792483173286,0.2340572703989797,0.20188391145932055,0.02631578947368421,0.23537702607470048,0.19407854050711193,0.2558139534883721,0.23273809523809524
ru,title_and_5_sentences,Dummy Classifier,No Upsampling,DummyUniformSampling,0.2960772661721173,0.25201145643116163,0.0,0.22564518496460587,0.18052767442516934,0.4908616187989556,0.5000019702806081,0.2840977803338811,0.21498275108727824,0.0,0.21595880519234786,0.1539144480342584,0.47674418604651164,0.4356292517006803
ru,title_and_5_sentences,Dummy Classifier,No Upsampling,DummyMostFrequent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ru,title_and_5_sentences,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.38350521158702655,0.32759483032233166,0.0,0.24982229402588463,0.21146096183239588,0.9321148825065274,0.9071810542398778,0.3348986301409078,0.24668230363432514,0.0,0.21173891149411345,0.15132312763891712,0.8953488372093024,0.7767857142857143
ru,title_and_5_sentences,KNN,No Upsampling,kNN,0.22720410720954462,0.15330150610622822,0.026143790849673203,0.6155907097390741,0.45424836601307195,0.24281984334203655,0.1493775717459928,0.07011032283834752,0.047532191171042064,0.0,0.16589147286821704,0.10952380952380951,0.10465116279069768,0.07653061224489796
ru,title_and_5_sentences,KNN,Random Oversampling,kNN_ROS,0.8427176895004194,0.8888027299929718,0.24836601307189543,0.8406774170419813,0.878521604395825,0.9086161879895561,0.9356577532661123,0.24928940568475452,0.22046485260770976,0.02631578947368421,0.3053066355391937,0.26572439786725505,0.3023255813953488,0.27933673469387754
ru,title_and_5_sentences,KNN,SMOTE,kNN_SMOTE,0.4011667451140997,0.3476539345628083,0.0,0.2582943618317157,0.2196418477822866,1.0,1.0,0.3485659398604673,0.2685257882583786,0.0,0.21940850828932226,0.16349797306094296,0.9651162790697675,0.8951530612244899
ru,title_and_5_sentences,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22116602287960915,0.1313945035749547,0.07894736842105263,0.3627906976744186,0.2119047619047619,0.16279069767441862,0.0977891156462585
ru,title_and_5_sentences,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22116602287960915,0.1313945035749547,0.07894736842105263,0.3627906976744186,0.2119047619047619,0.16279069767441862,0.0977891156462585
ru,title_and_5_sentences,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22116602287960915,0.1313945035749547,0.07894736842105263,0.3627906976744186,0.2119047619047619,0.16279069767441862,0.0977891156462585
