model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.23 $\pm$ 0.06,0.42 $\pm$ 0.03,0.45 $\pm$ 0.08,0.43 $\pm$ 0.04,0.57 $\pm$ 0.04,0.68 $\pm$ 0.02
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.16 $\pm$ 0.01,0.23 $\pm$ 0.05,0.16 $\pm$ 0.01,0.19 $\pm$ 0.01,0.19 $\pm$ 0.02,0.19 $\pm$ 0.01
ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,0.55 $\pm$ 0.02,0.63 $\pm$ 0.01,0.65 $\pm$ 0.01,0.64 $\pm$ 0.01,0.65 $\pm$ 0.02,0.68 $\pm$ 0.01
Dummy Classifier,No Upsampling,DummyMostFrequent,0.23 $\pm$ 0.00,0.23 $\pm$ 0.00,0.23 $\pm$ 0.00,0.23 $\pm$ 0.00,0.23 $\pm$ 0.00,0.23 $\pm$ 0.00
Dummy Classifier,No Upsampling,DummyProbSampling,0.40 $\pm$ 0.01,0.38 $\pm$ 0.01,0.40 $\pm$ 0.01,0.40 $\pm$ 0.02,0.40 $\pm$ 0.01,0.39 $\pm$ 0.01
Dummy Classifier,No Upsampling,DummyUniformSampling,0.39 $\pm$ 0.01,0.40 $\pm$ 0.01,0.39 $\pm$ 0.01,0.41 $\pm$ 0.01,0.41 $\pm$ 0.01,0.40 $\pm$ 0.01
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.36 $\pm$ 0.02,0.39 $\pm$ 0.08,0.36 $\pm$ 0.07,0.45 $\pm$ 0.08,0.40 $\pm$ 0.11,0.50 $\pm$ 0.05
KNN,No Upsampling,kNN,0.42 $\pm$ 0.08,0.51 $\pm$ 0.05,0.54 $\pm$ 0.04,0.55 $\pm$ 0.04,0.56 $\pm$ 0.06,0.66 $\pm$ 0.02
KNN,Random Oversampling,kNN_ROS,0.45 $\pm$ 0.05,0.48 $\pm$ 0.01,0.53 $\pm$ 0.06,0.52 $\pm$ 0.01,0.54 $\pm$ 0.02,0.61 $\pm$ 0.02
KNN,SMOTE,kNN_SMOTE,0.36 $\pm$ 0.06,0.33 $\pm$ 0.11,0.42 $\pm$ 0.08,0.51 $\pm$ 0.05,0.45 $\pm$ 0.07,0.50 $\pm$ 0.05
KNN,SVMSMOTE,kNN_SVMSMOTE,0,0.36 $\pm$ 0.09,0,0,0.42 $\pm$ 0.08,0
LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.56 $\pm$ 0.00,0.65 $\pm$ 0.01,0.68 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01
LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,0,0.65 $\pm$ 0.01,0,0,0.67 $\pm$ 0.02,0
LinearSVM,No Upsampling,LinearSVM,0.58 $\pm$ 0.00,0.65 $\pm$ 0.01,0.68 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01
LinearSVM,RakelD Partitioning of labels,RakelD_LineaSVM,0.57 $\pm$ 0.01,0.64 $\pm$ 0.02,0.66 $\pm$ 0.02,0.66 $\pm$ 0.02,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01
LinearSVM,Random Oversampling,LinearSVM_ROS,0.58 $\pm$ 0.00,0.65 $\pm$ 0.01,0.68 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01
LinearSVM,SMOTE,LinearSVM_SMOTE,0.55 $\pm$ 0.02,0.65 $\pm$ 0.01,0.68 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.56 $\pm$ 0.00,0.64 $\pm$ 0.01,0.67 $\pm$ 0.02,0.67 $\pm$ 0.01,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01
LogisticRegression,No Upsampling,LogisticRegression,0.58 $\pm$ 0.00,0.64 $\pm$ 0.02,0.67 $\pm$ 0.03,0.66 $\pm$ 0.02,0.67 $\pm$ 0.03,0.68 $\pm$ 0.02
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.58 $\pm$ 0.00,0.64 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.01,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01
