model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.38 $\pm$ 0.07,0.34 $\pm$ 0.05,0.31 $\pm$ 0.05,0.32 $\pm$ 0.07,0.20 $\pm$ 0.11,0.20 $\pm$ 0.10
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.23 $\pm$ 0.03,0.22 $\pm$ 0.01,0.24 $\pm$ 0.03,0.19 $\pm$ 0.04,0.15 $\pm$ 0.05,0.15 $\pm$ 0.05
ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,0.46 $\pm$ 0.04,0.47 $\pm$ 0.04,0.53 $\pm$ 0.01,0.57 $\pm$ 0.02,0.51 $\pm$ 0.05,0.53 $\pm$ 0.04
Dummy Classifier,No Upsampling,DummyMostFrequent,0.23 $\pm$ 0.01,0.23 $\pm$ 0.01,0.23 $\pm$ 0.01,0.23 $\pm$ 0.01,0.23 $\pm$ 0.01,0.23 $\pm$ 0.01
Dummy Classifier,No Upsampling,DummyProbSampling,0.43 $\pm$ 0.04,0.42 $\pm$ 0.03,0.42 $\pm$ 0.04,0.43 $\pm$ 0.02,0.40 $\pm$ 0.03,0.42 $\pm$ 0.03
Dummy Classifier,No Upsampling,DummyUniformSampling,0.43 $\pm$ 0.02,0.42 $\pm$ 0.03,0.43 $\pm$ 0.03,0.41 $\pm$ 0.02,0.40 $\pm$ 0.00,0.40 $\pm$ 0.04
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.39 $\pm$ 0.06,0.38 $\pm$ 0.09,0.27 $\pm$ 0.02,0.27 $\pm$ 0.04,0.23 $\pm$ 0.09,0.32 $\pm$ 0.10
KNN,No Upsampling,kNN,0.46 $\pm$ 0.05,0.38 $\pm$ 0.04,0.47 $\pm$ 0.06,0.46 $\pm$ 0.02,0.29 $\pm$ 0.04,0.30 $\pm$ 0.09
KNN,Random Oversampling,kNN_ROS,0.48 $\pm$ 0.05,0.45 $\pm$ 0.03,0.50 $\pm$ 0.04,0.54 $\pm$ 0.04,0.33 $\pm$ 0.04,0.38 $\pm$ 0.08
KNN,SMOTE,kNN_SMOTE,0.39 $\pm$ 0.06,0.37 $\pm$ 0.11,0.27 $\pm$ 0.02,0.20 $\pm$ 0.03,0.23 $\pm$ 0.05,0.19 $\pm$ 0.03
KNN,SVMSMOTE,kNN_SVMSMOTE,0.42 $\pm$ 0.03,0.38 $\pm$ 0.04,0.34 $\pm$ 0.04,0.25 $\pm$ 0.06,0,0
LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.48 $\pm$ 0.04,0.54 $\pm$ 0.04,0.59 $\pm$ 0.05,0.59 $\pm$ 0.03,0.57 $\pm$ 0.04,0.61 $\pm$ 0.04
