model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.06 $\pm$ 0.04,0.21 $\pm$ 0.08,0.06 $\pm$ 0.05,0.04 $\pm$ 0.00,0.12 $\pm$ 0.01,0.00 $\pm$ 0.00
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.27 $\pm$ 0.06,0.35 $\pm$ 0.02,0.21 $\pm$ 0.01,0.25 $\pm$ 0.03,0.21 $\pm$ 0.00,0.19 $\pm$ 0.02
ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,0.44 $\pm$ 0.01,0.40 $\pm$ 0.02,0.37 $\pm$ 0.01,0.37 $\pm$ 0.02,0.51 $\pm$ 0.05,0.46 $\pm$ 0.06
Dummy Classifier,No Upsampling,DummyMostFrequent,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
Dummy Classifier,No Upsampling,DummyProbSampling,0.33 $\pm$ 0.00,0.33 $\pm$ 0.02,0.32 $\pm$ 0.01,0.31 $\pm$ 0.00,0.34 $\pm$ 0.03,0.34 $\pm$ 0.01
Dummy Classifier,No Upsampling,DummyUniformSampling,0.53 $\pm$ 0.02,0.49 $\pm$ 0.03,0.48 $\pm$ 0.01,0.49 $\pm$ 0.04,0.51 $\pm$ 0.01,0.49 $\pm$ 0.01
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.95 $\pm$ 0.03,0.85 $\pm$ 0.12,0.95 $\pm$ 0.05,**1.00 $\pm$ 0.00**,0.80 $\pm$ 0.03,0.97 $\pm$ 0.04
KNN,No Upsampling,kNN,0.15 $\pm$ 0.05,0.31 $\pm$ 0.06,0.12 $\pm$ 0.04,0.10 $\pm$ 0.03,0.20 $\pm$ 0.06,0.04 $\pm$ 0.02
KNN,Random Oversampling,kNN_ROS,0.32 $\pm$ 0.03,0.64 $\pm$ 0.04,0.30 $\pm$ 0.03,0.33 $\pm$ 0.11,0.45 $\pm$ 0.06,0.18 $\pm$ 0.01
KNN,SMOTE,kNN_SMOTE,0.96 $\pm$ 0.04,0.88 $\pm$ 0.10,0.97 $\pm$ 0.04,**1.00 $\pm$ 0.00**,0.81 $\pm$ 0.00,0.95 $\pm$ 0.06
