model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.29 $\pm$ 0.07,0.29 $\pm$ 0.04,0.29 $\pm$ 0.01,0.23 $\pm$ 0.04,0.18 $\pm$ 0.04,0.13 $\pm$ 0.03
ComplementNB,RakelD Partitioning of labels,0.47 $\pm$ 0.04,0.49 $\pm$ 0.04,0.50 $\pm$ 0.01,0.51 $\pm$ 0.02,0.56 $\pm$ 0.04,0.60 $\pm$ 0.04
Dummy Classifier,No Upsampling,0.46 $\pm$ 0.03,0.44 $\pm$ 0.02,0.45 $\pm$ 0.02,0.43 $\pm$ 0.01,0.42 $\pm$ 0.01,0.42 $\pm$ 0.01
KNN,BorderlineSMOTE,0.44 $\pm$ 0.07,0.36 $\pm$ 0.01,0.28 $\pm$ 0.04,0.31 $\pm$ 0.05,0.28 $\pm$ 0.05,0.31 $\pm$ 0.05
KNN,No Upsampling,0.38 $\pm$ 0.07,0.33 $\pm$ 0.08,0.35 $\pm$ 0.07,0.27 $\pm$ 0.06,0.19 $\pm$ 0.03,0.16 $\pm$ 0.03
KNN,Random Oversampling,0.46 $\pm$ 0.06,0.36 $\pm$ 0.08,0.44 $\pm$ 0.05,0.31 $\pm$ 0.08,0.22 $\pm$ 0.05,0.24 $\pm$ 0.07
KNN,SMOTE,0.43 $\pm$ 0.06,0.35 $\pm$ 0.03,0.28 $\pm$ 0.04,0.28 $\pm$ 0.04,0.28 $\pm$ 0.04,0.28 $\pm$ 0.04
KNN,SVMSMOTE,0.44 $\pm$ 0.07,0.33 $\pm$ 0.03,0.29 $\pm$ 0.04,0.29 $\pm$ 0.06,0,0
LinearSVM,BorderlineSMOTE,0.47 $\pm$ 0.03,0.49 $\pm$ 0.03,0.49 $\pm$ 0.02,0.50 $\pm$ 0.01,0.56 $\pm$ 0.04,0.60 $\pm$ 0.02
LinearSVM,No Upsampling,0.46 $\pm$ 0.03,0.49 $\pm$ 0.03,0.49 $\pm$ 0.02,0.50 $\pm$ 0.01,0.56 $\pm$ 0.04,0.60 $\pm$ 0.02
LinearSVM,RakelD Partitioning of labels,0.45 $\pm$ 0.04,0.48 $\pm$ 0.03,0.50 $\pm$ 0.02,0.49 $\pm$ 0.02,0.53 $\pm$ 0.03,0.59 $\pm$ 0.02
LinearSVM,Random Oversampling,0.47 $\pm$ 0.03,0.49 $\pm$ 0.03,0.49 $\pm$ 0.02,0.50 $\pm$ 0.01,0.56 $\pm$ 0.04,0.60 $\pm$ 0.02
LinearSVM,SMOTE,0.47 $\pm$ 0.03,0.49 $\pm$ 0.03,0.49 $\pm$ 0.02,0.50 $\pm$ 0.01,0.56 $\pm$ 0.04,0.60 $\pm$ 0.02
LogisticRegression,BorderlineSMOTE,0.47 $\pm$ 0.03,0.49 $\pm$ 0.02,0.49 $\pm$ 0.01,0.48 $\pm$ 0.02,0.55 $\pm$ 0.04,0.60 $\pm$ 0.01
LogisticRegression,No Upsampling,0.46 $\pm$ 0.03,0.50 $\pm$ 0.03,0.49 $\pm$ 0.02,0.49 $\pm$ 0.02,0.55 $\pm$ 0.04,0.60 $\pm$ 0.02
LogisticRegression,Random Oversampling,0.47 $\pm$ 0.03,0.49 $\pm$ 0.02,0.48 $\pm$ 0.02,0.49 $\pm$ 0.01,0.56 $\pm$ 0.04,0.60 $\pm$ 0.01
LogisticRegression,SMOTE,0.48 $\pm$ 0.02,0.49 $\pm$ 0.03,0.48 $\pm$ 0.01,0.49 $\pm$ 0.02,0.56 $\pm$ 0.03,0.59 $\pm$ 0.02
LogisticRegression,SVMSMOTE,0.48 $\pm$ 0.03,0.50 $\pm$ 0.03,0.49 $\pm$ 0.02,0.51 $\pm$ 0.01,0.55 $\pm$ 0.03,0.59 $\pm$ 0.02
LogisticRegressionElasticNet,BorderlineSMOTE,0.47 $\pm$ 0.03,0.50 $\pm$ 0.02,0.50 $\pm$ 0.03,0.52 $\pm$ 0.02,0.56 $\pm$ 0.02,0.60 $\pm$ 0.02
