model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.38 $\pm$ 0.07,0.34 $\pm$ 0.05,0.24 $\pm$ 0.03,0.19 $\pm$ 0.04,0.15 $\pm$ 0.05,0.15 $\pm$ 0.05
ComplementNB,RakelD Partitioning of labels,0.46 $\pm$ 0.04,0.47 $\pm$ 0.04,0.53 $\pm$ 0.01,0.57 $\pm$ 0.02,0.51 $\pm$ 0.05,0.53 $\pm$ 0.04
Dummy Classifier,No Upsampling,0.43 $\pm$ 0.02,0.42 $\pm$ 0.03,0.43 $\pm$ 0.03,0.41 $\pm$ 0.02,0.40 $\pm$ 0.00,0.42 $\pm$ 0.03
KNN,BorderlineSMOTE,0.39 $\pm$ 0.06,0.38 $\pm$ 0.09,0.27 $\pm$ 0.02,0.27 $\pm$ 0.04,0.23 $\pm$ 0.09,0.32 $\pm$ 0.10
KNN,No Upsampling,0.46 $\pm$ 0.05,0.38 $\pm$ 0.04,0.47 $\pm$ 0.06,0.46 $\pm$ 0.02,0.29 $\pm$ 0.04,0.30 $\pm$ 0.09
KNN,Random Oversampling,0.48 $\pm$ 0.05,0.45 $\pm$ 0.03,0.50 $\pm$ 0.04,0.54 $\pm$ 0.04,0.33 $\pm$ 0.04,0.38 $\pm$ 0.08
KNN,SMOTE,0.39 $\pm$ 0.06,0.37 $\pm$ 0.11,0.27 $\pm$ 0.02,0.20 $\pm$ 0.03,0.23 $\pm$ 0.05,0.19 $\pm$ 0.03
KNN,SVMSMOTE,0.42 $\pm$ 0.03,0.38 $\pm$ 0.04,0.34 $\pm$ 0.04,0.25 $\pm$ 0.06,0,0
LinearSVM,BorderlineSMOTE,0.48 $\pm$ 0.04,0.54 $\pm$ 0.04,0.59 $\pm$ 0.05,0.59 $\pm$ 0.03,0.57 $\pm$ 0.04,0.61 $\pm$ 0.04
LinearSVM,No Upsampling,0.48 $\pm$ 0.04,0.54 $\pm$ 0.04,0.59 $\pm$ 0.05,0.58 $\pm$ 0.03,0.57 $\pm$ 0.04,0.61 $\pm$ 0.04
LinearSVM,RakelD Partitioning of labels,0.46 $\pm$ 0.05,0.52 $\pm$ 0.04,0.57 $\pm$ 0.04,0.60 $\pm$ 0.03,0.55 $\pm$ 0.03,0.59 $\pm$ 0.04
LinearSVM,Random Oversampling,0.48 $\pm$ 0.04,0.54 $\pm$ 0.04,0.59 $\pm$ 0.05,0.59 $\pm$ 0.03,0.57 $\pm$ 0.04,0.61 $\pm$ 0.04
LinearSVM,SMOTE,0.48 $\pm$ 0.04,0.54 $\pm$ 0.04,0.59 $\pm$ 0.05,0.59 $\pm$ 0.03,0.57 $\pm$ 0.04,0.61 $\pm$ 0.04
LogisticRegression,BorderlineSMOTE,0.49 $\pm$ 0.04,0.54 $\pm$ 0.03,0.61 $\pm$ 0.05,0.59 $\pm$ 0.04,0.57 $\pm$ 0.04,0.61 $\pm$ 0.04
LogisticRegression,No Upsampling,0.48 $\pm$ 0.04,0.53 $\pm$ 0.04,0.57 $\pm$ 0.04,0.58 $\pm$ 0.04,0.56 $\pm$ 0.04,0.60 $\pm$ 0.04
LogisticRegression,Random Oversampling,0.48 $\pm$ 0.04,0.53 $\pm$ 0.03,0.58 $\pm$ 0.04,0.58 $\pm$ 0.03,0.57 $\pm$ 0.04,0.61 $\pm$ 0.04
LogisticRegression,SMOTE,0.49 $\pm$ 0.04,0.54 $\pm$ 0.04,0.59 $\pm$ 0.04,0.58 $\pm$ 0.03,0.57 $\pm$ 0.04,0.61 $\pm$ 0.04
LogisticRegression,SVMSMOTE,0.48 $\pm$ 0.04,0.52 $\pm$ 0.04,0.55 $\pm$ 0.04,0.59 $\pm$ 0.03,0.58 $\pm$ 0.03,0.63 $\pm$ 0.06
LogisticRegressionElasticNet,BorderlineSMOTE,0.49 $\pm$ 0.04,0.52 $\pm$ 0.03,0.55 $\pm$ 0.05,0.61 $\pm$ 0.08,0.58 $\pm$ 0.03,0.63 $\pm$ 0.05
LogisticRegressionElasticNet,No Upsampling,0.49 $\pm$ 0.04,0.54 $\pm$ 0.02,0.55 $\pm$ 0.05,0.60 $\pm$ 0.08,0.57 $\pm$ 0.04,0.61 $\pm$ 0.04
LogisticRegressionElasticNet,Random Oversampling,0.49 $\pm$ 0.05,0.52 $\pm$ 0.03,0.54 $\pm$ 0.05,0.60 $\pm$ 0.07,0.58 $\pm$ 0.04,0.62 $\pm$ 0.05
LogisticRegressionElasticNet,SMOTE,0.49 $\pm$ 0.04,0.52 $\pm$ 0.03,0.55 $\pm$ 0.05,0.61 $\pm$ 0.08,0.58 $\pm$ 0.03,0.62 $\pm$ 0.04
LogisticRegressionElasticNet,SVMSMOTE,0.50 $\pm$ 0.05,0.54 $\pm$ 0.03,0.58 $\pm$ 0.05,0.61 $\pm$ 0.04,0.58 $\pm$ 0.04,0.63 $\pm$ 0.06
LogisticRegressionLasso,BorderlineSMOTE,0.51 $\pm$ 0.04,0.51 $\pm$ 0.04,0.52 $\pm$ 0.04,0.58 $\pm$ 0.03,0.57 $\pm$ 0.02,0.59 $\pm$ 0.04
