model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.06 $\pm$ 0.00,0.07 $\pm$ 0.01,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00
ComplementNB,RakelD Partitioning of labels,0.30 $\pm$ 0.01,0.34 $\pm$ 0.05,0.45 $\pm$ 0.04,0.52 $\pm$ 0.03,0.43 $\pm$ 0.06,0.39 $\pm$ 0.02
Dummy Classifier,No Upsampling,0.23 $\pm$ 0.01,0.22 $\pm$ 0.02,0.19 $\pm$ 0.01,0.21 $\pm$ 0.00,0.20 $\pm$ 0.02,0.23 $\pm$ 0.01
KNN,BorderlineSMOTE,0.22 $\pm$ 0.01,0.25 $\pm$ 0.02,0.22 $\pm$ 0.00,0.22 $\pm$ 0.00,0.22 $\pm$ 0.00,0.21 $\pm$ 0.01
KNN,No Upsampling,0.26 $\pm$ 0.04,0.12 $\pm$ 0.07,0.20 $\pm$ 0.05,0.24 $\pm$ 0.03,0.11 $\pm$ 0.08,0.20 $\pm$ 0.12
KNN,Random Oversampling,0.34 $\pm$ 0.01,0.36 $\pm$ 0.09,0.32 $\pm$ 0.01,0.36 $\pm$ 0.06,0.28 $\pm$ 0.01,0.39 $\pm$ 0.05
KNN,SMOTE,0.22 $\pm$ 0.01,0.24 $\pm$ 0.01,0.22 $\pm$ 0.01,0.22 $\pm$ 0.01,0.23 $\pm$ 0.01,0.22 $\pm$ 0.01
LinearSVM,BorderlineSMOTE,0.34 $\pm$ 0.03,0.42 $\pm$ 0.05,0.49 $\pm$ 0.03,0.58 $\pm$ 0.01,0.49 $\pm$ 0.02,0.52 $\pm$ 0.05
LinearSVM,No Upsampling,0.34 $\pm$ 0.03,0.42 $\pm$ 0.05,0.49 $\pm$ 0.03,0.58 $\pm$ 0.01,0.49 $\pm$ 0.02,0.52 $\pm$ 0.05
LinearSVM,RakelD Partitioning of labels,0.34 $\pm$ 0.05,0.40 $\pm$ 0.03,0.48 $\pm$ 0.07,0.59 $\pm$ 0.03,0.48 $\pm$ 0.06,0.51 $\pm$ 0.05
LinearSVM,Random Oversampling,0.34 $\pm$ 0.03,0.42 $\pm$ 0.05,0.49 $\pm$ 0.03,0.58 $\pm$ 0.01,0.49 $\pm$ 0.02,0.52 $\pm$ 0.05
LinearSVM,SMOTE,0.34 $\pm$ 0.02,0.42 $\pm$ 0.05,0.49 $\pm$ 0.03,0.58 $\pm$ 0.01,0.49 $\pm$ 0.02,0.52 $\pm$ 0.05
LogisticRegression,BorderlineSMOTE,0.35 $\pm$ 0.01,0.42 $\pm$ 0.05,0.51 $\pm$ 0.05,0.60 $\pm$ 0.04,0.49 $\pm$ 0.03,0.53 $\pm$ 0.04
LogisticRegression,No Upsampling,0.34 $\pm$ 0.03,0.42 $\pm$ 0.04,0.49 $\pm$ 0.03,0.56 $\pm$ 0.02,0.46 $\pm$ 0.02,0.47 $\pm$ 0.01
LogisticRegression,Random Oversampling,0.35 $\pm$ 0.02,0.43 $\pm$ 0.04,0.50 $\pm$ 0.03,0.58 $\pm$ 0.01,0.52 $\pm$ 0.03,0.53 $\pm$ 0.02
LogisticRegression,SMOTE,0.34 $\pm$ 0.03,0.43 $\pm$ 0.04,0.49 $\pm$ 0.04,0.58 $\pm$ 0.02,0.49 $\pm$ 0.05,0.52 $\pm$ 0.06
LogisticRegression,SVMSMOTE,0,0.42 $\pm$ 0.05,0,0,0,0.54 $\pm$ 0.03
LogisticRegressionElasticNet,BorderlineSMOTE,0.37 $\pm$ 0.02,0.42 $\pm$ 0.02,0.48 $\pm$ 0.02,0.56 $\pm$ 0.02,0.48 $\pm$ 0.01,0.56 $\pm$ 0.03
LogisticRegressionElasticNet,No Upsampling,0.37 $\pm$ 0.03,0.46 $\pm$ 0.01,0.48 $\pm$ 0.01,0.57 $\pm$ 0.01,0.53 $\pm$ 0.04,0.58 $\pm$ 0.02
LogisticRegressionElasticNet,Random Oversampling,0.37 $\pm$ 0.02,0.43 $\pm$ 0.01,0.49 $\pm$ 0.01,0.57 $\pm$ 0.02,0.47 $\pm$ 0.03,0.52 $\pm$ 0.03
LogisticRegressionElasticNet,SMOTE,0.37 $\pm$ 0.02,0.43 $\pm$ 0.02,0.46 $\pm$ 0.02,0.58 $\pm$ 0.02,0.49 $\pm$ 0.03,0.57 $\pm$ 0.02
LogisticRegressionElasticNet,SVMSMOTE,0,0.42 $\pm$ 0.01,0,0,0,0.53 $\pm$ 0.02
LogisticRegressionLasso,BorderlineSMOTE,0.38 $\pm$ 0.04,0.43 $\pm$ 0.03,0.41 $\pm$ 0.03,0.48 $\pm$ 0.02,0.51 $\pm$ 0.07,0.48 $\pm$ 0.02
