model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.20 $\pm$ 0.01,0.20 $\pm$ 0.00,0.20 $\pm$ 0.00,0.20 $\pm$ 0.00,0.19 $\pm$ 0.02,0.20 $\pm$ 0.00
ComplementNB,RakelD Partitioning of labels,0.37 $\pm$ 0.01,0.41 $\pm$ 0.04,0.35 $\pm$ 0.03,0.36 $\pm$ 0.02,0.42 $\pm$ 0.02,0.40 $\pm$ 0.03
Dummy Classifier,No Upsampling,0.51 $\pm$ 0.04,0.49 $\pm$ 0.02,0.44 $\pm$ 0.01,0.47 $\pm$ 0.03,0.45 $\pm$ 0.02,0.51 $\pm$ 0.03
KNN,BorderlineSMOTE,0.90 $\pm$ 0.04,0.77 $\pm$ 0.07,0.91 $\pm$ 0.05,0.95 $\pm$ 0.05,0.90 $\pm$ 0.07,0.91 $\pm$ 0.04
KNN,No Upsampling,0.11 $\pm$ 0.01,0.12 $\pm$ 0.06,0.16 $\pm$ 0.03,0.08 $\pm$ 0.03,0.11 $\pm$ 0.06,0.05 $\pm$ 0.04
KNN,Random Oversampling,0.35 $\pm$ 0.03,0.35 $\pm$ 0.01,0.54 $\pm$ 0.03,0.38 $\pm$ 0.04,0.45 $\pm$ 0.07,0.38 $\pm$ 0.09
KNN,SMOTE,0.96 $\pm$ 0.03,0.86 $\pm$ 0.03,0.99 $\pm$ 0.01,**1.00 $\pm$ 0.00**,0.98 $\pm$ 0.02,**1.00 $\pm$ 0.00**
LinearSVM,BorderlineSMOTE,0.25 $\pm$ 0.02,0.26 $\pm$ 0.03,0.23 $\pm$ 0.02,0.23 $\pm$ 0.01,0.31 $\pm$ 0.02,0.30 $\pm$ 0.03
LinearSVM,No Upsampling,0.25 $\pm$ 0.02,0.26 $\pm$ 0.03,0.23 $\pm$ 0.02,0.23 $\pm$ 0.01,0.31 $\pm$ 0.02,0.30 $\pm$ 0.03
LinearSVM,RakelD Partitioning of labels,0.27 $\pm$ 0.03,0.28 $\pm$ 0.03,0.26 $\pm$ 0.02,0.27 $\pm$ 0.01,0.31 $\pm$ 0.04,0.31 $\pm$ 0.03
