language,model_type,unit_of_analysis,run_uuid,runName,model_name,exp_id,train_recall_macro_std,train_recall_micro_mean,test_accuracy_mean,train_precision_micro_std,test_f1_macro_mean,test_recall_macro_std,test_recall_micro_std,test_recall_macro_mean,test_accuracy_std,test_f1_micro_mean,train_f1_micro_std,train_accuracy_std,train_f1_macro_mean,test_precision_macro_std,train_recall_micro_std,test_precision_micro_mean,test_precision_micro_std,train_f1_micro_mean,train_accuracy_mean,train_precision_macro_mean,test_recall_micro_mean,test_f1_macro_std,train_precision_macro_std,test_precision_macro_mean,train_recall_macro_mean,test_f1_micro_std,train_f1_macro_std,train_precision_micro_mean,min_df,multilabel_type,base_estimator_name,model_subtype,min_var,n_features,tfidf,corr_threshold,analysis_level,spacy_model_used,max_df,vectorizer_max_features,is_count_vectorizer,n_gram_range_start,n_gram_range_end
en,Binary Relevance kNN,raw_text,67513349f3b54fb78680a2f523707960,exultant-panda-927,BRkNNaClassifier,924343134918551631,0.0290712984201032,0.3479175002975718,0.0389788955430532,0.0815965938570179,0.2245143318325804,0.0412502384283499,0.0656185690818926,0.1880636975548912,0.0076237773351519,0.3343524857630773,0.0464313690243904,0.0109000474019109,0.2547062991450287,0.0288718464990393,0.0491838128740863,0.684369199187704,0.02349110637383,0.3912271490784361,0.0388736159607939,0.5388866706814658,0.302320610374734,0.0304927564530925,0.0626606511106933,0.5177147143931666,0.2111049708157935,0.0432871302280318,0.0272937241875049,0.723224925575486,0.0,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",Natively Multilabel,0.0,9068,True,1.0,model_wide,en_core_web_sm,1.0,10000,False,1,3
en,Binary Relevance kNN,title,09b3c4bd01a546d1b00a19e146f5889d,traveling-stork-897,BRkNNaClassifier,549496431530847854,0.0533666647635082,0.41964426158054,0.0174650603342425,0.1097097350734096,0.1522935581636909,0.0235872040946907,0.0419375183084138,0.2069204998935511,0.0164280339123906,0.254448260165812,0.0802802943641056,0.0084632379585056,0.2266724746639822,0.0314316776632578,0.0780188391553596,0.2287005565985002,0.0600196074220331,0.3346973868050846,0.0233101169913748,0.2746492173928527,0.3392695776286841,0.0248429698686131,0.0607389612905,0.1363385320675214,0.2783728951715312,0.0453235537209811,0.0559406259383414,0.3872329884835357,0.0,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",Natively Multilabel,0.0,1272,True,1.0,model_wide,en_core_web_sm,1.0,10000,False,1,3
en,Binary Relevance kNN,title_and_10_sentences,1b4a27ea36564df3a74b9b0448cf9f25,worried-ray-896,BRkNNaClassifier,348116889769027183,0.0229139884003639,0.3380715699357171,0.0038991688613742,0.0836396254149085,0.1515665943293344,0.0173236747819946,0.0305325819273066,0.1584462012656215,0.0027576944237825,0.2750007849278051,0.0421791297416138,0.0027250118504777,0.1935652830431872,0.028140871524564,0.0383934074337461,0.4318728978343855,0.0401417676720095,0.3363554894431428,0.0097184039901984,0.4283932422447078,0.294756859215622,0.0129302475710743,0.0500569378808822,0.2575614697787387,0.1876147961641582,0.021584780191586,0.0256982943880997,0.6393478409820004,0.0,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",Natively Multilabel,0.0,6741,True,1.0,model_wide,en_core_web_sm,1.0,10000,False,1,3
en,Binary Relevance kNN,title_and_5_sentences,bf1d20aefade47379cbfded9b02e49b2,nebulous-sheep-452,BRkNNaClassifier,372948600137923730,0.0948489325868716,0.3696695150046125,0.0097251199963516,0.0296844997096812,0.1638833828672041,0.0746791763435062,0.1281971499039635,0.1833094964145139,0.0072348445306389,0.2821673909345401,0.1141623945490855,0.0232625848123014,0.2076765073225169,0.0844235523768945,0.1569292056824004,0.4502108286471106,0.0828453599117669,0.3448419733715651,0.0290817925571007,0.5174325659781984,0.3173392016218476,0.0471988647582222,0.0178187102167378,0.3112868489798675,0.2203202346606645,0.089686158680426,0.0675753069916841,0.6559455455657334,0.0,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",Natively Multilabel,0.0,5551,True,1.0,model_wide,en_core_web_sm,1.0,10000,False,1,3
en,Binary Relevance kNN,title_and_first_paragraph,7bd6b8e0289f479bb7d777fb48776ad1,likeable-swan-805,BRkNNaClassifier,880223824707634919,0.0488214110744722,0.4698626605163623,0.0155622733538499,0.0536688550748154,0.1819546291268536,0.0359517522587215,0.0699193057523312,0.2571476984434226,0.0072333156580676,0.3142187365666518,0.0343793094259156,0.013583211997375,0.2188671760626484,0.0168879261198607,0.0732578382833678,0.4221718784691647,0.0299153412714084,0.3621841434428217,0.0272372354235497,0.2982082086395499,0.4280262368406698,0.0219719543224078,0.0372756075891437,0.2495522227732837,0.2891244128689536,0.0373003828551776,0.0298285603503459,0.4303768461972717,0.0,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",Natively Multilabel,0.0,3927,True,1.0,model_wide,en_core_web_sm,1.0,10000,False,1,3
en,Binary Relevance kNN,title_and_first_sentence_each_paragraph,dc2d67988a5244cca5125b8002bec6fa,colorful-worm-95,BRkNNaClassifier,322195161100739583,0.0434197826925823,0.4002161651877745,0.019370233586888,0.0218195918366595,0.2053563232867722,0.0415653606670883,0.0672660002542154,0.183241372408945,0.0151155922286071,0.3292743384372995,0.051616680495188,0.0146643221148286,0.2879653095096224,0.0129746205446482,0.0601943030906004,0.5665011695026738,0.0376946693064447,0.445690622843301,0.0379925829988574,0.5639868437180394,0.308193080783287,0.0290198505272591,0.030380102757595,0.4149365742329577,0.2482107888301346,0.0507119128817851,0.0320115317900746,0.7534981961477397,0.0,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",Natively Multilabel,0.0,8473,True,1.0,model_wide,en_core_web_sm,1.0,10000,False,1,3
en,ComplementNB,raw_text,cf5b8a5b6f864fd3a5dab56c5940803f,intelligent-bug-460,RakelD_ComplementNB,884317413988677087,0.0059349395217493,0.9866810384602912,0.089575291264414,0.0025464810532725,0.5333890019892625,0.0238439955905334,0.0212688495889779,0.5150167071723645,0.0082014136211647,0.6549901193249177,0.0013997634047912,0.0079269343369677,0.9806040968023784,0.0045181539106563,0.0046929951715542,0.6755444969992768,0.0083746138882283,0.9850190444576912,0.911517030495402,0.9769012606554512,0.6440851424571356,0.0166016440398607,0.0063486679904681,0.5667729271183674,0.9848985894873796,0.0146359610236536,0.0008909644475201,0.983603927341513,0.0,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD(base_classifier=ComplementNB()))])",RakelD Partitioning of labels,0.0,9068,True,1.0,model_wide,en_core_web_sm,1.0,10000,False,1,3
en,ComplementNB,title,7e7ee003c7a542718debd4e3c77904be,polite-horse-503,RakelD_ComplementNB,656718854340234781,0.0053417618940992,0.9903838494620326,0.0310437448778003,0.00740091853979,0.4321582394637437,0.0133338923165907,0.0062956504882443,0.4503988597439072,0.0097145967359829,0.5529249693823427,0.0051639659225475,0.0090157087435695,0.9760150744754462,0.0131805599705214,0.0043373103272043,0.551787420057305,0.0159650107603742,0.986816339846626,0.9669317619491088,0.9681025281642048,0.5592492818051238,0.0096039569761177,0.0195011932184925,0.4208539605853498,0.9874866543785596,0.0039364204344824,0.0110571173685584,0.9842943523855,0.0,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD(base_classifier=ComplementNB()))])",RakelD Partitioning of labels,0.0,1272,True,1.0,model_wide,en_core_web_sm,1.0,10000,False,1,3
en,ComplementNB,title_and_10_sentences,a2779250bf934ff3b3a521a03f22490b,serious-auk-326,RakelD_ComplementNB,720669024864400160,0.000334731887127,0.9980263281144722,0.0642542912466496,0.0010219954969934,0.4832418614467482,0.010994638822402,0.0122804585710282,0.4614646126376516,0.0053940724477506,0.6218504773124619,0.0004528347788425,0.0040974070834782,0.997194390479887,0.0115520208964947,0.0003457038992834,0.6439108925460182,0.0095491560564017,0.9979098174885592,0.9883407535655264,0.9958913543616358,0.6110296550846379,0.0071093845194493,0.0023550258767057,0.5294180306493971,0.9985663105571798,0.0081829607089139,0.0010924791698029,0.997823545553004,0.0,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD(base_classifier=ComplementNB()))])",RakelD Partitioning of labels,0.0,6741,True,1.0,model_wide,en_core_web_sm,1.0,10000,False,1,3
en,ComplementNB,title_and_5_sentences,106d69095c504d23aed03a7ff63013dc,ambitious-newt-131,RakelD_ComplementNB,168447413027746434,0.0004008541843461,0.9997532691833212,0.0798613734905833,0.0009096772797235,0.4953423286213403,0.0112196044629703,0.0057101710351496,0.4722761117618524,0.0156942192779675,0.6255193208934767,0.000458188570125,0.0036213227535295,0.9994061264261984,0.012298898542806,0.0003489300672028,0.646855424247554,0.0075067514526921,0.9993865150096736,0.9951464150622636,0.9991035084318666,0.6135368824887726,0.0113635375983407,0.0006691645989403,0.5347344200599645,0.999716553287982,0.0021385956205287,0.0004252567421338,0.9990276689036822,0.0,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD(base_classifier=ComplementNB()))])",RakelD Partitioning of labels,0.0,5551,True,1.0,model_wide,en_core_web_sm,1.0,10000,False,1,3
