model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.12 $\pm$ 0.05,0.11 $\pm$ 0.02,0.08 $\pm$ 0.00,0.09 $\pm$ 0.01,0.09 $\pm$ 0.01,0.10 $\pm$ 0.01
ComplementNB,0.38 $\pm$ 0.04,0.36 $\pm$ 0.01,0.38 $\pm$ 0.01,0.38 $\pm$ 0.02,0.38 $\pm$ 0.02,0.41 $\pm$ 0.02
Dummy Classifier,0.31 $\pm$ 0.03,0.34 $\pm$ 0.02,0.34 $\pm$ 0.04,0.33 $\pm$ 0.02,0.34 $\pm$ 0.01,0.35 $\pm$ 0.01
KNN,0.42 $\pm$ 0.01,0.42 $\pm$ 0.01,0.42 $\pm$ 0.01,0.42 $\pm$ 0.01,0.36 $\pm$ 0.04,0.42 $\pm$ 0.02
LinearSVM,0.36 $\pm$ 0.01,0.35 $\pm$ 0.03,0.34 $\pm$ 0.04,0.34 $\pm$ 0.02,0.34 $\pm$ 0.02,0.39 $\pm$ 0.02
LogisticRegression,0.38 $\pm$ 0.01,0.35 $\pm$ 0.03,0.33 $\pm$ 0.04,0.36 $\pm$ 0.02,0.35 $\pm$ 0.01,0.37 $\pm$ 0.05
LogisticRegressionElasticNet,0.36 $\pm$ 0.00,0.34 $\pm$ 0.01,0.37 $\pm$ 0.01,0.37 $\pm$ 0.02,0.41 $\pm$ 0.02,0.44 $\pm$ 0.04
LogisticRegressionLasso,0.29 $\pm$ 0.02,0.31 $\pm$ 0.02,0.34 $\pm$ 0.02,0.32 $\pm$ 0.03,0.40 $\pm$ 0.03,0.41 $\pm$ 0.02
LogisticRegressionRidge,0.34 $\pm$ 0.02,0.29 $\pm$ 0.03,0.30 $\pm$ 0.04,0.33 $\pm$ 0.01,0.32 $\pm$ 0.01,0.35 $\pm$ 0.03
Multi-label ARAM,0.16 $\pm$ 0.02,0.15 $\pm$ 0.01,0.15 $\pm$ 0.01,0.09 $\pm$ 0.04,0.12 $\pm$ 0.04,0.12 $\pm$ 0.04
Multilabel k Nearest Neighbours,0.26 $\pm$ 0.05,0.26 $\pm$ 0.03,0.30 $\pm$ 0.02,0.31 $\pm$ 0.02,0.18 $\pm$ 0.00,0.31 $\pm$ 0.05
NaiveBayes,0.44 $\pm$ 0.01,0.46 $\pm$ 0.02,0.49 $\pm$ 0.02,0.51 $\pm$ 0.03,0.51 $\pm$ 0.01,**0.55 $\pm$ 0.02**
RandomForest,0.28 $\pm$ 0.01,0.22 $\pm$ 0.03,0.25 $\pm$ 0.02,0.27 $\pm$ 0.02,0.27 $\pm$ 0.02,0.36 $\pm$ 0.01
RidgeClassifier,0.35 $\pm$ 0.02,0.30 $\pm$ 0.02,0.30 $\pm$ 0.04,0.33 $\pm$ 0.00,0.31 $\pm$ 0.02,0.35 $\pm$ 0.03
SVM,0.29 $\pm$ 0.06,0.05 $\pm$ 0.07,0.04 $\pm$ 0.01,0.04 $\pm$ 0.04,0.13 $\pm$ 0.03,0.13 $\pm$ 0.09
XGBoost,0.34 $\pm$ 0.00,0.30 $\pm$ 0.01,0.30 $\pm$ 0.02,0.35 $\pm$ 0.02,0.35 $\pm$ 0.04,0.44 $\pm$ 0.03
