model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.23 $\pm$ 0.09,0.23 $\pm$ 0.01,0.20 $\pm$ 0.03,0.17 $\pm$ 0.03,0.17 $\pm$ 0.02,0.12 $\pm$ 0.01
ComplementNB,0.46 $\pm$ 0.01,0.44 $\pm$ 0.02,0.42 $\pm$ 0.01,0.45 $\pm$ 0.02,0.48 $\pm$ 0.01,0.52 $\pm$ 0.01
Dummy Classifier,0.43 $\pm$ 0.01,0.42 $\pm$ 0.02,0.41 $\pm$ 0.03,0.42 $\pm$ 0.03,0.40 $\pm$ 0.03,0.41 $\pm$ 0.03
KNN,0.43 $\pm$ 0.05,0.45 $\pm$ 0.06,0.39 $\pm$ 0.02,0.40 $\pm$ 0.05,0.37 $\pm$ 0.05,0.35 $\pm$ 0.03
LinearSVM,0.39 $\pm$ 0.03,0.43 $\pm$ 0.01,0.41 $\pm$ 0.04,0.41 $\pm$ 0.02,0.46 $\pm$ 0.02,0.49 $\pm$ 0.01
LogisticRegression,0.39 $\pm$ 0.03,0.44 $\pm$ 0.02,0.40 $\pm$ 0.02,0.43 $\pm$ 0.01,0.47 $\pm$ 0.01,0.50 $\pm$ 0.02
LogisticRegressionElasticNet,0.38 $\pm$ 0.03,0.45 $\pm$ 0.01,0.41 $\pm$ 0.01,0.45 $\pm$ 0.03,0.49 $\pm$ 0.02,0.52 $\pm$ 0.02
LogisticRegressionLasso,0.31 $\pm$ 0.05,0.39 $\pm$ 0.01,0.37 $\pm$ 0.01,0.42 $\pm$ 0.03,0.44 $\pm$ 0.02,0.51 $\pm$ 0.01
LogisticRegressionRidge,0.40 $\pm$ 0.05,0.41 $\pm$ 0.02,0.38 $\pm$ 0.03,0.41 $\pm$ 0.02,0.43 $\pm$ 0.01,0.50 $\pm$ 0.02
Multi-label ARAM,0.11 $\pm$ 0.03,0.16 $\pm$ 0.09,0.16 $\pm$ 0.09,0.16 $\pm$ 0.09,0.17 $\pm$ 0.10,0.16 $\pm$ 0.09
Multilabel k Nearest Neighbours,0.35 $\pm$ 0.04,0.33 $\pm$ 0.05,0.37 $\pm$ 0.04,0.36 $\pm$ 0.03,0.36 $\pm$ 0.07,0.34 $\pm$ 0.03
NaiveBayes,0.49 $\pm$ 0.02,0.52 $\pm$ 0.02,0.51 $\pm$ 0.01,0.55 $\pm$ 0.02,0.54 $\pm$ 0.03,**0.61 $\pm$ 0.01**
RandomForest,0.35 $\pm$ 0.05,0.36 $\pm$ 0.00,0.35 $\pm$ 0.02,0.37 $\pm$ 0.01,0.37 $\pm$ 0.03,0.41 $\pm$ 0.01
RidgeClassifier,0.39 $\pm$ 0.03,0.42 $\pm$ 0.03,0.39 $\pm$ 0.03,0.40 $\pm$ 0.01,0.44 $\pm$ 0.01,0.50 $\pm$ 0.02
SVM,0.43 $\pm$ 0.03,0.28 $\pm$ 0.03,0.27 $\pm$ 0.02,0.31 $\pm$ 0.01,0.28 $\pm$ 0.04,0.43 $\pm$ 0.02
XGBoost,0.32 $\pm$ 0.05,0.43 $\pm$ 0.00,0.42 $\pm$ 0.01,0.42 $\pm$ 0.02,0.45 $\pm$ 0.01,0.48 $\pm$ 0.04
