language,model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Binary Relevance kNN,0.25 $\pm$ 0.05,0.31 $\pm$ 0.04,0.28 $\pm$ 0.09,0.28 $\pm$ 0.02,0.33 $\pm$ 0.05,0.33 $\pm$ 0.04
en,ComplementNB,0.55 $\pm$ 0.00,0.62 $\pm$ 0.02,0.63 $\pm$ 0.00,0.62 $\pm$ 0.01,0.63 $\pm$ 0.01,0.65 $\pm$ 0.01
en,Dummy Classifier,0.42 $\pm$ 0.02,0.43 $\pm$ 0.01,0.41 $\pm$ 0.01,0.43 $\pm$ 0.01,0.43 $\pm$ 0.01,0.42 $\pm$ 0.01
en,KNN,0.41 $\pm$ 0.02,0.47 $\pm$ 0.06,0.41 $\pm$ 0.07,0.43 $\pm$ 0.04,0.41 $\pm$ 0.06,0.52 $\pm$ 0.06
en,LinearSVM,0.57 $\pm$ 0.01,0.61 $\pm$ 0.01,0.62 $\pm$ 0.02,0.62 $\pm$ 0.01,0.64 $\pm$ 0.01,0.66 $\pm$ 0.01
en,LogisticRegression,0.57 $\pm$ 0.01,0.60 $\pm$ 0.02,0.61 $\pm$ 0.02,0.62 $\pm$ 0.01,0.64 $\pm$ 0.01,0.66 $\pm$ 0.01
en,LogisticRegressionElasticNet,0.58 $\pm$ 0.01,0.63 $\pm$ 0.01,0.63 $\pm$ 0.02,0.63 $\pm$ 0.01,0.65 $\pm$ 0.01,0.67 $\pm$ 0.00
en,LogisticRegressionLasso,0.53 $\pm$ 0.02,0.59 $\pm$ 0.02,0.60 $\pm$ 0.03,0.60 $\pm$ 0.02,0.62 $\pm$ 0.01,0.63 $\pm$ 0.00
en,LogisticRegressionRidge,0.57 $\pm$ 0.01,0.61 $\pm$ 0.01,0.62 $\pm$ 0.02,0.62 $\pm$ 0.01,0.64 $\pm$ 0.01,0.66 $\pm$ 0.02
en,Multi-label ARAM,0.31 $\pm$ 0.02,0.31 $\pm$ 0.03,0.31 $\pm$ 0.02,0.33 $\pm$ 0.03,0.33 $\pm$ 0.03,0.26 $\pm$ 0.08
en,Multilabel k Nearest Neighbours,0.47 $\pm$ 0.04,0.49 $\pm$ 0.04,0.51 $\pm$ 0.01,0.54 $\pm$ 0.02,0.55 $\pm$ 0.01,0.59 $\pm$ 0.00
en,NaiveBayes,0.62 $\pm$ 0.01,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,0.68 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,RandomForest,0.56 $\pm$ 0.02,0.58 $\pm$ 0.02,0.60 $\pm$ 0.03,0.62 $\pm$ 0.02,0.63 $\pm$ 0.02,0.64 $\pm$ 0.02
en,RidgeClassifier,0.57 $\pm$ 0.01,0.60 $\pm$ 0.01,0.61 $\pm$ 0.02,0.62 $\pm$ 0.01,0.64 $\pm$ 0.02,0.66 $\pm$ 0.01
en,SVM,0.50 $\pm$ 0.01,0.44 $\pm$ 0.02,0.40 $\pm$ 0.01,0.41 $\pm$ 0.02,0.41 $\pm$ 0.02,0.43 $\pm$ 0.02
en,XGBoost,0.53 $\pm$ 0.02,0.57 $\pm$ 0.01,0.57 $\pm$ 0.02,0.59 $\pm$ 0.01,0.61 $\pm$ 0.01,0.64 $\pm$ 0.02
fr,Binary Relevance kNN,0.12 $\pm$ 0.05,0.11 $\pm$ 0.02,0.08 $\pm$ 0.00,0.09 $\pm$ 0.01,0.09 $\pm$ 0.01,0.10 $\pm$ 0.01
fr,ComplementNB,0.38 $\pm$ 0.04,0.36 $\pm$ 0.01,0.38 $\pm$ 0.01,0.38 $\pm$ 0.02,0.38 $\pm$ 0.02,0.41 $\pm$ 0.02
fr,Dummy Classifier,0.31 $\pm$ 0.03,0.34 $\pm$ 0.02,0.34 $\pm$ 0.04,0.33 $\pm$ 0.02,0.34 $\pm$ 0.01,0.35 $\pm$ 0.01
fr,KNN,0.42 $\pm$ 0.01,0.42 $\pm$ 0.01,0.42 $\pm$ 0.01,0.42 $\pm$ 0.01,0.36 $\pm$ 0.04,0.42 $\pm$ 0.02
fr,LinearSVM,0.36 $\pm$ 0.01,0.35 $\pm$ 0.03,0.34 $\pm$ 0.04,0.34 $\pm$ 0.02,0.34 $\pm$ 0.02,0.39 $\pm$ 0.02
fr,LogisticRegression,0.38 $\pm$ 0.01,0.35 $\pm$ 0.03,0.33 $\pm$ 0.04,0.36 $\pm$ 0.02,0.35 $\pm$ 0.01,0.37 $\pm$ 0.05
fr,LogisticRegressionElasticNet,0.36 $\pm$ 0.00,0.34 $\pm$ 0.01,0.37 $\pm$ 0.01,0.37 $\pm$ 0.02,0.41 $\pm$ 0.02,0.44 $\pm$ 0.04
fr,LogisticRegressionLasso,0.29 $\pm$ 0.02,0.31 $\pm$ 0.02,0.34 $\pm$ 0.02,0.32 $\pm$ 0.03,0.40 $\pm$ 0.03,0.41 $\pm$ 0.02
