model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.19 $\pm$ 0.04,0.18 $\pm$ 0.01,0.12 $\pm$ 0.03,0.15 $\pm$ 0.07,0.12 $\pm$ 0.05,0.13 $\pm$ 0.06
ComplementNB,0.40 $\pm$ 0.00,0.43 $\pm$ 0.02,0.45 $\pm$ 0.02,0.50 $\pm$ 0.02,0.40 $\pm$ 0.03,0.46 $\pm$ 0.02
Dummy Classifier,0.34 $\pm$ 0.03,0.32 $\pm$ 0.03,0.31 $\pm$ 0.03,0.31 $\pm$ 0.04,0.32 $\pm$ 0.03,0.33 $\pm$ 0.03
KNN,0.33 $\pm$ 0.01,0.33 $\pm$ 0.02,0.32 $\pm$ 0.02,0.32 $\pm$ 0.02,0.35 $\pm$ 0.00,0.33 $\pm$ 0.01
LinearSVM,0.42 $\pm$ 0.01,0.48 $\pm$ 0.01,0.46 $\pm$ 0.02,0.51 $\pm$ 0.04,0.52 $\pm$ 0.02,0.56 $\pm$ 0.03
LogisticRegression,0.42 $\pm$ 0.01,0.45 $\pm$ 0.03,0.47 $\pm$ 0.02,0.51 $\pm$ 0.02,0.50 $\pm$ 0.02,0.56 $\pm$ 0.02
LogisticRegressionElasticNet,0.44 $\pm$ 0.01,0.48 $\pm$ 0.02,0.50 $\pm$ 0.03,0.57 $\pm$ 0.04,0.50 $\pm$ 0.01,0.55 $\pm$ 0.03
LogisticRegressionLasso,0.46 $\pm$ 0.01,0.45 $\pm$ 0.02,0.45 $\pm$ 0.04,0.51 $\pm$ 0.03,0.48 $\pm$ 0.01,0.51 $\pm$ 0.02
LogisticRegressionRidge,0.43 $\pm$ 0.01,0.48 $\pm$ 0.02,0.49 $\pm$ 0.03,0.59 $\pm$ 0.07,0.57 $\pm$ 0.04,0.61 $\pm$ 0.07
Multi-label ARAM,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00,0.06 $\pm$ 0.01,0.06 $\pm$ 0.00
Multilabel k Nearest Neighbours,0.39 $\pm$ 0.01,0.40 $\pm$ 0.03,0.39 $\pm$ 0.02,0.39 $\pm$ 0.02,0.38 $\pm$ 0.02,0.40 $\pm$ 0.02
NaiveBayes,0.40 $\pm$ 0.01,0.46 $\pm$ 0.01,0.49 $\pm$ 0.02,0.51 $\pm$ 0.01,0.48 $\pm$ 0.01,0.51 $\pm$ 0.02
RandomForest,0.47 $\pm$ 0.03,0.55 $\pm$ 0.03,0.49 $\pm$ 0.04,0.55 $\pm$ 0.04,0.57 $\pm$ 0.04,**0.62 $\pm$ 0.06**
RidgeClassifier,0.42 $\pm$ 0.01,0.46 $\pm$ 0.04,0.47 $\pm$ 0.01,0.60 $\pm$ 0.07,0.56 $\pm$ 0.05,0.60 $\pm$ 0.07
SVM,0.36 $\pm$ 0.03,0.43 $\pm$ 0.07,0.30 $\pm$ 0.04,0.33 $\pm$ 0.05,0.31 $\pm$ 0.03,0.31 $\pm$ 0.03
XGBoost,0.42 $\pm$ 0.03,0.44 $\pm$ 0.04,0.45 $\pm$ 0.02,0.49 $\pm$ 0.04,0.52 $\pm$ 0.05,0.54 $\pm$ 0.04
