model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.08 $\pm$ 0.04,0.14 $\pm$ 0.06,0.06 $\pm$ 0.00,0.06 $\pm$ 0.01,0.07 $\pm$ 0.01,0.08 $\pm$ 0.01
ComplementNB,RakelD Partitioning of labels,0.35 $\pm$ 0.03,0.37 $\pm$ 0.01,0.43 $\pm$ 0.01,0.45 $\pm$ 0.03,0.42 $\pm$ 0.01,0.48 $\pm$ 0.04
Dummy Classifier,No Upsampling,0.25 $\pm$ 0.02,0.28 $\pm$ 0.02,0.27 $\pm$ 0.03,0.27 $\pm$ 0.01,0.28 $\pm$ 0.01,0.29 $\pm$ 0.01
KNN,BorderlineSMOTE,0.28 $\pm$ 0.01,0.28 $\pm$ 0.01,0.28 $\pm$ 0.01,0.27 $\pm$ 0.01,0.26 $\pm$ 0.03,0.27 $\pm$ 0.02
KNN,No Upsampling,0.30 $\pm$ 0.01,0.19 $\pm$ 0.03,0.18 $\pm$ 0.03,0.26 $\pm$ 0.03,0.08 $\pm$ 0.08,0.17 $\pm$ 0.15
KNN,Random Oversampling,0.35 $\pm$ 0.02,0.31 $\pm$ 0.01,0.30 $\pm$ 0.04,0.28 $\pm$ 0.08,0.14 $\pm$ 0.03,0.40 $\pm$ 0.06
KNN,SMOTE,0.28 $\pm$ 0.01,0.28 $\pm$ 0.01,0.28 $\pm$ 0.01,0.28 $\pm$ 0.01,0.27 $\pm$ 0.05,0.28 $\pm$ 0.01
LinearSVM,BorderlineSMOTE,0.42 $\pm$ 0.01,0.46 $\pm$ 0.02,0.50 $\pm$ 0.04,0.55 $\pm$ 0.05,0.46 $\pm$ 0.05,0.50 $\pm$ 0.06
LinearSVM,No Upsampling,0.42 $\pm$ 0.01,0.46 $\pm$ 0.02,0.50 $\pm$ 0.04,0.55 $\pm$ 0.05,0.46 $\pm$ 0.05,0.50 $\pm$ 0.06
LinearSVM,RakelD Partitioning of labels,0.39 $\pm$ 0.01,0.44 $\pm$ 0.03,0.47 $\pm$ 0.06,0.52 $\pm$ 0.06,0.44 $\pm$ 0.02,0.52 $\pm$ 0.05
LinearSVM,Random Oversampling,0.42 $\pm$ 0.01,0.46 $\pm$ 0.02,0.50 $\pm$ 0.04,0.55 $\pm$ 0.05,0.46 $\pm$ 0.05,0.50 $\pm$ 0.06
LinearSVM,SMOTE,0.42 $\pm$ 0.01,0.46 $\pm$ 0.02,0.50 $\pm$ 0.04,0.55 $\pm$ 0.05,0.46 $\pm$ 0.05,0.50 $\pm$ 0.06
LogisticRegression,BorderlineSMOTE,0.41 $\pm$ 0.01,0.46 $\pm$ 0.03,0.49 $\pm$ 0.05,0.53 $\pm$ 0.03,0.46 $\pm$ 0.05,0.51 $\pm$ 0.07
LogisticRegression,No Upsampling,0.41 $\pm$ 0.02,0.43 $\pm$ 0.02,0.50 $\pm$ 0.07,0.50 $\pm$ 0.05,0.45 $\pm$ 0.05,0.55 $\pm$ 0.09
LogisticRegression,Random Oversampling,0.41 $\pm$ 0.02,0.48 $\pm$ 0.03,0.52 $\pm$ 0.08,0.55 $\pm$ 0.04,0.47 $\pm$ 0.03,0.51 $\pm$ 0.06
LogisticRegression,SMOTE,0.42 $\pm$ 0.01,0.46 $\pm$ 0.03,0.51 $\pm$ 0.05,0.54 $\pm$ 0.05,0.46 $\pm$ 0.04,0.52 $\pm$ 0.06
LogisticRegression,SVMSMOTE,0.41 $\pm$ 0.01,0.44 $\pm$ 0.02,0.47 $\pm$ 0.04,0.52 $\pm$ 0.03,0.47 $\pm$ 0.03,0.51 $\pm$ 0.08
LogisticRegressionElasticNet,BorderlineSMOTE,0.43 $\pm$ 0.03,0.41 $\pm$ 0.03,0.48 $\pm$ 0.03,0.50 $\pm$ 0.01,0.46 $\pm$ 0.04,0.57 $\pm$ 0.07
LogisticRegressionElasticNet,No Upsampling,0.44 $\pm$ 0.03,0.44 $\pm$ 0.02,0.52 $\pm$ 0.03,0.55 $\pm$ 0.01,0.47 $\pm$ 0.04,0.57 $\pm$ 0.08
LogisticRegressionElasticNet,Random Oversampling,0.42 $\pm$ 0.01,0.41 $\pm$ 0.04,0.46 $\pm$ 0.03,0.50 $\pm$ 0.04,0.45 $\pm$ 0.04,0.58 $\pm$ 0.06
LogisticRegressionElasticNet,SMOTE,0.43 $\pm$ 0.03,0.41 $\pm$ 0.03,0.47 $\pm$ 0.03,0.50 $\pm$ 0.02,0.47 $\pm$ 0.04,**0.59 $\pm$ 0.07**
LogisticRegressionElasticNet,SVMSMOTE,0.43 $\pm$ 0.03,0.44 $\pm$ 0.04,0.50 $\pm$ 0.05,0.53 $\pm$ 0.02,0.49 $\pm$ 0.05,0.56 $\pm$ 0.08
LogisticRegressionLasso,BorderlineSMOTE,0.46 $\pm$ 0.02,0.39 $\pm$ 0.01,0.42 $\pm$ 0.04,0.41 $\pm$ 0.04,0.46 $\pm$ 0.03,0.48 $\pm$ 0.05
LogisticRegressionLasso,No Upsampling,0.43 $\pm$ 0.03,0.41 $\pm$ 0.03,0.41 $\pm$ 0.03,0.41 $\pm$ 0.06,0.45 $\pm$ 0.03,0.47 $\pm$ 0.04
LogisticRegressionLasso,Random Oversampling,0.46 $\pm$ 0.02,0.40 $\pm$ 0.02,0.43 $\pm$ 0.02,0.41 $\pm$ 0.05,0.46 $\pm$ 0.02,0.48 $\pm$ 0.04
LogisticRegressionLasso,SMOTE,0.43 $\pm$ 0.02,0.39 $\pm$ 0.01,0.43 $\pm$ 0.04,0.41 $\pm$ 0.04,0.45 $\pm$ 0.02,0.45 $\pm$ 0.03
