model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.28 $\pm$ 0.13,0.38 $\pm$ 0.02,0.27 $\pm$ 0.02,0.27 $\pm$ 0.05,0.28 $\pm$ 0.05,0.20 $\pm$ 0.02
ComplementNB,0.54 $\pm$ 0.01,0.44 $\pm$ 0.02,0.44 $\pm$ 0.01,0.45 $\pm$ 0.02,0.57 $\pm$ 0.05,0.68 $\pm$ 0.07
Dummy Classifier,0.52 $\pm$ 0.01,0.52 $\pm$ 0.01,0.50 $\pm$ 0.02,0.50 $\pm$ 0.03,0.48 $\pm$ 0.03,0.48 $\pm$ 0.03
KNN,0.79 $\pm$ 0.05,**0.82 $\pm$ 0.08**,0.75 $\pm$ 0.02,0.79 $\pm$ 0.04,0.68 $\pm$ 0.08,0.71 $\pm$ 0.04
LinearSVM,0.43 $\pm$ 0.07,0.41 $\pm$ 0.02,0.38 $\pm$ 0.03,0.39 $\pm$ 0.01,0.48 $\pm$ 0.04,0.51 $\pm$ 0.01
LogisticRegression,0.44 $\pm$ 0.07,0.42 $\pm$ 0.02,0.38 $\pm$ 0.03,0.40 $\pm$ 0.00,0.50 $\pm$ 0.03,0.54 $\pm$ 0.02
LogisticRegressionElasticNet,0.39 $\pm$ 0.04,0.43 $\pm$ 0.02,0.39 $\pm$ 0.01,0.41 $\pm$ 0.02,0.51 $\pm$ 0.04,0.52 $\pm$ 0.03
LogisticRegressionLasso,0.25 $\pm$ 0.07,0.35 $\pm$ 0.01,0.32 $\pm$ 0.02,0.37 $\pm$ 0.03,0.40 $\pm$ 0.01,0.49 $\pm$ 0.03
LogisticRegressionRidge,0.42 $\pm$ 0.07,0.38 $\pm$ 0.03,0.36 $\pm$ 0.03,0.39 $\pm$ 0.00,0.43 $\pm$ 0.02,0.51 $\pm$ 0.02
Multi-label ARAM,0.17 $\pm$ 0.05,0.25 $\pm$ 0.13,0.25 $\pm$ 0.13,0.25 $\pm$ 0.13,0.26 $\pm$ 0.14,0.25 $\pm$ 0.13
Multilabel k Nearest Neighbours,0.37 $\pm$ 0.04,0.29 $\pm$ 0.04,0.36 $\pm$ 0.06,0.34 $\pm$ 0.07,0.37 $\pm$ 0.06,0.32 $\pm$ 0.03
NaiveBayes,0.69 $\pm$ 0.03,0.59 $\pm$ 0.03,0.59 $\pm$ 0.04,0.61 $\pm$ 0.02,0.62 $\pm$ 0.02,0.73 $\pm$ 0.02
RandomForest,0.44 $\pm$ 0.12,0.32 $\pm$ 0.02,0.32 $\pm$ 0.03,0.33 $\pm$ 0.03,0.32 $\pm$ 0.01,0.34 $\pm$ 0.02
RidgeClassifier,0.44 $\pm$ 0.08,0.39 $\pm$ 0.03,0.37 $\pm$ 0.03,0.38 $\pm$ 0.01,0.44 $\pm$ 0.01,0.50 $\pm$ 0.02
SVM,0.53 $\pm$ 0.02,0.27 $\pm$ 0.05,0.28 $\pm$ 0.04,0.34 $\pm$ 0.04,0.39 $\pm$ 0.07,0.64 $\pm$ 0.02
XGBoost,0.33 $\pm$ 0.05,0.41 $\pm$ 0.02,0.39 $\pm$ 0.01,0.41 $\pm$ 0.05,0.43 $\pm$ 0.01,0.44 $\pm$ 0.04
