language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,raw_text,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6572877306586246,0.4794280769436049,0.10679611650485436,0.7414928771896987,0.6291575220146648,0.6161369193154034,0.4205159460503589
en,raw_text,KNN,No Upsampling,kNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6414380473881678,0.43913608396971066,0.10679611650485436,0.7520468230324635,0.591091570967732,0.6039119804400978,0.3886980610910254
en,raw_text,KNN,Random Oversampling,kNN_ROS,0.6403690509991863,0.4621702486544178,0.1362530413625304,0.7776126091024692,0.670139873934476,0.5961657390228818,0.40704478198453337,0.6184916838508744,0.4101820890258396,0.0970873786407767,0.7512392008987376,0.5832962971111334,0.5721271393643031,0.3580777020512135
en,raw_text,KNN,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6772497327646906,0.5347421226183526,0.10679611650485436,0.7699996017918791,0.7530548547573692,0.6381418092909535,0.4636508457086496
en,raw_text,KNN,SVMSMOTE,kNN_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6772497327646906,0.5347421226183526,0.10679611650485436,0.7699996017918791,0.7530548547573692,0.6381418092909535,0.4636508457086496
en,raw_text,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.9981437588642568,0.9986841134243996,0.9854014598540146,0.9981572527766963,0.9985515900058628,0.9981447124304267,0.9988278388278388,0.697437181582984,0.6172816778709659,0.06796116504854369,0.7461629861353192,0.6818951646019314,0.6674816625916871,0.5849269693047393
en,raw_text,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.9955966248985818,0.9943316528627028,0.9659367396593674,0.9981136482309706,0.9982969097461851,0.9931972789115646,0.990536179446828,0.6868354204151532,0.5766182639836736,0.04854368932038835,0.7450506573432005,0.677722896168812,0.6528117359413202,0.524491702826586
en,raw_text,LinearSVM,No Upsampling,LinearSVMDual,0.9990847055220436,0.9979683281845759,0.9927007299270073,0.9981934371544761,0.995995670995671,1.0,1.0,0.6905355148729725,0.6010917066368208,0.05825242718446602,0.7345432890618646,0.6460757543852553,0.6601466992665037,0.5790551948900781
en,raw_text,LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.9919737204826965,0.9929826323938802,0.9391727493917275,0.9920423530268538,0.992190337876645,0.9919604205318491,0.9938525202020692,0.6903035384997996,0.5999925704073605,0.06796116504854369,0.741005135332818,0.6614604283900304,0.6577017114914425,0.5721107504456338
en,raw_text,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.9886236223685705,0.9877955650593162,0.9197080291970803,0.986028251859902,0.9824696041630837,0.9913419913419913,0.9933864534175886,0.6949535522102542,0.6069355234374133,0.04854368932038835,0.7402248915207349,0.6634542802399945,0.6674816625916871,0.5822537888061083
en,raw_text,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.668256302843514,0.5893640390477153,0.04854368932038835,0.6896241311907226,0.5939814014471464,0.6625916870415648,0.6201778742870195
en,raw_text,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6788610653846134,0.6070079179259074,0.05825242718446602,0.7299435179139122,0.6839505905887895,0.6454767726161369,0.5641461492319035
en,raw_text,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6827350977230349,0.6170757639752302,0.07766990291262135,0.7394965680884092,0.7061202559946052,0.6454767726161369,0.5642855926584699
en,raw_text,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6844053552121736,0.6178905583581592,0.06796116504854369,0.742262449239811,0.7152926114238853,0.6479217603911981,0.5650575326401363
en,raw_text,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.681382168426586,0.5886577659657496,0.07766990291262135,0.7377780052969687,0.6786701567696287,0.6454767726161369,0.5426028512188894
en,raw_text,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6848363846422546,0.6134755195636076,0.06796116504854369,0.7224015196230645,0.6506693891849842,0.6601466992665037,0.6003319872034557
en,raw_text,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6898083332210565,0.619069893244966,0.05825242718446602,0.747116568836947,0.7122877151012832,0.6528117359413202,0.5690111255254513
en,raw_text,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6929836363180548,0.6241349136530246,0.08737864077669903,0.7549952321743115,0.7238359869756421,0.6528117359413202,0.5684027520947782
