language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,title_and_first_sentence_each_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5849217121747168,0.3869247345605495,0.06796116504854369,0.7322075746544193,0.588162859320183,0.5476772616136919,0.34106278518827227
en,title_and_first_sentence_each_paragraph,KNN,No Upsampling,kNN,0.7389375448808939,0.6238228250681729,0.20924574209245742,0.9158763925510558,0.9264927418345178,0.6524427952999382,0.5163158461799655,0.6029614030919844,0.44725840029891156,0.08737864077669903,0.745411957440291,0.6247110780157382,0.5207823960880196,0.36718304245887107
en,title_and_first_sentence_each_paragraph,KNN,Random Oversampling,kNN_ROS,0.6447371565838869,0.47517062866216353,0.145985401459854,0.8008967658099876,0.7301835633282997,0.5986394557823129,0.41476494379309053,0.6079435799712972,0.4041624048357974,0.07766990291262135,0.7768917840102282,0.6128040636106891,0.5476772616136919,0.3454267680476959
en,title_and_first_sentence_each_paragraph,KNN,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6010720337122545,0.3948012499866332,0.06796116504854369,0.717501628137325,0.5516133337561909,0.5623471882640587,0.3503782586374844
en,title_and_first_sentence_each_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,0.6830037687656625,0.5347626398545441,0.15085158150851583,0.8370441330592221,0.8067690429360157,0.6221397649969078,0.4564702640449573,0.6311480782707858,0.4604994462492805,0.0970873786407767,0.7901250386796195,0.6832514824111462,0.5550122249388753,0.378933118054971
en,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6465126497659233,0.47154135194527796,0.0970873786407767,0.7335844700866995,0.6114676639886724,0.5990220048899756,0.4180603241923738
en,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.9956491743206906,0.9960683111205854,0.9659367396593674,0.996309121481167,0.9971022484342352,0.9950525664811379,0.9950997355357821,0.6520104820399085,0.49294917150535505,0.08737864077669903,0.7437038581454661,0.6146424099943006,0.5990220048899756,0.435526594876081
en,title_and_first_sentence_each_paragraph,LinearSVM,No Upsampling,LinearSVMDual,0.9996938469357141,0.9992927864214993,0.9975669099756691,0.9993936968726884,0.9985994397759104,1.0,1.0,0.6644525170597425,0.5081537423919559,0.11650485436893204,0.7330940507533396,0.6004690817237438,0.6210268948655256,0.4613943788124763
en,title_and_first_sentence_each_paragraph,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6538295886518215,0.4886987273749611,0.0970873786407767,0.7292003697490589,0.5889797679235056,0.60880195599022,0.44232276902343004
en,title_and_first_sentence_each_paragraph,LinearSVM,SMOTE,LinearSVMDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6522357276381516,0.48418057618833715,0.08737864077669903,0.7311311884337917,0.6170088664836564,0.6112469437652812,0.4362678647922341
