language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
fr,raw_text,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.6468841226350461,0.545577171678285,0.20118343195266272,1.0,1.0,0.5069306930693069,0.4076241832765494,0.26183658623208583,0.21275807271802694,0.047619047619047616,0.4250223321651893,0.3419604205318491,0.21428571428571427,0.17689084724799012
fr,raw_text,KNN,No Upsampling,kNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4008861720884871,0.3303180089830006,0.11904761904761904,0.5226478217549646,0.4554692331478046,0.40476190476190477,0.3275262832405689
fr,raw_text,KNN,Random Oversampling,kNN_ROS,0.7788181338923592,0.7504425799449921,0.22485207100591717,0.7196338156712767,0.6552686720222146,0.8851485148514852,0.9238735575201742,0.43542097249549194,0.38414405903829263,0.047619047619047616,0.4677964451773976,0.36331941867656153,0.48412698412698413,0.47096474953617806
fr,raw_text,KNN,SMOTE,kNN_SMOTE,0.8004571954544234,0.7629249361706443,0.24260355029585798,0.742335754346911,0.668205458102732,0.906930693069307,0.9444113947873347,0.43714466625551723,0.3941579087805396,0.047619047619047616,0.4340507376221661,0.35596694971694964,0.49206349206349204,0.4953014842300556
fr,raw_text,KNN,SVMSMOTE,kNN_SVMSMOTE,0.6369841639423613,0.5139575473888955,0.17751479289940827,0.8491353805255455,0.8807958582157563,0.5801980198019802,0.43791572769458664,0.4008861720884871,0.3303180089830006,0.11904761904761904,0.5226478217549646,0.4554692331478046,0.40476190476190477,0.3275262832405689
fr,raw_text,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.9877703870349269,0.9797498174999025,0.9349112426035503,0.9787633049019188,0.9664089878375594,0.998019801980198,0.9952380952380953,0.38921844616289053,0.32075956450956455,0.14285714285714285,0.5049618921642731,0.427451814058957,0.36507936507936506,0.2949536178107607
fr,raw_text,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.99897575964493,0.9975369458128078,0.9940828402366864,1.0,1.0,0.998019801980198,0.9952380952380953,0.34243865067394474,0.27760611937082524,0.047619047619047616,0.42000369171237517,0.3347354093152412,0.31746031746031744,0.25936456400742114
fr,raw_text,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3884681894437992,0.280534262485482,0.09523809523809523,0.4997373949579832,0.36869747899159666,0.373015873015873,0.2710250463821892
fr,raw_text,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3760213032581453,0.3152224310776942,0.11904761904761904,0.5075642792729628,0.4319715065513384,0.35714285714285715,0.29453153988868275
fr,raw_text,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.9989896948878562,0.9985422740524782,0.9940828402366864,1.0,1.0,0.998019801980198,0.9971428571428572,0.32192191450062513,0.22188905547226387,0.07142857142857142,0.39937469937469944,0.26439393939393946,0.29365079365079366,0.20683673469387753
