language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
fr,title_and_5_sentences,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14806917791992416,0.053304904051172705,0.0,0.11810279667422525,0.04251700680272109,0.1984126984126984,0.07142857142857142
fr,title_and_5_sentences,KNN,No Upsampling,kNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21687271687271686,0.13694863694863696,0.023809523809523808,0.2811087547929653,0.17861962598804704,0.1984126984126984,0.12663729128014842
fr,title_and_5_sentences,KNN,Random Oversampling,kNN_ROS,0.3900834139227876,0.21316057585825027,0.15384615384615385,0.3920792079207921,0.21428571428571427,0.38811881188118813,0.21205302633874062,0.14806917791992416,0.053304904051172705,0.0,0.11810279667422525,0.04251700680272109,0.1984126984126984,0.07142857142857142
fr,title_and_5_sentences,KNN,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14806917791992416,0.053304904051172705,0.0,0.11810279667422525,0.04251700680272109,0.1984126984126984,0.07142857142857142
fr,title_and_5_sentences,KNN,SVMSMOTE,kNN_SVMSMOTE,0.3900834139227876,0.21316057585825027,0.15384615384615385,0.3920792079207921,0.21428571428571427,0.38811881188118813,0.21205302633874062,0.14806917791992416,0.053304904051172705,0.0,0.11810279667422525,0.04251700680272109,0.1984126984126984,0.07142857142857142
fr,title_and_5_sentences,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.979154977791776,0.9703439579749455,0.8994082840236687,0.9599687822131986,0.9436887468757805,1.0,1.0,0.3460632146030892,0.27730596697110527,0.047619047619047616,0.4084795955419205,0.3518098906229158,0.3253968253968254,0.25653679653679656
fr,title_and_5_sentences,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3379694789793312,0.2718126905934788,0.047619047619047616,0.41011589821113625,0.33531746031746035,0.31746031746031744,0.2534863945578231
fr,title_and_5_sentences,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36007720781372177,0.29514685639651755,0.023809523809523808,0.3903335408237369,0.3166549953314659,0.35714285714285715,0.2938744588744589
fr,title_and_5_sentences,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3426023439678902,0.2780944195860162,0.023809523809523808,0.37083572220311123,0.29981080151358785,0.3412698412698413,0.27717687074829933
fr,title_and_5_sentences,LinearSVM,SMOTE,LinearSVMDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32944379253903067,0.26839430410858983,0.0,0.4328102001034332,0.36154672395273896,0.30952380952380953,0.24923778602350027
fr,title_and_5_sentences,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3624888104854004,0.3203843329163022,0.047619047619047616,0.37608488814629165,0.3298350041771094,0.36507936507936506,0.32351731601731604
fr,title_and_5_sentences,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3306021594040027,0.26325882259061983,0.047619047619047616,0.3853367370339949,0.3205979760325182,0.30952380952380953,0.24111162646876932
fr,title_and_5_sentences,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3306525499305837,0.266886940504452,0.047619047619047616,0.3952212463932942,0.3419815294538869,0.30952380952380953,0.24111162646876932
fr,title_and_5_sentences,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33120684572297476,0.26734045524368105,0.047619047619047616,0.3898718844262851,0.3376047787536067,0.30952380952380953,0.24111162646876932
fr,title_and_5_sentences,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.315895861421313,0.24070254799934604,0.023809523809523808,0.38190814337430873,0.3230039384174722,0.30158730158730157,0.22325448361162645
fr,title_and_5_sentences,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33409085367610714,0.28316782235865995,0.047619047619047616,0.3543727042473909,0.3102697219238572,0.3412698412698413,0.286060606060606
fr,title_and_5_sentences,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34647033897734175,0.2871504662471049,0.047619047619047616,0.42140486799008103,0.38454021959661056,0.3253968253968254,0.26049938157081015
fr,title_and_5_sentences,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35286893730012914,0.3004720167636948,0.0,0.4171416714834082,0.4003217953848206,0.3492063492063492,0.2890306122448979
fr,title_and_5_sentences,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33621847728990584,0.2714491857349,0.023809523809523808,0.40103616495331074,0.3521822764193397,0.31746031746031744,0.24621366728509586
fr,title_and_5_sentences,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3643480525022615,0.2863152744842263,0.023809523809523808,0.42487939620292564,0.35990896358543417,0.35714285714285715,0.275112863327149
fr,title_and_5_sentences,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.7557469354851633,0.8037733464887298,0.27218934911242604,0.8248581966235685,0.8279257214561,0.7267326732673267,0.8115931186607879,0.27869449774211674,0.25716030001744283,0.023809523809523808,0.4431216931216931,0.3482142857142857,0.2619047619047619,0.24989332096474956
fr,title_and_5_sentences,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37420411414267024,0.31726414906138417,0.023809523809523808,0.5286456687938333,0.4655342041122669,0.3333333333333333,0.27802102659245514
fr,title_and_5_sentences,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3645258841687413,0.3073435588988585,0.023809523809523808,0.46896869859054735,0.4224589835934374,0.3333333333333333,0.27438466295609154
fr,title_and_5_sentences,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35081270176316254,0.2951960386004165,0.023809523809523808,0.4482015028233515,0.40222088835534214,0.3253968253968254,0.26789115646258504
fr,title_and_5_sentences,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.9479177672336686,0.9343216522049105,0.7455621301775148,0.9813954897793927,0.9807331045810309,0.9207920792079208,0.8988868181305156,0.3271209622086816,0.25731071351372103,0.023809523809523808,0.5162322651357739,0.429645829316882,0.2857142857142857,0.22068954854669137
