language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
fr,title_and_first_sentence_each_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.42906614464620657,0.29161572960665866,0.08875739644970414,0.7064127298509857,0.613396036305309,0.3485148514851485,0.22657897657897655,0.24974183780574755,0.16506823377124127,0.0,0.36725681725681725,0.25540293040293044,0.1984126984126984,0.1296103896103896
fr,title_and_first_sentence_each_paragraph,KNN,No Upsampling,kNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20771886982413293,0.12836707152496626,0.023809523809523808,0.271898075469504,0.17026425954997385,0.18253968253968253,0.11519944341372913
fr,title_and_first_sentence_each_paragraph,KNN,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29921860101577685,0.1986321338054329,0.0,0.37781084656084657,0.2648809523809524,0.2698412698412698,0.17799628942486084
fr,title_and_first_sentence_each_paragraph,KNN,SMOTE,kNN_SMOTE,0.35833338000573195,0.21741489404891992,0.0650887573964497,0.49996734410283133,0.333483709273183,0.3108910891089109,0.18325759453579002,0.20771886982413293,0.12836707152496626,0.023809523809523808,0.271898075469504,0.17026425954997385,0.18253968253968253,0.11519944341372913
fr,title_and_first_sentence_each_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,0.5545662618028045,0.49196016240418056,0.03550295857988166,0.601214876177348,0.5155661882421778,0.5663366336633663,0.5550268700290816,0.3436979312555349,0.28705613313908246,0.0,0.46930568523705773,0.3692354214413038,0.3412698412698413,0.3298067408781694
fr,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.9883934087674123,0.9824384733139251,0.9408284023668639,0.9794214379437192,0.9710712837090221,0.998019801980198,0.9948979591836735,0.3515807856350658,0.27315969915438437,0.0,0.38269895677569266,0.3175672900739243,0.3492063492063492,0.26352040816326533
fr,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.998973230656399,0.9973544973544973,0.9940828402366864,1.0,1.0,0.998019801980198,0.9948979591836735,0.3660473677089274,0.28247933859474145,0.0,0.42047172404315264,0.3474412492269635,0.35714285714285715,0.26637755102040817
fr,title_and_first_sentence_each_paragraph,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3521494992173801,0.27497682723705386,0.0,0.3787987434917259,0.31747740563530036,0.3492063492063492,0.26352040816326533
fr,title_and_first_sentence_each_paragraph,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3541032047425909,0.27742164059299607,0.0,0.40262859529776823,0.3413668098818475,0.3412698412698413,0.25702690166975883
fr,title_and_first_sentence_each_paragraph,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.9989845138359991,0.9981684981684982,0.9940828402366864,1.0,1.0,0.998019801980198,0.9964285714285713,0.35497621305342447,0.270294626038629,0.023809523809523808,0.42617787855883094,0.34892290249433106,0.3412698412698413,0.24956400742115029
fr,title_and_first_sentence_each_paragraph,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35361447374345556,0.28325173621245536,0.0,0.3687645038522231,0.30769727348674714,0.35714285714285715,0.28092300556586275
fr,title_and_first_sentence_each_paragraph,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29475616975616975,0.20333832833832832,0.047619047619047616,0.42881562881562874,0.3084249084249084,0.24603174603174602,0.1684137291280148
fr,title_and_first_sentence_each_paragraph,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32285359175603073,0.22107454102227622,0.047619047619047616,0.438240231990232,0.31331436420722136,0.2777777777777778,0.18796846011131724
