language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
fr,title,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20572566682406498,0.11185572627220224,0.023809523809523808,0.19924204249601074,0.10322184429327286,0.23015873015873015,0.13439703153988866
fr,title,KNN,No Upsampling,kNN,0.5175715904374019,0.43205815474460685,0.1242603550295858,0.8127069468030547,0.8069320999783701,0.42574257425742573,0.34928113338330063,0.277781579559976,0.20245411926071596,0.047619047619047616,0.36318914771295724,0.25751906823335396,0.25396825396825395,0.19519016697588126
fr,title,KNN,Random Oversampling,kNN_ROS,0.22996552209668014,0.1255900571179845,0.0650887573964497,0.23772462287764473,0.13050327955609725,0.2613861386138614,0.1418018489447061,0.23317986198310742,0.12743780897939114,0.0,0.21662596662596662,0.11530136530136528,0.2619047619047619,0.14946196660482378
fr,title,KNN,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2350900399146013,0.15273600668337511,0.023809523809523808,0.2847222222222222,0.21071428571428572,0.23015873015873015,0.14781539888682746
fr,title,KNN,SVMSMOTE,kNN_SVMSMOTE,0.22006500045165805,0.1199404034585486,0.05917159763313609,0.24355789631160915,0.1337262068288854,0.2376237623762376,0.12830106401534974,0.23218390804597702,0.12926108374384238,0.023809523809523808,0.21860206070732385,0.11859649122807017,0.25396825396825395,0.1466048237476809
fr,title,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.9980504137370259,0.997791580400276,0.9881656804733728,0.9961598408716434,0.9956628828442922,1.0,1.0,0.2621391148488944,0.21913793590812225,0.0,0.3384343795997931,0.2810597923379878,0.2619047619047619,0.2176144094001237
fr,title,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.270154757059519,0.22363073434502007,0.0,0.3559122164385322,0.31496047811837286,0.2698412698412698,0.2180364873222016
fr,title,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2694536166999935,0.2131353187874927,0.0,0.34410629748975613,0.2865198711063372,0.2777777777777778,0.21917285095856523
fr,title,LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.9990185105467068,0.9993788819875776,0.9940828402366864,0.998053943325367,0.9987684729064039,1.0,1.0,0.26410921931580195,0.22948788023367855,0.0,0.33815822625346437,0.31417233560090707,0.2777777777777778,0.23423778602350032
fr,title,LinearSVM,SMOTE,LinearSVMDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2677585123663555,0.21135612753259814,0.0,0.34511507706996425,0.2867422677573054,0.2698412698412698,0.21267934446505873
fr,title,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2751771768775767,0.21451736585919495,0.0,0.3488032249937012,0.2665532879818594,0.2698412698412698,0.2140708101422387
fr,title,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26430945597612265,0.20744592708878426,0.0,0.34760787505885543,0.28760324642677587,0.25396825396825395,0.1986487322201608
fr,title,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26430945597612265,0.20744592708878426,0.0,0.34760787505885543,0.28760324642677587,0.25396825396825395,0.1986487322201608
fr,title,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.254589246053073,0.20404939606258066,0.0,0.34050332383665716,0.2851953601953602,0.24603174603174602,0.19579158936301794
fr,title,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29474533403104836,0.2518903715332287,0.0,0.36019251264349306,0.28497254379607323,0.29365079365079366,0.27049938157081016
fr,title,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2551346801346801,0.19415584415584414,0.0,0.38230347694633404,0.30085034013605444,0.2222222222222222,0.16858379715522573
fr,title,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22171024653493096,0.16670556340963075,0.0,0.3461984793917567,0.2702790206991888,0.1984126984126984,0.14786951144094002
fr,title,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23223213205681648,0.1704934421975095,0.0,0.356827731092437,0.2741055513114337,0.20634920634920634,0.15072665429808288
fr,title,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23103129329837407,0.17245213378753751,0.0,0.38747795414462083,0.32132936507936505,0.1984126984126984,0.14562461348175634
fr,title,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28040241838019014,0.20946193726757564,0.023809523809523808,0.4201281652262045,0.3265100912159736,0.24603174603174602,0.18322665429808288
fr,title,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2502997017205926,0.1837082144685831,0.0,0.43192758584915447,0.36321195144724555,0.21428571428571427,0.15620902906617193
fr,title,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.9826519139098964,0.9861852346702902,0.893491124260355,0.9661986587294484,0.9730613559881852,1.0,1.0,0.27303160321367603,0.21187414359683263,0.023809523809523808,0.47073702775457155,0.4074352548036759,0.23809523809523808,0.18209029066171922
fr,title,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27857085595180836,0.20230364873222015,0.023809523809523808,0.4544551614727053,0.37922457659299763,0.24603174603174602,0.1771552257266543
fr,title,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24616464919844336,0.18788360896655826,0.0,0.4315190891171283,0.36854999575587805,0.21428571428571427,0.16209029066171923
fr,title,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.9280935543463831,0.9579265967379251,0.6627218934911243,0.9838320726482586,0.9908203080563328,0.8891089108910891,0.9351496874053266,0.2658395849922461,0.2080010034316757,0.023809523809523808,0.44907407407407407,0.375,0.23015873015873015,0.17784168212739643
fr,title,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.9858463014144654,0.978948828550093,0.9230769230769231,0.9729309868317574,0.9600965471685006,1.0,1.0,0.29873355111809413,0.25357635177240084,0.0,0.3775200989486704,0.33324056895485465,0.30158730158730157,0.25660791589363013
fr,title,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.9951487370402602,0.9928411135240854,0.9704142011834319,0.9904868092827701,0.9860115223000745,1.0,1.0,0.3161771306010937,0.2700600704978585,0.0,0.36464131106988246,0.30025896722325296,0.3333333333333333,0.2899288806431664
fr,title,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,0.9980478252428823,0.997978321763488,0.9881656804733728,0.9961499067678652,0.9960212201591512,1.0,1.0,0.30618045558369517,0.26271781845402603,0.023809523809523808,0.38696206327785276,0.3220165799113167,0.30952380952380953,0.2685884353741496
fr,title,LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2769540424302329,0.22760929546643835,0.0,0.33967344268096145,0.28426448238478313,0.2777777777777778,0.22696505875077302
fr,title,LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidgeDual_SVMSMOTE,0.9807887399196045,0.9794991395889303,0.8875739644970414,0.9920517427682619,0.9946802883832958,0.9702970297029703,0.9655700930844672,0.2511154630202249,0.18030818387961242,0.0,0.3102073152493321,0.22401597002437337,0.25396825396825395,0.1858936301793445
fr,title,NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.9526205014873157,0.9324852630233895,0.7988165680473372,0.9120089370266529,0.8763988942531646,1.0,1.0,0.3575908968766112,0.3159343552200696,0.023809523809523808,0.3940531683476001,0.3190780393011514,0.38095238095238093,0.3820995670995671
fr,title,NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.9483444021080727,0.9270742578045365,0.7692307692307693,0.9063465522290323,0.8685311223837824,0.998019801980198,0.9989010989010989,0.34888858751014146,0.3123126539291953,0.023809523809523808,0.39150953487898793,0.3212810483044892,0.373015873015873,0.37785095856524425
fr,title,NaiveBayes,No Upsampling,ComplementNaiveBayes,0.8531645352727851,0.7887020159438242,0.48520710059171596,0.7842825499464949,0.6891227082388912,0.9623762376237623,0.9620842723054134,0.27997806620350035,0.19987182383955165,0.023809523809523808,0.34966043656519846,0.2306483199340342,0.2857142857142857,0.2118676561533704
fr,title,NaiveBayes,No Upsampling,NaiveBayes,0.9990185105467068,0.9993788819875776,0.9940828402366864,0.998053943325367,0.9987684729064039,1.0,1.0,0.3252847162945685,0.28056868684947506,0.023809523809523808,0.35095953429286764,0.272712604855462,0.3492063492063492,0.34304112554112554
fr,title,NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.854728167410417,0.7880222007339738,0.47337278106508873,0.7808429252481067,0.6840811869567943,0.9722772277227723,0.9708945305517619,0.27739898560332,0.2063872659847892,0.023809523809523808,0.3505883005883006,0.23826173826173827,0.2857142857142857,0.21921459492888062
fr,title,NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.8881636898711095,0.8176589036696432,0.4437869822485207,0.820834675469469,0.716779629211693,0.998019801980198,0.9989010989010989,0.3490297444912243,0.28812785111412115,0.023809523809523808,0.38801821453218965,0.29797951789411414,0.373015873015873,0.3313342609771181
fr,title,NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.9892710886625959,0.9893703160812061,0.9408284023668639,0.9808337647100203,0.9809183938837753,0.998019801980198,0.9981684981684982,0.33247958619917933,0.2821082691449786,0.023809523809523808,0.3795401201416239,0.28982575486334883,0.3492063492063492,0.33287878787878783
fr,title,NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.9990185105467068,0.9993788819875776,0.9940828402366864,0.998053943325367,0.9987684729064039,1.0,1.0,0.31577318953483813,0.2793253700234034,0.023809523809523808,0.36524313429075334,0.2985260770975056,0.3253968253968254,0.32356060606060605
fr,title,NaiveBayes,SVMSMOTE,ComplementNaiveBayes_SVMSMOTE,0.9990185105467068,0.9993788819875776,0.9940828402366864,0.998053943325367,0.9987684729064039,1.0,1.0,0.3252847162945685,0.28056868684947506,0.023809523809523808,0.35095953429286764,0.272712604855462,0.3492063492063492,0.34304112554112554
fr,title,NaiveBayes,SVMSMOTE,NaiveBayes_SVMSMOTE,0.9990185105467068,0.9993788819875776,0.9940828402366864,0.998053943325367,0.9987684729064039,1.0,1.0,0.3252847162945685,0.28056868684947506,0.023809523809523808,0.35095953429286764,0.272712604855462,0.3492063492063492,0.34304112554112554
fr,title,RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0.47003226853172586,0.46120850175127515,0.07692307692307693,0.6598995695644199,0.6353168858583208,0.37623762376237624,0.37413125672303027,0.2754966119001207,0.21943847714524403,0.023809523809523808,0.4616402116402117,0.35773809523809524,0.24603174603174602,0.19651669758812615
fr,title,RandomForest,No Upsampling,RandomForest,0.3846475011571032,0.3423674429725491,0.0,0.46552473927499516,0.3467860925792335,0.592079207920792,0.6716860457837902,0.3059883863214654,0.29509561752124686,0.0,0.4196082334013369,0.28165397820570237,0.5555555555555556,0.6486641929499072
fr,title,RandomForest,Random Oversampling,RandomForest_ROS,0.5336692669588056,0.5699968143586397,0.07692307692307693,0.6768335776300817,0.6635842401040418,0.4633663366336634,0.5220468611932566,0.278037489075362,0.24439921995474775,0.0,0.4578638862952588,0.32158029878618116,0.2698412698412698,0.239047619047619
fr,title,RandomForest,SMOTE,RandomForest_SMOTE,0.44846040364506295,0.4540178998594235,0.09467455621301775,0.734854816631444,0.7642566473638718,0.32673267326732675,0.32682411008815254,0.26797633583347863,0.22871533228676083,0.023809523809523808,0.5435185185185185,0.44226190476190474,0.23015873015873015,0.1925773036487322
fr,title,RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,0.4150281511122697,0.39561715923164614,0.05325443786982249,0.6888653835429625,0.6780563784653646,0.36237623762376237,0.3333029185174254,0.2501865035501114,0.1982641491023163,0.0,0.41775714915595874,0.2642786281179138,0.2698412698412698,0.21677643784786643
fr,title,RidgeClassifier,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0.9951664789074216,0.9915611645360077,0.9704142011834319,0.9905552139064837,0.9835440698018338,1.0,1.0,0.2947361280694614,0.23609723609723612,0.0,0.3842890053416369,0.31927546138072455,0.30158730158730157,0.24280921459492885
fr,title,RidgeClassifier,No Upsampling,RidgeClassifier,0.9921851970317104,0.9912462230002511,0.9644970414201184,0.9865835606714848,0.9839501329214392,0.998019801980198,0.9989010989010989,0.3321785743597947,0.2755242820642894,0.0,0.4009832272990167,0.336302294197031,0.3333333333333333,0.27557823129251696
fr,title,RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,0.9890108796479604,0.9907024024527085,0.9408284023668639,0.994059405940594,0.9958949571731527,0.9841584158415841,0.9857301220083174,0.3296170621147246,0.27597768154395086,0.023809523809523808,0.42266313932980604,0.3562358276643991,0.3253968253968254,0.2720717377860235
fr,title,RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,0.9969785989587971,0.9963132105989249,0.9822485207100592,1.0,1.0,0.994059405940594,0.9927655677655677,0.27083161547447265,0.20605931766646052,0.0,0.3751972523902348,0.29907913723703194,0.2619047619047619,0.20017934446505875
fr,title,RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3178462595321275,0.29110805029583836,0.0,0.3956858837811219,0.3677386105957535,0.31746031746031744,0.300091218305504
fr,title,SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,0.8354727931856307,0.8404084998867899,0.3905325443786982,0.8739967492471707,0.8633049438751772,0.8158415841584158,0.832141277809124,0.33335384135073576,0.30040884753617675,0.023809523809523808,0.41603363567649276,0.33104514533085955,0.35714285714285715,0.330299938157081
fr,title,SVM,BorderlineSMOTE,SVM_sigmoid_BorderlineSMOTE,0.9501311715125753,0.9348098567480034,0.7751479289940828,0.9160607265725794,0.8853411874433308,0.9900990099009901,0.9941621452899648,0.34591275754509937,0.31457376417330657,0.023809523809523808,0.3659155328798185,0.30426587301587305,0.38095238095238093,0.3749288806431664
fr,title,SVM,No Upsampling,SVM_rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30106908083098555,0.2406462585034014,0.0,0.39686531791794954,0.33081392291918604,0.30158730158730157,0.24037414965986392
fr,title,SVM,No Upsampling,SVM_sigmoid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34742983512189135,0.3087249643804073,0.0,0.40168734160330793,0.34453144894321364,0.36507936507936506,0.3378509585652442
fr,title,SVM,Random Oversampling,SVM_rbf_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27254506715772286,0.2253739142815952,0.0,0.37700700163106177,0.3197547440028643,0.2698412698412698,0.22167285095856523
fr,title,SVM,Random Oversampling,SVM_sigmoid_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34875258644464274,0.30980721546265844,0.0,0.403199057400738,0.3457683073229291,0.36507936507936506,0.3378509585652442
fr,title,SVM,SMOTE,SVM_rbf_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2596036307243204,0.19388745832711352,0.0,0.37081128747795417,0.2906204906204906,0.24603174603174602,0.18475726654298083
fr,title,SVM,SMOTE,SVM_sigmoid_SMOTE,0.9612407496894114,0.968530621501494,0.834319526627219,0.9648873258366559,0.96806427024251,0.9584158415841584,0.9698827738677364,0.37073123207575753,0.32882800228638526,0.023809523809523808,0.42401990935825523,0.36239821164633185,0.38095238095238093,0.35856524427953
fr,title,SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28016604973126713,0.22591442374051068,0.0,0.38178780284043445,0.319708361813625,0.2777777777777778,0.22209492888064314
fr,title,SVM,SVMSMOTE,SVM_sigmoid_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3501870890069648,0.3162445750955068,0.0,0.40001815541031227,0.3442480022311955,0.373015873015873,0.3557081014223871
fr,title,XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,0.9685678558850751,0.980768153610294,0.8520710059171598,0.9410017571666816,0.9637975316917563,1.0,1.0,0.34392703006089453,0.24925803548500874,0.023809523809523808,0.33809523809523817,0.26025046382189243,0.42857142857142855,0.3124381570810142
fr,title,XGBoost,BorderlineSMOTE,XGBoost_broad_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2524428050790209,0.1988884801232321,0.0,0.3845946775771337,0.2759237838185207,0.23015873015873015,0.1871598639455782
fr,title,XGBoost,No Upsampling,XGBoost_narrow,0.963424242781421,0.9776296511028654,0.834319526627219,0.9319775368898818,0.9582290939052839,1.0,1.0,0.34626806309246466,0.2482543929212639,0.023809523809523808,0.3380487237630095,0.2583267922553637,0.4365079365079365,0.315295299938157
fr,title,XGBoost,No Upsampling,XGBoost_broad,0.9891407215855754,0.9765806286736519,0.9526627218934911,1.0,1.0,0.9801980198019802,0.9574975444723343,0.2027362471447572,0.15544873821592606,0.0,0.41027336860670194,0.31349206349206343,0.16666666666666666,0.12877860235003094
fr,title,XGBoost,Random Oversampling,XGBoost_narrow_ROS,0.9811792055117919,0.9893775758478573,0.9349112426035503,0.964135342105639,0.9797593279736138,1.0,1.0,0.30351158982111365,0.21450989486703773,0.023809523809523808,0.2941004965032425,0.21739294267898387,0.36507936507936506,0.25960420531849104
fr,title,XGBoost,Random Oversampling,XGBoost_broad_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28719473295399617,0.21410597802758866,0.0,0.29328027507299215,0.2220221421902094,0.30158730158730157,0.227939084724799
fr,title,XGBoost,SMOTE,XGBoost_narrow_SMOTE,0.9803565408749892,0.9887798428765028,0.9289940828402367,0.9627595107483721,0.9787383365508366,1.0,1.0,0.32727799096846716,0.2409188034188034,0.023809523809523808,0.4033614951356887,0.3519278033794163,0.36507936507936506,0.25960420531849104
fr,title,XGBoost,SMOTE,XGBoost_broad_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3073811493515927,0.22433671478006453,0.023809523809523808,0.4517121326645136,0.34077509791795507,0.2777777777777778,0.207939084724799
fr,title,XGBoost,SVMSMOTE,XGBoost_narrow_SVMSMOTE,0.9952202116763401,0.9975369458128078,0.9704142011834319,0.9907590759075907,0.9952380952380953,1.0,1.0,0.32793777453737394,0.24320437729405514,0.0,0.3640386638986079,0.2789187469859739,0.3333333333333333,0.250991032776747
fr,title,XGBoost,SVMSMOTE,XGBoost_broad_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.324378963492264,0.23451352424258828,0.023809523809523808,0.3920461606618528,0.30999813945840937,0.3333333333333333,0.23641311069882495
