language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ge,title_and_5_sentences,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.41302968776723237,0.27069905984792575,0.05673758865248227,0.45374924205716527,0.30116775922842426,0.3936348408710218,0.2551837351746451,0.3689940432862576,0.2497288467785362,0.0,0.42579197288499615,0.28278190063904346,0.3372093023255814,0.234953191803037
ge,title_and_5_sentences,KNN,No Upsampling,kNN,0.3959289516582404,0.25886824899636324,0.04964539007092199,0.45615088402838405,0.3033367734158504,0.37018425460636517,0.23909030756584373,0.38758127031757933,0.2632387420163312,0.0,0.42618544246451223,0.28345539172606843,0.36627906976744184,0.25714408570445724
ge,title_and_5_sentences,KNN,Random Oversampling,kNN_ROS,0.3959289516582404,0.25886824899636324,0.04964539007092199,0.45615088402838405,0.3033367734158504,0.37018425460636517,0.23909030756584373,0.38758127031757933,0.2632387420163312,0.0,0.42618544246451223,0.28345539172606843,0.36627906976744184,0.25714408570445724
ge,title_and_5_sentences,KNN,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3697895430343629,0.25069773923659194,0.0,0.42513191323040844,0.28125250100040017,0.3372093023255814,0.23696189001916554
ge,title_and_5_sentences,KNN,SVMSMOTE,kNN_SVMSMOTE,0.3729605139637857,0.24355978645456514,0.05673758865248227,0.47426269135224414,0.31567128309789355,0.32830820770519265,0.2117514577867047,0.37754834599554604,0.25886227493520536,0.0,0.4526419226957873,0.30358772296797504,0.3313953488372093,0.23276020934689665
ge,title_and_5_sentences,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4533377099749593,0.39322113447241547,0.0,0.4895556186199861,0.42473707186223775,0.4418604651162791,0.39207349606509273
ge,title_and_5_sentences,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41691315939252926,0.3356012474676069,0.0,0.49282430026274077,0.4180972388955583,0.38953488372093026,0.3131940495496444
ge,title_and_5_sentences,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4244229229690269,0.3451098548023012,0.0,0.4993996048031616,0.42745098039215684,0.3953488372093023,0.3203369066925016
ge,title_and_5_sentences,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4327664778584195,0.3518078912597185,0.0,0.49346020816249064,0.4156683407015119,0.4127906976744186,0.3364933692775356
ge,title_and_5_sentences,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.9863392579305392,0.9787848871692829,0.900709219858156,0.9769615768795135,0.9639465245888058,0.9966499162479062,0.9952621279225461,0.4796194606569346,0.3823844909340625,0.0,0.5283847079590388,0.42429481500664895,0.46511627906976744,0.37811001593619903
ge,title_and_5_sentences,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.442618680342581,0.3836628253187945,0.0,0.4916839593854678,0.4308499715675743,0.43023255813953487,0.3814092303588102
ge,title_and_5_sentences,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4158337752445121,0.35093558039775863,0.0,0.5335138997459449,0.47914415766306523,0.37790697674418605,0.3193552859740388
ge,title_and_5_sentences,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42979976299269224,0.355764507842689,0.0,0.5259002177982577,0.4534716079414221,0.3953488372093023,0.330749843797168
ge,title_and_5_sentences,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40694467761719727,0.3311298001231345,0.0,0.491788667613736,0.4253110859728507,0.37209302325581395,0.3014981431168959
ge,title_and_5_sentences,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41168585772746275,0.3298405787546125,0.0,0.4908098413784118,0.4084425436841403,0.38372093023255816,0.3105505360038752
ge,title_and_5_sentences,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43542035396585155,0.35776931551433216,0.0,0.48306692117891625,0.39898854278553525,0.4069767441860465,0.33573718961268717
ge,title_and_5_sentences,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4553643214803069,0.3821342593181904,0.0,0.49881843802392434,0.4092742360101935,0.43023255813953487,0.37128807663416247
ge,title_and_5_sentences,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4548769397101045,0.38524274116788015,0.0,0.49667483679111585,0.411894350428185,0.43023255813953487,0.3740203976327373
ge,title_and_5_sentences,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4238878366193807,0.3440281232017113,0.0,0.47303216299544326,0.3872038153993041,0.3953488372093023,0.3223585048054309
ge,title_and_5_sentences,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44052328485468023,0.35706424527853103,0.0,0.498893548312153,0.40270205984491697,0.4069767441860465,0.33346961591654206
ge,title_and_5_sentences,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.9966955727163188,0.9951209338047835,0.9716312056737588,0.9951762782164794,0.9914115646258503,0.998324958123953,0.9990215264187867,0.42099063562319594,0.34325353251288515,0.0,0.48587964702875786,0.3931729101897169,0.37790697674418605,0.3110698665431085
