language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ge,title_and_first_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3471244452394611,0.2357590616891918,0.0,0.36423832949995744,0.245130167451596,0.3372093023255814,0.23195243009484498
ge,title_and_first_paragraph,KNN,No Upsampling,kNN,0.19048535314333678,0.11662818877166221,0.0425531914893617,0.4488894251115468,0.29001793963730327,0.23618090452261306,0.14399487948226056,0.07821655089096949,0.06595547309833023,0.0,0.07559177740863787,0.05854591836734694,0.10465116279069768,0.10526315789473684
ge,title_and_first_paragraph,KNN,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36051804263613646,0.24400614840266505,0.0,0.37148406768789805,0.24973989595838336,0.36046511627906974,0.2464156715317706
ge,title_and_first_paragraph,KNN,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0806798844944052,0.0675483053531834,0.0,0.06868770764119601,0.05408163265306122,0.11627906976744186,0.11278195488721805
ge,title_and_first_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,0.3778634295436214,0.24639806754810992,0.03546099290780142,0.418255603679363,0.2745075547531929,0.35175879396984927,0.22788948807886142,0.34701492468705414,0.23688838438601248,0.0,0.38469556928859244,0.2608271358271358,0.32558139534883723,0.22401592215833702
ge,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.9991782813438261,0.9986522911051213,0.9929078014184397,0.9983869967119549,0.9973544973544973,1.0,1.0,0.4579606994121765,0.39478865108636463,0.0,0.5177556540586636,0.4555122048819528,0.45348837209302323,0.4012004801920768
ge,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44248296326173986,0.3782808810293488,0.0,0.5423694710442316,0.5087472357363998,0.42441860465116277,0.36180305455515543
ge,title_and_first_paragraph,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42370425542501033,0.35495343699197324,0.0,0.4979630435683788,0.4307995925642985,0.4069767441860465,0.34890622915833003
ge,title_and_first_paragraph,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4057049176582307,0.3364328464899585,0.0,0.4617612081830618,0.3912310019701661,0.38953488372093026,0.329625183406696
ge,title_and_first_paragraph,LinearSVM,SMOTE,LinearSVMDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42476942522122163,0.35473454134444843,0.0,0.47605164158686725,0.40701254185884883,0.4127906976744186,0.34998332666399895
