language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ge,title_and_first_sentence_each_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.4390050909318834,0.2879644603536064,0.04964539007092199,0.4278849325045735,0.2819375342855999,0.45896147403685095,0.29940075148308415,0.40615130177859676,0.2777966733252005,0.0,0.3759413067552603,0.2548006702681072,0.4476744186046512,0.3115724359919407
ge,title_and_first_sentence_each_paragraph,KNN,No Upsampling,kNN,0.15416165418513608,0.0966123329274197,0.014184397163120567,0.11740107853968772,0.07359539560505053,0.22445561139028475,0.14058956916099774,0.14362618432385874,0.09788359788359788,0.0,0.10938538205980065,0.07448979591836734,0.20930232558139536,0.14285714285714285
ge,title_and_first_sentence_each_paragraph,KNN,Random Oversampling,kNN_ROS,0.4345280050275588,0.2851196957327605,0.06382978723404255,0.44897515738989663,0.2955422780792657,0.4288107202680067,0.2802775167170736,0.40038421767604065,0.2754425296021221,0.0,0.38844379797957007,0.26663288405345165,0.4186046511627907,0.28893925991449215
ge,title_and_first_sentence_each_paragraph,KNN,SMOTE,kNN_SMOTE,0.4377111284213873,0.2871429552227992,0.05673758865248227,0.4538436904627586,0.2984848955707512,0.4304857621440536,0.28155815021122077,0.4169993471133312,0.28514045060097687,0.0,0.40191758465932276,0.27593984962406015,0.436046511627907,0.29669148361098824
ge,title_and_first_sentence_each_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40615130177859676,0.2777966733252005,0.0,0.3759413067552603,0.2548006702681072,0.4476744186046512,0.3115724359919407
ge,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4225576128444523,0.31102424308210513,0.0,0.4517775977922047,0.3411793305839082,0.4186046511627907,0.3113374297087256
ge,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4287530992059756,0.3206051300412202,0.0,0.4635754592534689,0.3575205082032813,0.42441860465116277,0.3197057770476612
ge,title_and_first_sentence_each_paragraph,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43266277227641714,0.3226065103034701,0.0,0.4650855770426564,0.3582935446906035,0.43023255813953487,0.32268196752385164
ge,title_and_first_sentence_each_paragraph,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4243571244358856,0.312402428670817,0.0,0.4505506933217262,0.3404364018334607,0.42441860465116277,0.31553911038099447
ge,title_and_first_sentence_each_paragraph,LinearSVM,SMOTE,LinearSVMDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4205672503889735,0.3097372417951038,0.0,0.4474456324479274,0.33837821013572894,0.4186046511627907,0.3113374297087256
ge,title_and_first_sentence_each_paragraph,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4389032125537633,0.3373693131587868,0.0,0.44977673327964024,0.3414386209029066,0.4418604651162791,0.34685330272459863
ge,title_and_first_sentence_each_paragraph,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39082370403163835,0.27919208961225767,0.0,0.4252978226174191,0.3000875350140056,0.37790697674418605,0.2780249819225936
ge,title_and_first_sentence_each_paragraph,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41745053117146136,0.30901906544763685,0.0,0.4535605965152279,0.3431363334807607,0.4069767441860465,0.30538504875634465
ge,title_and_first_sentence_each_paragraph,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4106685317946027,0.30372777181047855,0.0,0.4464008859357697,0.33784013605442176,0.4011627906976744,0.3006335867680406
ge,title_and_first_sentence_each_paragraph,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4303374491685385,0.3215346516474336,0.0,0.4632440476190476,0.35880102040816325,0.43023255813953487,0.3234651755439018
ge,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44695116532325835,0.3449484138769853,0.02857142857142857,0.4683704780361757,0.37986111111111115,0.45348837209302323,0.34707628665501294
ge,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4335691539204652,0.31798164747852803,0.02857142857142857,0.451279701718908,0.340784706331045,0.4418604651162791,0.3262429533216796
ge,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4274430088593404,0.313713982333746,0.0,0.4444428294573643,0.33672619047619046,0.436046511627907,0.32149149133337546
ge,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4371194613055079,0.3220774570774571,0.0,0.46084099541489393,0.3521653836973386,0.436046511627907,0.32295655104146925
ge,title_and_first_sentence_each_paragraph,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4584131478974755,0.3548430966704913,0.0,0.5079311838032768,0.3999754422686754,0.436046511627907,0.33886247481448717
ge,title_and_first_sentence_each_paragraph,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45652885225552997,0.33515010169554144,0.0,0.4779460514315885,0.3512056138244772,0.45348837209302323,0.33701471816796896
