language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ge,title,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.1745364203374335,0.11487633941994997,0.04964539007092199,0.5269021647384048,0.3654610095786567,0.16917922948073702,0.10903147801922426,0.06269556025369978,0.05441558441558441,0.02857142857142857,0.26345514950166116,0.16122448979591836,0.0755813953488372,0.08568295739348372
ge,title,KNN,No Upsampling,kNN,0.2597444336540137,0.17799391669833922,0.05673758865248227,0.5954080525285788,0.45543823225120933,0.23450586264656617,0.1555552828537242,0.09924858732998268,0.07830833187976045,0.02857142857142857,0.2818025935055192,0.18060127276717136,0.09883720930232558,0.09993734335839598
ge,title,KNN,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11383935410730153,0.09029738377564464,0.02857142857142857,0.24523809523809523,0.17074829931972788,0.11046511627906977,0.10990712074303406
ge,title,KNN,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15599278724779925,0.11675227709710469,0.02857142857142857,0.3093784606866002,0.20756802721088438,0.13953488372093023,0.12691471325372253
ge,title,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3637857645002725,0.2800832153984903,0.0,0.4620452791622422,0.3588052353808657,0.3313953488372093,0.2624990347015999
ge,title,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.9984087102177553,0.9964285714285713,0.9858156028368794,0.9969689718433437,0.9931972789115646,1.0,1.0,0.3637857645002725,0.2800832153984903,0.0,0.4620452791622422,0.3588052353808657,0.3313953488372093,0.2624990347015999
ge,title,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3637857645002725,0.2800832153984903,0.0,0.4620452791622422,0.3588052353808657,0.3313953488372093,0.2624990347015999
ge,title,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3506535478796837,0.2608881247748282,0.0,0.4756111706351105,0.3724106775577364,0.31976744186046513,0.24515209592608972
ge,title,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.9984087102177553,0.9964285714285713,0.9858156028368794,0.9969689718433437,0.9931972789115646,1.0,1.0,0.3637857645002725,0.2800832153984903,0.0,0.4620452791622422,0.3588052353808657,0.3313953488372093,0.2624990347015999
ge,title,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34660452755159366,0.2617271827567433,0.0,0.4589711402938147,0.35369838494838496,0.313953488372093,0.24555936409651583
ge,title,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34299362720217935,0.26071054550317224,0.0,0.473667588433692,0.4007953363771778,0.313953488372093,0.24217590544989925
ge,title,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3404533144236363,0.25906793724035493,0.0,0.47447501626280697,0.4013174325674326,0.3081395348837209,0.23841650695365862
ge,title,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33599757864095114,0.2561867847793705,0.0,0.47217365967365965,0.39982933732933734,0.3023255813953488,0.23465710845741805
ge,title,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3335662890003592,0.2503426289352147,0.0,0.431475985255055,0.3284007659007659,0.3023255813953488,0.23465710845741805
ge,title,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3346552782345554,0.2545843040828132,0.0,0.4436324825606929,0.3634246188594015,0.3023255813953488,0.23465710845741805
ge,title,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3394843703357189,0.25841016772370035,0.0,0.498887014148642,0.4169580419580419,0.29651162790697677,0.23089770996117748
ge,title,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3394843703357189,0.25841016772370035,0.0,0.498887014148642,0.4169580419580419,0.29651162790697677,0.23089770996117748
ge,title,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3255862529492294,0.22609724255363234,0.0,0.4798500917686965,0.3465730697873555,0.28488372093023256,0.20883888643176565
ge,title,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3083074870865569,0.20573117358831647,0.0,0.4156907530454042,0.27772108843537413,0.2558139534883721,0.17039227971890508
ge,title,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2938622276056635,0.19943996137544526,0.02857142857142857,0.42749522764057646,0.2802078873507445,0.2441860465116279,0.1787987124674431
ge,title,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3480982121970495,0.2588253391824821,0.0,0.45389490438782654,0.34175738857415877,0.313953488372093,0.2418349796058774
ge,title,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33639060448225977,0.259113620248074,0.0,0.5449575134168158,0.44972527472527474,0.2558139534883721,0.19365877930119418
ge,title,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3105138172027832,0.2026823487368681,0.02857142857142857,0.4166974982381959,0.27586580086580087,0.2616279069767442,0.16997456877487838
ge,title,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.9887694646069856,0.9812830687830687,0.9432624113475178,0.978442585893689,0.9640534636321989,1.0,1.0,0.3464453529738144,0.25816703633945404,0.0,0.4735805618799805,0.3710976523476523,0.313953488372093,0.2413926974298491
ge,title,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.9975951184493898,0.9943877551020408,0.9787234042553191,0.9953869878492995,0.9892290249433107,1.0,1.0,0.3626783447882016,0.27668185485427255,0.0,0.4581693101699942,0.34690047347610375,0.3313953488372093,0.2624990347015999
ge,title,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3595775695944032,0.2773621269631161,0.0,0.46001467040711225,0.35749221017078164,0.32558139534883723,0.25873963620535934
ge,title,LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3404533144236363,0.25906793724035493,0.0,0.47447501626280697,0.4013174325674326,0.3081395348837209,0.23841650695365862
ge,title,LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidgeDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3534706154707573,0.2715247381188148,0.0,0.4690841314482619,0.3692586097477402,0.32558139534883723,0.26180086069515524
ge,title,NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.9007116455607638,0.8485720344154315,0.46808510638297873,0.8510299724303034,0.7701248378449125,0.9782244556113903,0.9804942278983951,0.3328009200102223,0.2517617303331589,0.0,0.49279634334353895,0.3780278778177938,0.2616279069767442,0.1962277016069586
ge,title,NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.907227319028109,0.8555677484797293,0.48226950354609927,0.8605795668915683,0.7795351503242772,0.981574539363484,0.9856224330266002,0.33453126331033306,0.2526782080353509,0.0,0.5001606844288102,0.3819961317860478,0.2616279069767442,0.1962277016069586
ge,title,NaiveBayes,No Upsampling,ComplementNaiveBayes,0.9013021687984208,0.8495405574178527,0.475177304964539,0.8519615465217949,0.7716527217257375,0.9782244556113903,0.9804942278983951,0.3328009200102223,0.2517617303331589,0.0,0.49279634334353895,0.3780278778177938,0.2616279069767442,0.1962277016069586
ge,title,NaiveBayes,No Upsampling,NaiveBayes,0.901735162168529,0.8493602360005716,0.46808510638297873,0.8530079207986507,0.7718920959307042,0.9782244556113903,0.9804942278983951,0.3328009200102223,0.2517617303331589,0.0,0.49279634334353895,0.3780278778177938,0.2616279069767442,0.1962277016069586
ge,title,NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.9025656226657442,0.8498810184762412,0.475177304964539,0.8547602722997459,0.7729909970296053,0.9782244556113903,0.9804942278983951,0.3328009200102223,0.2517617303331589,0.0,0.49279634334353895,0.3780278778177938,0.2616279069767442,0.1962277016069586
ge,title,NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.9111246326653508,0.8584665048055701,0.475177304964539,0.864484063498104,0.7818561229791633,0.9865996649916248,0.9918010583228726,0.3327270920294176,0.25032560032560036,0.0,0.49424983171563197,0.3742580365479525,0.2616279069767442,0.1962277016069586
ge,title,NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.9042029512676336,0.8518640893345047,0.48226950354609927,0.8565522241741785,0.7746245927944019,0.9798994974874372,0.9832414806456479,0.3328009200102223,0.2517617303331589,0.0,0.49279634334353895,0.3780278778177938,0.2616279069767442,0.1962277016069586
ge,title,NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.9953336614188042,0.9898087536901554,0.9574468085106383,0.9912700917361903,0.9809638831377961,1.0,1.0,0.3368153331696423,0.2626501113265819,0.0,0.4933550622504111,0.37501803751803753,0.26744186046511625,0.21593312763701974
ge,title,NaiveBayes,SVMSMOTE,ComplementNaiveBayes_SVMSMOTE,0.9103330626232051,0.8593058470634637,0.48226950354609927,0.864821492658661,0.7841303592644575,0.983249581239531,0.988369685773853,0.33410376673030573,0.2521529979513173,0.0,0.4987764097887217,0.38029545151393895,0.2616279069767442,0.1962277016069586
ge,title,NaiveBayes,SVMSMOTE,NaiveBayes_SVMSMOTE,0.9042029512676336,0.8518640893345047,0.48226950354609927,0.8565522241741785,0.7746245927944019,0.9798994974874372,0.9832414806456479,0.33453126331033306,0.2526782080353509,0.0,0.5001606844288102,0.3819961317860478,0.2616279069767442,0.1962277016069586
ge,title,RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0.34724392459084147,0.3017217158665292,0.028368794326241134,0.6276249117879144,0.6042488885122814,0.34505862646566166,0.2687664644737071,0.290259176549939,0.2273899149530212,0.0,0.5503875968992248,0.419047619047619,0.27325581395348836,0.2314646033852137
ge,title,RandomForest,No Upsampling,RandomForest,0.40097776341258573,0.3395069819353534,0.0,0.5301280150144313,0.43845138613839074,0.5510887772194305,0.49466405978203287,0.3893298650565503,0.33881769689752045,0.0,0.5228682170542636,0.4095238095238095,0.47674418604651164,0.46246366967839764
ge,title,RandomForest,Random Oversampling,RandomForest_ROS,0.25482566106137433,0.16503315679737357,0.03546099290780142,0.6379473273347303,0.5064182705006075,0.2830820770519263,0.17691190686745975,0.14135086398548785,0.10531845094791871,0.0,0.27302191927292163,0.1769293924466338,0.1744186046511628,0.14802631578947367
ge,title,RandomForest,SMOTE,RandomForest_SMOTE,0.35803192701214875,0.3217779196375489,0.04964539007092199,0.7137202289944494,0.7911153808983814,0.3500837520938023,0.2742840720044082,0.22629672595705358,0.16135565935354818,0.0,0.35968992248062015,0.23571428571428574,0.23255813953488372,0.18666457811194653
ge,title,RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,0.3675795255286368,0.2948821756128274,0.014184397163120567,0.737280336228386,0.7730851026434197,0.40703517587939697,0.2918955202516655,0.27166652064901986,0.19460000982269052,0.0,0.41666666666666663,0.2761904761904762,0.29651162790697677,0.23332534768293284
ge,title,RidgeClassifier,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34235283818929735,0.26308859073836033,0.0,0.472000100997194,0.3783840167768739,0.3081395348837209,0.2448611900900711
ge,title,RidgeClassifier,No Upsampling,RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33858109693465593,0.2542050373169918,0.0,0.47124913200494595,0.37145374466803033,0.3023255813953488,0.23465710845741805
ge,title,RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,0.9982916531977626,0.9971595655806181,0.9858156028368794,1.0,1.0,0.9966499162479062,0.9944313557506961,0.3529941482025002,0.2687468238099978,0.0,0.47996489944164367,0.38132879025736166,0.31976744186046513,0.25159677906250216
ge,title,RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,0.9708438840535728,0.9553984233965436,0.8297872340425532,0.9982319002419505,0.996031746031746,0.948073701842546,0.921393537767428,0.3313566895306485,0.246643009283884,0.0,0.4314548823269753,0.33924468388754103,0.29651162790697677,0.22628876111848245
