language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
it,title_and_first_sentence_each_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3786212865436013,0.2763211031121612,0.06666666666666667,0.4705822088955522,0.3442939244663382,0.34782608695652173,0.2560444947944948
it,title_and_first_sentence_each_paragraph,KNN,No Upsampling,kNN,0.4176771859344516,0.30947529925639433,0.08641975308641975,0.6582765506188627,0.5957292922597183,0.36461704422869473,0.2623297192931722,0.32080387634378305,0.23449363007896434,0.05,0.5013271752402187,0.3759375545089831,0.26956521739130435,0.19751161001160997
it,title_and_first_sentence_each_paragraph,KNN,Random Oversampling,kNN_ROS,0.4195797252869978,0.3097702175569168,0.06584362139917696,0.6220962704446915,0.5391555744985329,0.38403451995685006,0.2753860713319708,0.3472983761140272,0.24097911747116588,0.05,0.4194924640576814,0.2912337662337663,0.3130434782608696,0.21759729384729387
it,title_and_first_sentence_each_paragraph,KNN,SMOTE,kNN_SMOTE,0.3777985677471952,0.2747833867714718,0.053497942386831275,0.5442536418520066,0.4342048302574618,0.3290183387270766,0.23387869489596458,0.33650845689799963,0.2373539633072737,0.05,0.460952380952381,0.3361394557823129,0.2826086956521739,0.19777909902909904
it,title_and_first_sentence_each_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1227252353204841,0.0544918998527246,0.11666666666666667,0.09920289855072463,0.04404761904761905,0.1608695652173913,0.07142857142857142
it,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4108452369681288,0.34688213689239905,0.05,0.5397535986382868,0.4830100024199403,0.36086956521739133,0.299064978172121
it,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4121835045777269,0.34797847951398336,0.05,0.5360149459865906,0.4806552143508665,0.3652173913043478,0.3023117314188743
it,title_and_first_sentence_each_paragraph,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4121835045777269,0.34797847951398336,0.05,0.5360149459865906,0.4806552143508665,0.3652173913043478,0.3023117314188743
it,title_and_first_sentence_each_paragraph,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4082753738973044,0.3462432091346452,0.05,0.5341074017350009,0.47980823524301786,0.36086956521739133,0.30038122948837237
it,title_and_first_sentence_each_paragraph,LinearSVM,SMOTE,LinearSVMDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41356269973405024,0.34929214783845597,0.05,0.5373607016801724,0.4818456905413427,0.3652173913043478,0.30263640674354964
it,title_and_first_sentence_each_paragraph,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.487747207447841,0.4282182382889517,0.03333333333333333,0.5493586992054806,0.4806747069537197,0.47391304347826085,0.42175862050862056
it,title_and_first_sentence_each_paragraph,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42550504573198233,0.3597629129656233,0.06666666666666667,0.579954576824142,0.5164584621727478,0.36086956521739133,0.2996662287733716
it,title_and_first_sentence_each_paragraph,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41292657415053113,0.3484273803858075,0.05,0.5298746543311761,0.47702832881404306,0.3695652173913043,0.30495723406437697
it,title_and_first_sentence_each_paragraph,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4250185716750608,0.3598678372368932,0.06666666666666667,0.5625402858011553,0.49371818657532934,0.3652173913043478,0.3065972357043786
it,title_and_first_sentence_each_paragraph,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4190500131757399,0.34771493741686016,0.05,0.5589360478490913,0.5146069538926683,0.3652173913043478,0.29519379126521983
it,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45692081733279927,0.38785476234485444,0.05,0.5316984834894867,0.46131718402828453,0.43043478260869567,0.364403693689408
it,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47493970495509497,0.40481466406624683,0.1,0.6392777717239959,0.6085584994231611,0.4217391304347826,0.34873450980593834
it,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47354714596165925,0.4042874908646667,0.06666666666666667,0.6501107660455487,0.6154016221873365,0.41739130434782606,0.3476649987364273
it,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45596985464487,0.3859098913257128,0.08333333333333333,0.5996046900733001,0.5490146771611302,0.4,0.3299532447746733
