language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ru,title_and_first_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01808785529715762,0.007936507936507938,0.0,0.040697674418604654,0.017857142857142856,0.011627906976744186,0.00510204081632653
ru,title_and_first_paragraph,KNN,No Upsampling,kNN,0.3314204865842668,0.22708334987640486,0.12418300653594772,0.6095521008053645,0.47058335808335805,0.24804177545691905,0.16286143194037933,0.2030232558139535,0.135,0.02631578947368421,0.3416490486257928,0.2590909090909091,0.1744186046511628,0.11164965986394557
ru,title_and_first_paragraph,KNN,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0669767441860465,0.03428571428571428,0.07894736842105263,0.04406364749082007,0.022556390977443608,0.13953488372093023,0.07142857142857142
ru,title_and_first_paragraph,KNN,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20084727322181425,0.13332915622389305,0.02631578947368421,0.33826638477801274,0.2564935064935065,0.1744186046511628,0.11164965986394557
ru,title_and_first_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15945841664035917,0.09344250520721108,0.0,0.1731266149870801,0.10317460317460315,0.1511627906976744,0.08843537414965986
ru,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34731051996401874,0.26046425225853365,0.05263157894736842,0.40988372093023256,0.3172619047619048,0.3488372093023256,0.25875850340136053
ru,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34418382005591314,0.25030653869939584,0.05263157894736842,0.4340531561461794,0.33378684807256237,0.3372093023255814,0.23707482993197276
ru,title_and_first_paragraph,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28755131603968814,0.2221517900089329,0.07894736842105263,0.4063804412641622,0.32371794871794873,0.2558139534883721,0.19625850340136056
ru,title_and_first_paragraph,LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.9961378842543958,0.9957165740914103,0.9803921568627451,0.9950366418183423,0.9929261559696342,0.9973890339425587,0.9987012987012988,0.34730031159138436,0.26970356832107983,0.05263157894736842,0.36124720013228906,0.27804275556376395,0.36046511627906974,0.30425170068027213
ru,title_and_first_paragraph,LinearSVM,SMOTE,LinearSVMDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.305874600293838,0.22910632492561453,0.05263157894736842,0.4240948973507113,0.33597592883307165,0.27906976744186046,0.2022108843537415
ru,title_and_first_paragraph,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31377563005469983,0.22444856730571017,0.05263157894736842,0.3755217650566488,0.2731684981684982,0.3023255813953488,0.22193877551020405
ru,title_and_first_paragraph,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2709400203586251,0.20174362674362675,0.07894736842105263,0.3773106738223017,0.288003663003663,0.2441860465116279,0.18197278911564624
ru,title_and_first_paragraph,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23157093238551893,0.16772207425564958,0.02631578947368421,0.28560354374307867,0.20731292517006802,0.22093023255813954,0.1641156462585034
ru,title_and_first_paragraph,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2631064830269237,0.19572858914964178,0.05263157894736842,0.3716729007426682,0.2836746586746587,0.23255813953488372,0.17304421768707481
ru,title_and_first_paragraph,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29620138123810097,0.22863245776779612,0.05263157894736842,0.42420718816067654,0.33614718614718614,0.2558139534883721,0.19710884353741495
ru,title_and_first_paragraph,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36029199388460265,0.28967028067197853,0.07894736842105263,0.43675034495827936,0.3609170941103715,0.3372093023255814,0.26896258503401355
ru,title_and_first_paragraph,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3661534847581359,0.27280735137878,0.07894736842105263,0.4586463923673226,0.34958137100994247,0.3372093023255814,0.25323129251700677
ru,title_and_first_paragraph,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31389889625655465,0.21550348939511496,0.05263157894736842,0.4089147286821705,0.2988095238095238,0.27906976744186046,0.18477891156462586
