model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0,0.097,0.117,0.107,0.068,0.107
KNN,No Upsampling,kNN,0,0.097,0.097,0.087,0.087,0.107
KNN,Random Oversampling,kNN_ROS,0,0.126,0.097,0.107,0.078,0.097
KNN,SMOTE,kNN_SMOTE,0,0.107,0.107,0.117,0.068,0.107
KNN,SVMSMOTE,kNN_SVMSMOTE,0,0.107,0.019,0.058,0.097,0.107
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0,0.078,0.097,0.087,0.097,0.068
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0,0.058,0.087,0.107,0.087,0.049
LinearSVM,No Upsampling,LinearSVMDual,0,0.058,0.078,0.049,0.117,0.058
LinearSVM,Random Oversampling,LinearSVMDual_ROS,0,0.058,0.087,0.087,0.097,0.068
LinearSVM,SMOTE,LinearSVMDual_SMOTE,0,0.078,0.049,0.117,0.087,0.049
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.010,0.039,0.049,0.019,0.068,0.049
LogisticRegression,No Upsampling,LogisticRegression,0.039,0.049,0.058,0.019,0.107,0.058
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.019,0.058,0.068,0.029,0.107,0.078
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.029,0.058,0.068,0.029,0.117,0.068
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.019,0.049,0.068,0.010,0.097,0.078
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0,0.058,0.058,0.049,0.117,0.068
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0,0.058,0.068,0.039,0.117,0.058
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0,0.058,0.078,0.039,0.117,0.087
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0,0.058,0.087,0.039,0.126,0.058
