model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.024,0.000,0.000,0.048,0.000,0.048
KNN,No Upsampling,kNN,0.048,0.048,0.024,0.071,0.024,0.119
KNN,Random Oversampling,kNN_ROS,0.000,0.048,0.000,0.024,0.000,0.048
KNN,SMOTE,kNN_SMOTE,0.024,0.000,0.000,0.024,0.024,0.048
KNN,SVMSMOTE,kNN_SVMSMOTE,0.024,0.048,0.000,0.048,0.000,0.119
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.000,0.048,0.048,0.071,0.000,**0.143**
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.000,0.071,0.048,0.048,0.000,0.048
LinearSVM,No Upsampling,LinearSVMDual,0.000,0.071,0.024,0.071,0.000,0.095
LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.000,0.071,0.024,0.071,0.000,0.119
LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.000,0.048,0.000,0.071,0.024,0.071
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.000,0.048,0.048,0.095,0.000,0.095
LogisticRegression,No Upsampling,LogisticRegression,0.000,0.048,0.048,0.071,0.048,0.119
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.000,0.071,0.048,0.071,0.048,0.095
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.000,0.071,0.048,0.071,0.048,0.071
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.000,0.048,0.024,0.095,0.024,0.071
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.000,0.024,0.048,0.071,0.000,0.119
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.000,0.071,0.048,0.071,0.071,0.071
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.000,0.048,0.000,0.071,0.071,0.095
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.000,0.071,0.024,0.071,0.071,0.071
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.024,0.048,0.024,0.071,0.024,0.071
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.000,0.000,0.024,0.024,0.071,0.095
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.024,0.024,0.024,0.024,0.048,0.048
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.024,0.000,0.024,0.024,0.071,0.071
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.000,0.000,0.024,0.024,0.071,0.024
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.024,0.048,0.024,0.024,0.071,0.071
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.000,0.048,0.024,0.048,0.000,0.095
LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.000,0.048,0.024,0.071,0.000,0.095
LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,0.024,0.048,0.000,0.071,0.048,0.119
LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,0.000,0.071,0.024,0.024,0.000,0.095
LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidgeDual_SVMSMOTE,0.000,0.071,0.000,0.024,0.071,0.024
NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.024,0.071,0.024,0.048,0.071,0.071
NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.024,0.119,0.000,0.071,0.048,0.071
NaiveBayes,No Upsampling,ComplementNaiveBayes,0.024,0.000,0.024,0.048,0.000,0.119
NaiveBayes,No Upsampling,NaiveBayes,0.024,0.000,0.024,0.048,0.000,0.024
NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.024,0.000,0.024,0.048,0.000,0.095
NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.024,0.048,0.024,0.048,0.048,0.048
NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.024,0.095,0.024,0.071,0.048,0.095
NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.024,0.024,0.048,0.071,0.071,0.071
NaiveBayes,SVMSMOTE,ComplementNaiveBayes_SVMSMOTE,0.024,0.048,0.024,0.071,0.000,0.048
NaiveBayes,SVMSMOTE,NaiveBayes_SVMSMOTE,0.024,0.048,0.048,0.071,0.048,0.048
RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0.024,0.024,0.000,0.048,0.000,0.024
RandomForest,No Upsampling,RandomForest,0.000,0.000,0.000,0.000,0.000,0.024
RandomForest,Random Oversampling,RandomForest_ROS,0.000,0.000,0.024,0.024,0.024,0.000
RandomForest,SMOTE,RandomForest_SMOTE,0.024,0.024,0.048,0.048,0.000,0.000
RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,0.000,0.024,0.000,0.000,0.024,0.000
RidgeClassifier,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0.000,0.024,0.048,0.048,0.000,0.071
RidgeClassifier,No Upsampling,RidgeClassifier,0.000,0.048,0.048,0.071,0.000,0.071
RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,0.024,0.024,0.048,0.071,0.000,0.048
RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,0.000,0.024,0.048,0.071,0.000,0.071
