model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.083,0.050,0.067,0.117,0.067,0.017
KNN,No Upsampling,kNN,0.050,0.067,0.067,0.100,0.050,**0.167**
KNN,Random Oversampling,kNN_ROS,0.033,0.000,0.117,0.017,0.050,**0.167**
KNN,SMOTE,kNN_SMOTE,0.000,0.067,0.117,0.100,0.050,0.117
KNN,SVMSMOTE,kNN_SVMSMOTE,0.017,0.067,0.050,0.083,0.117,0.117
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.017,0.083,0.033,0.067,0.050,0.083
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.033,0.083,0.050,0.067,0.050,0.133
LinearSVM,No Upsampling,LinearSVMDual,0.033,0.083,0.050,0.067,0.050,0.150
LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.033,0.067,0.100,0.067,0.050,0.150
LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.033,0.067,0.067,0.083,0.050,0.150
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.000,0.050,0.050,0.033,0.033,0.050
LogisticRegression,No Upsampling,LogisticRegression,0.067,0.100,0.050,0.067,0.067,**0.167**
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.067,0.083,0.033,0.067,0.050,0.150
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.067,0.100,0.050,0.067,0.067,0.133
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.067,0.050,0.033,0.067,0.050,0.117
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.050,0.083,0.050,0.067,0.050,0.100
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.050,0.067,0.033,0.067,0.100,0.133
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.033,0.050,0.033,0.067,0.067,0.133
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.050,0.067,0.033,0.067,0.083,0.100
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.050,0.083,0.033,0.067,0.083,0.133
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.067,0.050,0.033,0.033,0.017,0.050
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.033,0.033,0.033,0.017,0.050,0.033
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.083,0.033,0.017,0.033,0.067,0.033
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.067,0.083,0.033,0.050,0.050,0.083
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.067,0.067,0.033,0.033,0.067,0.050
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.033,0.083,0.033,0.017,0.067,0.100
LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.033,0.083,0.033,0.067,0.067,0.133
LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,0.033,0.067,0.050,0.083,0.083,0.117
LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,0.033,0.067,0.033,0.017,0.067,0.133
LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidgeDual_SVMSMOTE,0.033,0.083,0.100,0.100,0.033,0.117
NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.033,0.067,0.033,0.067,0.083,0.100
NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.000,0.067,0.050,0.067,0.067,0.150
NaiveBayes,No Upsampling,ComplementNaiveBayes,0.033,0.083,0.067,0.117,0.083,0.133
NaiveBayes,No Upsampling,NaiveBayes,0.017,0.067,0.067,0.117,0.083,0.150
NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.017,0.067,0.033,0.117,0.100,0.117
NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.033,0.083,0.067,0.117,0.083,0.117
NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.017,0.100,0.100,0.117,0.067,0.083
NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.017,0.067,0.067,0.117,0.083,0.117
NaiveBayes,SVMSMOTE,ComplementNaiveBayes_SVMSMOTE,0.017,0.067,0.083,0.117,0.133,0.150
NaiveBayes,SVMSMOTE,NaiveBayes_SVMSMOTE,0.017,0.067,0.067,0.117,0.133,0.150
RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0.033,0.100,0.083,0.150,0.050,0.117
RandomForest,No Upsampling,RandomForest,0.000,0.000,0.033,0.067,0.017,0.067
RandomForest,Random Oversampling,RandomForest_ROS,0.067,0.033,0.100,0.100,0.050,0.133
RandomForest,SMOTE,RandomForest_SMOTE,0.017,0.100,0.150,0.150,0.083,0.117
RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,0.050,0.100,0.083,0.150,0.067,0.117
RidgeClassifier,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0.033,0.083,0.050,0.067,0.083,0.150
RidgeClassifier,No Upsampling,RidgeClassifier,0.050,0.100,0.083,0.067,0.067,0.133
RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,0.050,0.100,0.067,0.050,0.067,0.133
RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,0.017,0.100,0.083,0.067,0.067,0.133
RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,0.050,0.083,0.067,0.067,0.067,0.133
SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,0.033,0.100,0.067,0.050,0.083,0.083
SVM,BorderlineSMOTE,SVM_sigmoid_BorderlineSMOTE,0.033,0.117,0.050,0.100,0.083,0.083
SVM,No Upsampling,SVM_rbf,0.067,0.050,0.067,0.100,0.100,0.100
SVM,No Upsampling,SVM_sigmoid,0.000,0.050,0.067,0.067,0.100,0.083
SVM,Random Oversampling,SVM_rbf_ROS,0.117,0.033,0.100,0.117,0.100,0.100
SVM,Random Oversampling,SVM_sigmoid_ROS,0.017,0.033,0.050,0.117,0.100,0.067
SVM,SMOTE,SVM_rbf_SMOTE,0.083,0.067,0.100,0.117,0.117,0.100
SVM,SMOTE,SVM_sigmoid_SMOTE,0.000,0.083,0.083,0.133,0.100,0.083
SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,0.133,0.083,0.083,0.133,0.100,0.083
SVM,SVMSMOTE,SVM_sigmoid_SVMSMOTE,0.000,0.050,0.050,0.083,0.100,0.100
XGBoost,BorderlineSMOTE,XGBoost_broad_BorderlineSMOTE,0.000,0.067,0.083,0.067,0.033,0.133
XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,0.000,0.000,0.033,0.033,0.000,0.050
XGBoost,No Upsampling,XGBoost_broad,0.000,0.017,0.083,0.050,0.083,0.100
XGBoost,No Upsampling,XGBoost_narrow,0.000,0.000,0.033,0.050,0.000,0.033
XGBoost,Random Oversampling,XGBoost_broad_ROS,0.000,0.000,0.083,0.133,0.067,0.083
XGBoost,Random Oversampling,XGBoost_narrow_ROS,0.000,0.000,0.017,0.067,0.000,0.050
XGBoost,SMOTE,XGBoost_broad_SMOTE,0.017,0.033,0.083,0.083,0.050,0.100
XGBoost,SMOTE,XGBoost_narrow_SMOTE,0.000,0.017,0.017,0.067,0.017,0.083
XGBoost,SVMSMOTE,XGBoost_broad_SVMSMOTE,0.017,0.033,0.083,0.083,0.067,0.117
XGBoost,SVMSMOTE,XGBoost_narrow_SVMSMOTE,0.000,0.000,0.033,0.067,0.017,0.050
