language,model_type,model_subtype,model_name,unit_of_analysis,index,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,raw_text,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6572877306586246,0.4794280769436049,0.1067961165048543,0.7414928771896987,0.6291575220146648,0.6161369193154034,0.4205159460503589
en,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,title_and_10_sentences,0,0.6210796809722224,0.4419914579230107,0.1411192214111922,0.7557949898634544,0.6552667021377855,0.5974025974025974,0.3999213902296444,0.5997764783733542,0.3950970100850712,0.1067961165048543,0.7641549094054683,0.6098631509913598,0.5525672371638142,0.3446350253250481
en,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,title_and_5_sentences,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6219744729217773,0.4176969112636857,0.116504854368932,0.7597107345441785,0.5965697133256092,0.5696821515892421,0.3620692780436066
en,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,title_and_first_paragraph,0,0.6068101460677345,0.4280649442076966,0.1070559610705596,0.7476932082644042,0.622033617525456,0.5701917130488559,0.3801612428294803,0.5804094279254876,0.3717225183537817,0.0970873786407767,0.7695593862611695,0.6147596534585885,0.5330073349633252,0.3206408849629009
en,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,title_and_first_sentence_each_paragraph,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5849217121747168,0.3869247345605495,0.0679611650485436,0.7322075746544193,0.588162859320183,0.5476772616136919,0.3410627851882722
en,KNN,No Upsampling,kNN,raw_text,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6414380473881678,0.4391360839697106,0.1067961165048543,0.7520468230324635,0.591091570967732,0.6039119804400978,0.3886980610910254
en,KNN,No Upsampling,kNN,title_and_10_sentences,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5990146162647088,0.3877557296716307,0.087378640776699,0.7693744448784872,0.613737510554461,0.5550122249388753,0.3402771161534743
en,KNN,No Upsampling,kNN,title_and_5_sentences,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6161108494532761,0.4043813312202063,0.0970873786407767,0.755429451692685,0.5899103727580626,0.5696821515892421,0.3529683131935128
en,KNN,No Upsampling,kNN,title_and_first_paragraph,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5800388291018486,0.368461539639952,0.0970873786407767,0.7196273433410204,0.5477211287230805,0.5330073349633252,0.319349365776245
en,KNN,No Upsampling,kNN,title_and_first_sentence_each_paragraph,1,0.7389375448808939,0.6238228250681729,0.2092457420924574,0.9158763925510558,0.9264927418345178,0.6524427952999382,0.5163158461799655,0.6029614030919844,0.4472584002989115,0.087378640776699,0.745411957440291,0.6247110780157382,0.5207823960880196,0.367183042458871
