model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.206,0.176,0.148,0.396,0.250,0.262
KNN,No Upsampling,kNN,0.278,0.223,0.217,0.415,0.208,0.401
KNN,Random Oversampling,kNN_ROS,0.233,0.223,0.148,0.359,0.299,0.435
KNN,SMOTE,kNN_SMOTE,0.235,0.176,0.148,0.406,0.208,0.437
KNN,SVMSMOTE,kNN_SVMSMOTE,0.232,0.344,0.148,0.218,0.344,0.401
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.262,0.386,0.346,0.279,0.352,0.389
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.270,0.408,0.338,0.325,0.366,0.342
LinearSVM,No Upsampling,LinearSVMDual,0.269,0.400,0.360,0.298,0.352,0.388
LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.264,0.405,0.343,0.298,0.354,0.376
LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.268,0.394,0.329,0.321,0.355,0.322
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.275,0.428,0.362,0.356,0.354,0.402
LogisticRegression,No Upsampling,LogisticRegression,0.264,0.357,0.331,0.256,0.295,0.309
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.264,0.362,0.331,0.258,0.323,0.341
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.255,0.346,0.331,0.251,0.338,0.333
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.295,0.359,0.316,0.258,0.328,0.329
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.255,0.436,0.334,0.314,0.360,0.398
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.222,0.385,0.346,0.280,0.351,0.334
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.232,0.376,0.353,0.289,0.364,0.352
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.231,0.373,0.336,0.257,0.356,0.354
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.280,0.383,0.364,0.260,0.401,0.338
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.250,0.409,0.279,0.348,0.389,0.382
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.273,0.423,0.374,0.299,0.346,0.345
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.279,0.417,0.365,0.329,0.364,0.317
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.246,0.372,0.351,0.369,0.350,0.374
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.266,0.416,0.327,0.329,0.356,0.381
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.299,0.405,0.347,0.311,0.365,0.349
