model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.269,0.018,0.270,0.300,0.299,0.204
KNN,No Upsampling,kNN,0.082,0.203,0.228,0.263,0.237,0.258
KNN,Random Oversampling,kNN_ROS,0.275,0.067,0.137,0.221,0.323,0.250
KNN,SMOTE,kNN_SMOTE,0.269,0.201,0.057,0.261,0.121,0.046
KNN,SVMSMOTE,kNN_SVMSMOTE,0.068,0.159,0.147,0.253,0.172,0.227
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.318,0.347,0.273,0.351,0.258,0.353
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.316,0.344,0.256,0.324,0.324,0.328
LinearSVM,No Upsampling,LinearSVMDual,0.321,0.288,0.256,0.340,0.252,0.328
LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.315,0.347,0.255,0.369,0.318,0.342
LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.324,0.306,0.271,0.299,0.305,0.328
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.317,0.314,0.280,0.329,0.300,0.381
LogisticRegression,No Upsampling,LogisticRegression,0.324,0.271,0.243,0.292,0.204,0.282
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.304,0.232,0.222,0.286,0.207,0.294
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.309,0.263,0.280,0.300,0.259,0.309
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.354,0.296,0.299,0.289,0.276,0.317
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.300,0.360,0.339,0.352,0.252,0.344
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.331,0.366,0.276,0.291,0.245,0.381
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.053,0.314,0.309,0.313,0.300,0.402
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.304,0.332,0.295,0.309,0.244,0.390
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.295,0.268,0.222,0.390,0.304,0.372
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.298,0.292,0.249,0.353,0.316,0.411
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.309,0.307,0.255,0.345,0.237,0.410
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.298,0.291,0.252,0.346,0.232,0.401
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.283,0.278,0.283,0.327,0.259,0.393
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.345,0.359,0.323,0.335,0.309,0.371
LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.328,0.349,0.343,0.336,0.307,0.345
LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,0.319,0.341,0.279,0.346,0.287,0.337
LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,0.325,0.338,0.332,0.309,0.294,0.329
LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidgeDual_SVMSMOTE,0.337,0.245,0.275,0.244,0.311,0.321
NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.352,0.309,0.295,0.326,0.351,0.398
NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.357,0.316,0.260,0.338,0.351,0.312
NaiveBayes,No Upsampling,ComplementNaiveBayes,0.363,0.317,0.228,0.345,0.298,0.337
NaiveBayes,No Upsampling,NaiveBayes,0.363,0.317,0.228,0.347,0.303,0.359
NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.360,0.317,0.253,0.340,0.286,0.373
NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.363,0.317,0.228,0.337,0.303,0.311
NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.344,0.309,0.330,0.372,0.350,0.351
NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.350,0.309,0.314,0.332,0.337,0.359
NaiveBayes,SVMSMOTE,ComplementNaiveBayes_SVMSMOTE,0.363,0.308,0.318,0.357,0.343,0.368
NaiveBayes,SVMSMOTE,NaiveBayes_SVMSMOTE,0.363,0.317,0.228,0.337,0.298,0.276
RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0.179,0.102,0.138,0.262,0.159,0.313
RandomForest,No Upsampling,RandomForest,0.300,0.311,0.313,0.263,0.341,0.324
