model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0,0.770,0.760,0.764,0.732,0.741
KNN,No Upsampling,kNN,0,0.720,0.755,0.769,0.745,0.752
KNN,Random Oversampling,kNN_ROS,0,0.732,0.757,0.779,0.777,0.751
KNN,SMOTE,kNN_SMOTE,0,0.716,0.737,0.760,0.718,0.770
KNN,SVMSMOTE,kNN_SVMSMOTE,0,0.710,0.676,0.679,0.790,0.770
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0,0.713,0.725,0.724,0.734,0.746
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0,0.695,0.739,0.761,0.744,0.745
LinearSVM,No Upsampling,LinearSVMDual,0,0.693,0.690,0.726,0.733,0.735
LinearSVM,Random Oversampling,LinearSVMDual_ROS,0,0.706,0.696,0.730,0.729,0.741
LinearSVM,SMOTE,LinearSVMDual_SMOTE,0,0.728,0.700,0.739,0.731,0.740
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.587,0.660,0.636,0.656,0.701,0.690
LogisticRegression,No Upsampling,LogisticRegression,0.594,0.674,0.654,0.673,0.734,0.730
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.596,0.670,0.655,0.661,0.737,0.739
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.604,0.676,0.646,0.671,0.733,0.742
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.581,0.650,0.652,0.652,0.729,0.738
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0,0.677,0.649,0.685,0.737,0.722
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0,0.676,0.669,0.703,0.734,0.747
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0,0.678,0.669,0.702,0.738,0.755
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0,0.675,0.676,0.710,0.741,0.756
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0,0.669,0.675,0.694,0.741,0.737
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0,0.678,0.629,0.673,0.695,0.672
