model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.199,0.229,0.118,0.410,0.367,0.425
KNN,No Upsampling,kNN,0.363,0.319,0.281,0.482,0.272,0.523
KNN,Random Oversampling,kNN_ROS,0.217,0.319,0.118,0.527,0.378,0.468
KNN,SMOTE,kNN_SMOTE,0.285,0.229,0.118,0.514,0.272,0.434
KNN,SVMSMOTE,kNN_SVMSMOTE,0.219,0.454,0.118,0.432,0.469,0.523
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.338,0.439,0.408,0.398,0.383,0.505
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.356,0.495,0.410,0.472,0.420,0.420
LinearSVM,No Upsampling,LinearSVMDual,0.344,0.482,0.390,0.437,0.379,0.500
LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.338,0.508,0.371,0.437,0.403,0.508
LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.345,0.546,0.433,0.493,0.426,0.399
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.349,0.478,0.376,0.450,0.369,0.525
LogisticRegression,No Upsampling,LogisticRegression,0.348,0.436,0.385,0.409,0.429,0.457
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.348,0.430,0.395,0.413,0.438,0.437
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.341,0.389,0.390,0.384,0.433,0.427
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.360,0.410,0.382,0.414,0.387,0.496
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.382,0.467,0.354,0.478,0.388,0.505
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.346,0.449,0.421,0.403,0.436,0.451
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.357,0.442,0.417,0.413,0.440,0.464
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.387,0.442,0.401,0.381,0.493,0.477
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.420,0.450,0.425,0.387,0.463,0.418
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.432,0.528,0.443,0.404,0.481,0.447
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.471,0.542,0.529,0.415,0.402,0.393
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.454,0.524,0.469,0.426,0.426,0.371
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.432,0.501,0.448,0.486,0.500,0.440
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.449,0.500,0.516,0.418,0.438,0.552
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.378,0.453,0.379,0.468,0.422,0.407
LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.365,0.496,0.417,0.505,0.434,0.488
LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,0.387,0.506,0.438,0.439,0.460,0.508
LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,0.340,0.526,0.408,0.481,0.421,0.530
LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidgeDual_SVMSMOTE,0.310,0.518,0.435,0.382,0.359,0.560
NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.394,0.430,0.444,0.441,0.464,0.467
NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.392,0.529,0.453,0.414,0.404,0.485
NaiveBayes,No Upsampling,ComplementNaiveBayes,0.350,0.431,0.423,0.371,0.414,0.478
NaiveBayes,No Upsampling,NaiveBayes,0.351,0.426,0.423,0.418,0.400,0.419
