model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.263,0.364,0.426,0.417,0.376,0.492
KNN,No Upsampling,kNN,0.282,0.076,0.426,0.405,0.109,0.410
KNN,Random Oversampling,kNN_ROS,0.245,0.371,0.426,0.417,0.388,0.492
KNN,SMOTE,kNN_SMOTE,0.309,0.069,0.425,0.405,0.402,0.382
KNN,SVMSMOTE,kNN_SVMSMOTE,0,0.385,0.453,0.405,0.376,0.440
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.462,0.518,0.490,0.514,0.452,0.500
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.462,0.542,0.493,0.509,0.464,0.503
LinearSVM,No Upsampling,LinearSVMDual,0.462,0.498,0.499,0.509,0.465,0.499
LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.476,0.462,0.493,0.509,0.451,0.500
LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.462,0.476,0.528,0.509,0.447,0.500
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.459,0.535,0.492,0.527,0.450,0.516
LogisticRegression,No Upsampling,LogisticRegression,0.474,0.506,0.534,0.526,0.425,0.518
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.474,0.521,0.526,0.506,0.454,0.517
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.472,0.501,0.492,0.512,0.446,0.520
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.431,0.470,0.491,0.494,0.463,0.519
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.444,0.591,0.483,0.532,0.468,0.541
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.499,0.578,0.499,0.524,0.451,0.535
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.499,0.617,0.497,0.521,0.444,0.552
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.480,0.554,0.473,0.553,0.461,0.510
