language,model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0,0.533,0.570,0.553,0.548,0.616
en,KNN,No Upsampling,kNN,0,0.533,0.570,0.555,0.521,0.604
en,KNN,Random Oversampling,kNN_ROS,0,0.555,0.570,0.579,0.548,0.572
en,KNN,SMOTE,kNN_SMOTE,0,0.528,0.550,0.594,0.562,0.638
en,KNN,SVMSMOTE,kNN_SVMSMOTE,0,0.509,0.660,0.699,0.555,0.638
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0,0.616,0.648,0.638,0.599,0.667
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0,0.645,0.665,0.619,0.599,0.653
en,LinearSVM,No Upsampling,LinearSVMDual,0,0.665,0.677,0.697,0.621,0.660
en,LinearSVM,Random Oversampling,LinearSVMDual_ROS,0,0.601,0.653,0.670,0.609,0.658
en,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0,0.609,0.689,0.645,0.611,0.667
en,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.548,0.611,0.614,0.638,0.677,0.663
en,LogisticRegression,No Upsampling,LogisticRegression,0.538,0.592,0.575,0.599,0.614,0.645
en,LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.521,0.575,0.589,0.592,0.616,0.645
en,LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.548,0.582,0.582,0.599,0.611,0.648
en,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.543,0.594,0.579,0.584,0.616,0.645
en,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0,0.619,0.645,0.641,0.650,0.660
en,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0,0.592,0.601,0.614,0.606,0.653
en,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0,0.597,0.606,0.606,0.601,0.653
en,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0,0.584,0.599,0.614,0.609,0.650
en,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0,0.594,0.604,0.614,0.626,0.655
en,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0,0.601,0.619,0.606,0.616,0.633
en,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.491,0.579,0.609,0.606,0.597,0.636
en,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0,0.601,0.616,0.604,0.638,0.621
en,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0,0.575,0.619,0.597,0.609,0.623
en,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0,0.599,0.614,0.592,0.628,0.616
en,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.599,0.604,0.633,0.692,0.631,0.665
en,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.592,0.604,0.626,0.628,0.616,0.650
en,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,0.589,0.599,0.611,0.648,0.597,0.653
