model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,BorderlineSMOTE,0,0.097,0.117,0.107,0.068,0.107
KNN,No Upsampling,0,0.097,0.097,0.087,0.087,0.107
KNN,Random Oversampling,0,0.126,0.097,0.107,0.078,0.097
KNN,SMOTE,0,0.107,0.107,0.117,0.068,0.107
KNN,SVMSMOTE,0,0.107,0.019,0.058,0.097,0.107
LinearSVM,BorderlineSMOTE,0,0.058,0.087,0.107,0.087,0.068
LinearSVM,No Upsampling,0,0.058,0.078,0.049,0.117,0.058
LinearSVM,Random Oversampling,0,0.058,0.087,0.087,0.097,0.068
LinearSVM,SMOTE,0,0.078,0.049,0.117,0.087,0.049
LogisticRegression,BorderlineSMOTE,0.010,0.039,0.049,0.019,0.068,0.049
LogisticRegression,No Upsampling,0.039,0.049,0.058,0.019,0.107,0.058
LogisticRegression,Random Oversampling,0.019,0.058,0.068,0.029,0.107,0.078
LogisticRegression,SMOTE,0.029,0.058,0.068,0.029,0.117,0.068
LogisticRegression,SVMSMOTE,0.019,0.049,0.068,0.010,0.097,0.078
LogisticRegressionElasticNet,BorderlineSMOTE,0,0.058,0.058,0.049,0.117,0.068
LogisticRegressionElasticNet,No Upsampling,0,0.058,0.068,0.039,0.117,0.058
LogisticRegressionElasticNet,Random Oversampling,0,0.058,0.078,0.039,0.117,0.087
LogisticRegressionElasticNet,SMOTE,0,0.058,0.087,0.039,0.126,0.058
LogisticRegressionElasticNet,SVMSMOTE,0,0.068,0.058,0.049,0.097,0.068
LogisticRegressionLasso,BorderlineSMOTE,0,0.058,0.058,0.068,0.058,0.068
LogisticRegressionLasso,No Upsampling,0.049,0.049,0.049,0.039,0.058,0.068
LogisticRegressionLasso,Random Oversampling,0,0.049,0.078,0.039,0.087,0.068
LogisticRegressionLasso,SMOTE,0,0.058,0.068,0.039,0.078,0.097
LogisticRegressionLasso,SVMSMOTE,0,0.068,0.039,0.097,0.058,0.039
LogisticRegressionRidge,BorderlineSMOTE,0.068,0.058,0.097,0.078,0.087,0.049
LogisticRegressionRidge,No Upsampling,0.058,0.058,0.107,0.058,0.097,0.058
LogisticRegressionRidge,Random Oversampling,0.039,0.058,0.117,0.097,0.107,0.058
LogisticRegressionRidge,SMOTE,0.058,0.117,0.087,0.107,0.097,0.058
LogisticRegressionRidge,SVMSMOTE,0.068,0.097,0.107,0.136,0.078,0.068
NaiveBayes,BorderlineSMOTE,0,0,0.107,0.097,0.087,0.078
NaiveBayes,No Upsampling,0,0,0.107,0.097,0.117,0.097
NaiveBayes,Random Oversampling,0,0,0.097,0.097,0.117,0.097
NaiveBayes,SMOTE,0,0,0.087,0.107,0.097,0.068
NaiveBayes,SVMSMOTE,0,0,0.107,0.097,0.097,0.107
RandomForest,BorderlineSMOTE,0,0,0.126,0.087,0.078,0.087
RandomForest,No Upsampling,0,0,0.117,0.049,0.078,0.117
RandomForest,Random Oversampling,0,0,0.136,0.136,0.117,0.107
RandomForest,SMOTE,0,0,0.146,**0.165**,0.107,0.117
RandomForest,SVMSMOTE,0,0,0.126,0.136,0.117,0.146
RidgeClassifier,BorderlineSMOTE,0,0.087,0.068,0.117,0.078,0.078
RidgeClassifier,No Upsampling,0,0.087,0.097,0.126,0.107,0.078
RidgeClassifier,Random Oversampling,0,0.117,0.087,0.087,0.087,0.097
RidgeClassifier,SMOTE,0,0.078,0.117,0.117,0.107,0.078
RidgeClassifier,SVMSMOTE,0,0.107,0.136,0.097,0.087,0.078
SVM,BorderlineSMOTE,0,0.078,0.039,0.107,0.087,0.068
SVM,No Upsampling,0,0.087,0.087,0.126,0.078,0.058
SVM,Random Oversampling,0,0.078,0.068,0.107,0.087,0.058
SVM,SMOTE,0,0.097,0.097,0.097,0.078,0.078
SVM,SVMSMOTE,0,0.068,0.087,0.117,0.078,0.078
XGBoost,BorderlineSMOTE,0,0,0.039,0.078,0.087,0.136
XGBoost,No Upsampling,0,0.087,0.039,0.078,0.078,0.097
XGBoost,Random Oversampling,0,0.049,0.029,0.078,0.068,0.126
XGBoost,SMOTE,0,0.029,0.049,0.107,0.078,0.136
XGBoost,SVMSMOTE,0,0,0.107,0.107,0.087,0.136
