model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,BorderlineSMOTE,0.269,0.018,0.270,0.300,0.299,0.204
KNN,No Upsampling,0.082,0.203,0.228,0.263,0.237,0.258
KNN,Random Oversampling,0.275,0.067,0.137,0.221,0.323,0.250
KNN,SMOTE,0.269,0.201,0.057,0.261,0.121,0.046
KNN,SVMSMOTE,0.068,0.159,0.147,0.253,0.172,0.227
LinearSVM,BorderlineSMOTE,0.318,0.347,0.273,0.351,0.324,0.353
LinearSVM,No Upsampling,0.321,0.288,0.256,0.340,0.252,0.328
LinearSVM,Random Oversampling,0.315,0.347,0.255,0.369,0.318,0.342
LinearSVM,SMOTE,0.324,0.306,0.271,0.299,0.305,0.328
LogisticRegression,BorderlineSMOTE,0.317,0.314,0.280,0.329,0.300,0.381
LogisticRegression,No Upsampling,0.324,0.271,0.243,0.292,0.204,0.282
LogisticRegression,Random Oversampling,0.304,0.232,0.222,0.286,0.207,0.294
LogisticRegression,SMOTE,0.309,0.263,0.280,0.300,0.259,0.309
LogisticRegression,SVMSMOTE,0.354,0.296,0.299,0.289,0.276,0.317
LogisticRegressionElasticNet,BorderlineSMOTE,0.300,0.360,0.339,0.352,0.252,0.344
LogisticRegressionElasticNet,Random Oversampling,0.331,0.366,0.276,0.291,0.245,0.381
LogisticRegressionElasticNet,SMOTE,0.053,0.314,0.309,0.313,0.300,0.402
LogisticRegressionElasticNet,SVMSMOTE,0.304,0.332,0.295,0.309,0.244,0.390
LogisticRegressionLasso,BorderlineSMOTE,0.295,0.268,0.222,0.390,0.304,0.372
LogisticRegressionLasso,No Upsampling,0.298,0.292,0.249,0.353,0.316,0.411
LogisticRegressionLasso,Random Oversampling,0.309,0.307,0.255,0.345,0.237,0.410
LogisticRegressionLasso,SMOTE,0.298,0.291,0.252,0.346,0.232,0.401
LogisticRegressionLasso,SVMSMOTE,0.283,0.278,0.283,0.327,0.259,0.393
LogisticRegressionRidge,BorderlineSMOTE,0.345,0.359,0.323,0.335,0.309,0.371
LogisticRegressionRidge,No Upsampling,0.328,0.349,0.343,0.336,0.307,0.345
LogisticRegressionRidge,Random Oversampling,0.319,0.341,0.279,0.346,0.287,0.337
LogisticRegressionRidge,SMOTE,0.325,0.338,0.332,0.309,0.294,0.329
LogisticRegressionRidge,SVMSMOTE,0.337,0.245,0.275,0.244,0.311,0.321
NaiveBayes,BorderlineSMOTE,0.357,0.316,0.295,0.338,0.351,0.398
NaiveBayes,No Upsampling,0.363,0.317,0.228,0.347,0.303,0.359
NaiveBayes,Random Oversampling,0.363,0.317,0.253,0.340,0.303,0.373
NaiveBayes,SMOTE,0.350,0.309,0.330,0.372,0.350,0.359
NaiveBayes,SVMSMOTE,0.363,0.317,0.318,0.357,0.343,0.368
RandomForest,BorderlineSMOTE,0.179,0.102,0.138,0.262,0.159,0.313
RandomForest,No Upsampling,0.300,0.311,0.313,0.263,0.341,0.324
RandomForest,Random Oversampling,0.147,0.198,0.249,0.277,0.311,0
RandomForest,SMOTE,0.146,0.089,0.067,0.220,0.098,0.313
RandomForest,SVMSMOTE,0.133,0.114,0.082,0.235,0.134,0.162
RidgeClassifier,BorderlineSMOTE,0.333,0.365,0.297,0.333,0.302,0.295
RidgeClassifier,No Upsampling,0.330,0.360,0.267,0.327,0.318,0.303
RidgeClassifier,Random Oversampling,0.329,0.331,0.291,0.302,0.277,0.306
RidgeClassifier,SMOTE,0.328,0.306,0.267,0.271,0.295,0.308
RidgeClassifier,SVMSMOTE,0.329,0.338,0.299,0.316,0.306,0.338
SVM,BorderlineSMOTE,0.341,0.405,0.321,0.327,0.364,0.367
SVM,No Upsampling,0.360,0.426,0.365,0.318,0.356,0.366
SVM,Random Oversampling,0.388,0.417,0.361,0.276,0.356,0.369
SVM,SMOTE,0.366,0.412,0.314,0.354,0.356,0.341
SVM,SVMSMOTE,0.362,0.435,0.328,0.333,0.360,0.379
XGBoost,BorderlineSMOTE,0.228,0.244,0.282,0.313,0.367,0.358
XGBoost,No Upsampling,0.275,0.245,0.271,0.347,0.345,0.358
XGBoost,Random Oversampling,0.234,0.259,0.320,0.334,0.352,**0.454**
XGBoost,SMOTE,0.231,0.255,0.293,0.325,0.357,0.453
XGBoost,SVMSMOTE,0.240,0.235,0.282,0.287,0.334,0.429
