language,model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,KNN,BorderlineSMOTE,0,0.580,0.622,0.600,0.585,0.657
en,KNN,No Upsampling,0,0.580,0.616,0.599,0.603,0.641
en,KNN,Random Oversampling,0,0.608,0.618,0.633,0.608,0.618
en,KNN,SMOTE,0,0.576,0.614,0.643,0.601,0.677
en,KNN,SVMSMOTE,0,0.557,0.664,0.683,0.631,0.677
en,LinearSVM,BorderlineSMOTE,0,0.665,0.689,0.673,0.652,0.697
en,LinearSVM,No Upsampling,0,0.674,0.676,0.703,0.664,0.691
en,LinearSVM,Random Oversampling,0,0.639,0.670,0.692,0.654,0.690
en,LinearSVM,SMOTE,0,0.653,0.685,0.684,0.652,0.695
en,LogisticRegression,BorderlineSMOTE,0.559,0.628,0.621,0.642,0.683,0.668
en,LogisticRegression,No Upsampling,0.558,0.616,0.607,0.627,0.653,0.679
en,LogisticRegression,Random Oversampling,0.550,0.607,0.616,0.619,0.657,0.683
en,LogisticRegression,SMOTE,0.565,0.612,0.607,0.626,0.653,0.684
en,LogisticRegression,SVMSMOTE,0.552,0.615,0.609,0.612,0.655,0.681
en,LogisticRegressionElasticNet,BorderlineSMOTE,0,0.641,0.642,0.657,0.683,0.685
en,LogisticRegressionElasticNet,No Upsampling,0,0.619,0.628,0.650,0.651,0.690
en,LogisticRegressionElasticNet,Random Oversampling,0,0.622,0.632,0.645,0.650,0.693
en,LogisticRegressionElasticNet,SMOTE,0,0.614,0.629,0.651,0.656,0.691
en,LogisticRegressionElasticNet,SVMSMOTE,0,0.618,0.632,0.644,0.665,0.686
en,LogisticRegressionLasso,BorderlineSMOTE,0,0.631,0.618,0.634,0.648,0.647
en,LogisticRegressionLasso,No Upsampling,0.542,0.606,0.621,0.622,0.639,0.664
en,LogisticRegressionLasso,Random Oversampling,0,0.630,0.627,0.630,0.661,0.656
en,LogisticRegressionLasso,SMOTE,0,0.613,0.653,0.627,0.645,0.655
en,LogisticRegressionLasso,SVMSMOTE,0,0.625,0.622,0.627,0.664,0.651
en,LogisticRegressionRidge,BorderlineSMOTE,0.608,0.638,0.654,0.698,0.669,0.687
en,LogisticRegressionRidge,No Upsampling,0.605,0.638,0.649,0.660,0.660,0.687
en,LogisticRegressionRidge,Random Oversampling,0.606,0.635,0.642,0.683,0.647,0.688
en,LogisticRegressionRidge,SMOTE,0.621,0.657,0.663,0.686,0.656,0.696
