model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,BorderlineSMOTE,0,0.770,0.760,0.764,0.732,0.741
KNN,No Upsampling,0,0.720,0.755,0.769,0.745,0.752
KNN,Random Oversampling,0,0.732,0.757,0.779,0.777,0.751
KNN,SMOTE,0,0.716,0.737,0.760,0.718,0.770
KNN,SVMSMOTE,0,0.710,0.676,0.679,0.790,0.770
LinearSVM,BorderlineSMOTE,0,0.695,0.739,0.761,0.744,0.746
LinearSVM,No Upsampling,0,0.693,0.690,0.726,0.733,0.735
LinearSVM,Random Oversampling,0,0.706,0.696,0.730,0.729,0.741
LinearSVM,SMOTE,0,0.728,0.700,0.739,0.731,0.740
LogisticRegression,BorderlineSMOTE,0.587,0.660,0.636,0.656,0.701,0.690
LogisticRegression,No Upsampling,0.594,0.674,0.654,0.673,0.734,0.730
LogisticRegression,Random Oversampling,0.596,0.670,0.655,0.661,0.737,0.739
LogisticRegression,SMOTE,0.604,0.676,0.646,0.671,0.733,0.742
LogisticRegression,SVMSMOTE,0.581,0.650,0.652,0.652,0.729,0.738
LogisticRegressionElasticNet,BorderlineSMOTE,0,0.677,0.649,0.685,0.737,0.722
LogisticRegressionElasticNet,No Upsampling,0,0.676,0.669,0.703,0.734,0.747
LogisticRegressionElasticNet,Random Oversampling,0,0.678,0.669,0.702,0.738,0.755
LogisticRegressionElasticNet,SMOTE,0,0.675,0.676,0.710,0.741,0.756
LogisticRegressionElasticNet,SVMSMOTE,0,0.669,0.675,0.694,0.741,0.737
LogisticRegressionLasso,BorderlineSMOTE,0,0.678,0.629,0.673,0.695,0.672
LogisticRegressionLasso,No Upsampling,0.623,0.655,0.643,0.646,0.701,0.714
LogisticRegressionLasso,Random Oversampling,0,0.676,0.651,0.670,0.691,0.712
LogisticRegressionLasso,SMOTE,0,0.676,0.701,0.670,0.711,0.706
LogisticRegressionLasso,SVMSMOTE,0,0.667,0.642,0.676,0.723,0.709
LogisticRegressionRidge,BorderlineSMOTE,0.631,0.693,0.685,0.713,0.728,0.725
LogisticRegressionRidge,No Upsampling,0.632,0.700,0.682,0.706,0.731,0.744
LogisticRegressionRidge,Random Oversampling,0.635,0.699,0.684,0.734,0.729,0.743
LogisticRegressionRidge,SMOTE,0.644,0.734,0.712,0.718,0.744,0.752
LogisticRegressionRidge,SVMSMOTE,0.632,0.708,0.747,0.744,0.746,0.746
NaiveBayes,BorderlineSMOTE,0,0,0.737,0.725,0.758,0.724
NaiveBayes,No Upsampling,0,0,0.738,0.726,0.768,0.753
NaiveBayes,Random Oversampling,0,0,0.747,0.737,0.770,0.742
NaiveBayes,SMOTE,0,0,0.749,0.729,0.747,0.728
NaiveBayes,SVMSMOTE,0,0,0.737,0.726,0.769,0.761
RandomForest,BorderlineSMOTE,0,0,0.749,0.734,0.721,0.720
RandomForest,No Upsampling,0,0,0.684,0.692,0.684,0.729
RandomForest,Random Oversampling,0,0,0.741,0.774,0.752,0.745
RandomForest,SMOTE,0,0,0.739,0.764,0.759,0.737
RandomForest,SVMSMOTE,0,0,0.781,0.768,**0.792**,0.773
RidgeClassifier,BorderlineSMOTE,0,0.717,0.710,0.737,0.711,0.719
RidgeClassifier,No Upsampling,0,0.725,0.724,0.755,0.724,0.736
RidgeClassifier,Random Oversampling,0,0.744,0.693,0.748,0.721,0.745
RidgeClassifier,SMOTE,0,0.716,0.752,0.745,0.719,0.737
RidgeClassifier,SVMSMOTE,0,0.688,0.698,0.753,0.718,0.726
SVM,BorderlineSMOTE,0,0.720,0.715,0.729,0.736,0.748
SVM,No Upsampling,0,0.756,0.721,0.719,0.736,0.708
SVM,Random Oversampling,0,0.719,0.733,0.733,0.717,0.737
SVM,SMOTE,0,0.754,0.737,0.732,0.743,0.729
SVM,SVMSMOTE,0,0.722,0.761,0.727,0.757,0.724
XGBoost,BorderlineSMOTE,0,0,0.649,0.655,0.656,0.712
XGBoost,No Upsampling,0,0.698,0.649,0.643,0.655,0.669
XGBoost,Random Oversampling,0,0.634,0.636,0.681,0.647,0.672
XGBoost,SMOTE,0,0.605,0.622,0.626,0.682,0.687
XGBoost,SVMSMOTE,0,0,0.708,0.664,0.660,0.728
