model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,0.029,0.000,0.000,0.000,0.000,0.029
LinearSVM,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegression,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionElasticNet,0.000,0.000,0.000,0.000,0.029,0.000
LogisticRegressionLasso,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionRidge,0.000,0.000,0.000,0.000,0.000,0.029
NaiveBayes,0.000,0.000,0.000,0.000,0.000,**0.057**
RandomForest,0.000,0.000,0.000,0.029,0.000,0.029
RidgeClassifier,0.000,0.000,0.000,0.000,0.000,0.029
SVM,0.000,0.000,0.000,0.000,0.029,0.029
XGBoost,0.029,0.000,0.000,0.000,0.000,0.000
