model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,0.000,0.000,0.000,0.026,0.026,0.026
LinearSVM,0.000,0.026,0.026,0.026,0.026,**0.051**
LogisticRegression,0.000,0.000,0.000,0.026,0.000,**0.051**
LogisticRegressionElasticNet,0.000,0.000,0.026,0.026,0.000,0.026
LogisticRegressionLasso,0.000,0.000,0.000,0.026,0.000,0.026
LogisticRegressionRidge,0.000,0.000,0.026,0.026,0.000,0.026
NaiveBayes,0.000,0.000,0.026,0.026,0.000,0.026
RandomForest,0.000,0.000,0.026,0.026,0.026,0.026
RidgeClassifier,0.000,0.000,0.026,0.026,0.026,0.026
SVM,0.000,0.000,**0.051**,0.026,0.026,**0.051**
XGBoost,0.000,0.000,0.000,0.000,0.000,0.026
