language,model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,KNN,0,**0.126**,0.019,0.058,0.097,0.107
en,LinearSVM,0,0.058,0.087,0.049,0.117,0.068
en,LogisticRegression,0.029,0.039,0.049,0.019,0.068,0.068
en,LogisticRegressionElasticNet,0,0.058,0.058,0.049,0.117,0.087
en,LogisticRegressionLasso,0.049,0.058,0.068,0.068,0.058,0.068
en,LogisticRegressionRidge,0.058,0.117,0.107,0.078,0.087,0.058
en,NaiveBayes,0,0,0.087,0.107,0.097,0.068
en,RandomForest,0,0,0.117,0.049,0.117,0.117
en,RidgeClassifier,0,0.117,0.117,**0.126**,0.087,0.078
en,SVM,0,0.087,0.097,0.097,0.078,0.058
en,XGBoost,0,0.049,0.039,0.107,0.078,**0.126**
fr,KNN,0.048,0.048,0.024,0.071,0.000,0.048
fr,LinearSVM,0.000,0.071,0.024,0.048,0.000,**0.143**
fr,LogisticRegression,0.000,0.048,0.048,0.095,0.000,0.095
fr,LogisticRegressionElasticNet,0.024,0.024,0.024,0.071,0.024,0.119
fr,LogisticRegressionLasso,0.024,0.024,0.024,0.024,0.071,0.095
fr,LogisticRegressionRidge,0.000,0.071,0.000,0.024,0.000,0.024
fr,NaiveBayes,0.024,0.000,0.024,0.048,0.048,0.071
fr,RandomForest,0.000,0.000,0.000,0.000,0.000,0.024
fr,RidgeClassifier,0.000,0.048,0.048,0.048,0.000,0.071
fr,SVM,0.024,0.000,0.024,0.024,0.024,0.119
fr,XGBoost,0.024,0.024,0.000,0.024,0.024,0.024
ge,KNN,0.029,0.000,0.000,0.000,0.000,0.029
ge,LinearSVM,0.000,0.000,0.000,0.000,0.000,0.000
ge,LogisticRegression,0.000,0.000,0.000,0.000,0.000,0.000
ge,LogisticRegressionElasticNet,0.000,0.000,0.000,0.000,0.029,0.000
ge,LogisticRegressionLasso,0.000,0.000,0.000,0.000,0.000,0.000
ge,LogisticRegressionRidge,0.000,0.000,0.000,0.000,0.000,0.029
ge,NaiveBayes,0.000,0.000,0.000,0.000,0.000,**0.057**
ge,RandomForest,0.000,0.000,0.000,0.029,0.000,0.029
ge,RidgeClassifier,0.000,0.000,0.000,0.000,0.000,0.029
ge,SVM,0.000,0.000,0.000,0.000,0.029,0.029
ge,XGBoost,0.029,0.000,0.000,0.000,0.000,0.000
it,KNN,0.017,0.067,0.050,0.017,0.067,0.117
it,LinearSVM,0.017,0.083,0.033,0.067,0.050,0.083
it,LogisticRegression,0.067,0.050,0.050,0.033,0.033,0.050
it,LogisticRegressionElasticNet,0.033,0.083,0.050,0.067,0.083,0.100
it,LogisticRegressionLasso,0.083,0.033,0.033,0.050,0.067,0.050
it,LogisticRegressionRidge,0.033,0.083,0.033,0.017,0.067,0.100
it,NaiveBayes,0.033,0.067,0.050,0.067,0.067,0.083
it,RandomForest,0.000,0.000,0.033,0.067,0.017,0.067
it,RidgeClassifier,0.050,0.083,0.067,0.067,0.083,**0.150**
it,SVM,0.033,0.050,0.067,0.067,0.083,0.083
it,XGBoost,0.000,0.000,0.033,0.050,0.000,0.050
po,KNN,0.000,0.000,0.000,0.026,0.026,0.026
po,LinearSVM,0.000,0.026,0.026,0.026,0.026,**0.051**
po,LogisticRegression,0.000,0.000,0.000,0.026,0.000,**0.051**
po,LogisticRegressionElasticNet,0.000,0.000,0.026,0.026,0.000,0.026
po,LogisticRegressionLasso,0.000,0.000,0.000,0.026,0.000,0.026
po,LogisticRegressionRidge,0.000,0.000,0.026,0.026,0.000,0.026
po,NaiveBayes,0.000,0.000,0.026,0.026,0.000,0.026
po,RandomForest,0.000,0.000,0.026,0.026,0.026,0.026
po,RidgeClassifier,0.000,0.000,0.026,0.026,0.026,0.026
po,SVM,0.000,0.000,**0.051**,0.026,0.026,**0.051**
po,XGBoost,0.000,0.000,0.000,0.000,0.000,0.026
ru,KNN,0.000,0.026,0.079,0.105,0.053,0.079
ru,LinearSVM,0.000,0.053,0.053,0.105,0.053,0.105
ru,LogisticRegression,0.000,0.053,0.053,0.000,0.053,0.105
ru,LogisticRegressionElasticNet,0.000,0.079,0.053,0.079,0.079,**0.158**
ru,LogisticRegressionLasso,0.026,0.026,0.053,0.053,0.053,0.132
ru,LogisticRegressionRidge,0.000,0.079,0.026,0.079,0.079,0.105
ru,NaiveBayes,0.000,0.053,**0.158**,0.132,0.053,0.079
ru,RandomForest,0.000,0.000,0.000,0.026,0.053,0.105
ru,RidgeClassifier,0.026,0.079,0.132,0.053,0.053,0.079
ru,SVM,0.000,0.053,**0.158**,0.053,0.105,0.053
ru,XGBoost,0.026,0.000,0.053,0.105,0.132,**0.158**
