model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,0.156,0.361,0.388,0.379,0.417,0.449
LinearSVM,0.364,0.458,0.480,0.462,0.433,0.452
LogisticRegression,0.347,0.465,0.443,0.489,0.439,0.518
LogisticRegressionElasticNet,0.339,0.469,0.455,0.474,0.447,0.534
LogisticRegressionLasso,0.348,0.467,0.449,0.463,0.458,0.542
LogisticRegressionRidge,0.363,0.514,0.445,0.483,0.457,0.523
NaiveBayes,0.337,0.494,0.485,0.484,0.529,0.488
RandomForest,0.389,0.522,0.527,0.511,0.499,0.541
RidgeClassifier,0.353,0.460,0.427,0.449,0.485,0.477
SVM,0.397,0.500,0.465,0.501,0.532,0.526
XGBoost,0.475,0.550,0.501,0.509,0.501,**0.567**
