model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,0.391,0.364,0.322,0.549,0.379,0.470
LinearSVM,0.441,0.428,0.472,0.486,0.414,0.552
LogisticRegression,0.444,0.444,0.442,0.498,0.488,0.558
LogisticRegressionElasticNet,0.416,0.431,0.464,0.483,0.479,0.552
LogisticRegressionLasso,0.388,0.467,0.468,0.474,0.488,0.507
LogisticRegressionRidge,0.429,0.432,0.472,0.498,0.444,0.538
NaiveBayes,0.512,0.481,0.474,0.475,0.484,0.537
RandomForest,0.441,0.497,0.501,0.519,0.516,**0.561**
RidgeClassifier,0.439,0.439,0.452,0.467,0.462,0.534
SVM,0.485,0.485,0.500,0.524,0.514,0.533
XGBoost,0.411,0.468,0.480,0.501,0.508,0.535
