model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,0.482,0.429,0.428,0.390,0.066,0.462
LinearSVM,0.545,0.480,0.537,0.557,0.572,0.601
LogisticRegression,0.540,0.486,0.535,0.545,0.553,0.629
LogisticRegressionElasticNet,0.543,0.502,0.554,0.533,0.566,0.623
LogisticRegressionLasso,0.422,0.494,0.500,0.549,0.547,**0.652**
LogisticRegressionRidge,0.553,0.506,0.554,0.556,0.596,0.606
NaiveBayes,0.537,0.505,0.526,0.552,0.610,0.624
RandomForest,0.379,0.528,0.544,0.519,0.580,0.640
RidgeClassifier,0.561,0.503,0.509,0.531,0.592,0.590
SVM,0.550,0.541,0.527,0.539,0.599,0.614
XGBoost,0.570,0.563,0.564,0.563,0.590,0.649
