model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,0.275,0.203,0.270,0.300,0.323,0.258
LinearSVM,0.324,0.347,0.273,0.369,0.324,0.353
LogisticRegression,0.354,0.314,0.299,0.329,0.300,0.381
LogisticRegressionElasticNet,0.331,0.366,0.339,0.352,0.300,0.402
LogisticRegressionLasso,0.309,0.307,0.283,0.390,0.316,0.411
LogisticRegressionRidge,0.345,0.359,0.343,0.346,0.311,0.371
NaiveBayes,0.363,0.317,0.330,0.372,0.351,0.398
RandomForest,0.300,0.311,0.313,0.277,0.341,0.324
RidgeClassifier,0.333,0.365,0.299,0.333,0.318,0.338
SVM,0.388,0.435,0.365,0.354,0.364,0.379
XGBoost,0.275,0.259,0.320,0.347,0.367,**0.454**
