language,model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,KNN,0,0.608,0.664,0.683,0.631,0.677
en,LinearSVM,0,0.674,0.689,0.703,0.664,0.697
en,LogisticRegression,0.565,0.628,0.621,0.642,0.683,0.684
en,LogisticRegressionElasticNet,0,0.641,0.642,0.657,0.683,0.693
en,LogisticRegressionLasso,0.542,0.631,0.653,0.634,0.664,0.664
en,LogisticRegressionRidge,0.621,0.657,0.673,0.698,0.669,0.696
en,NaiveBayes,0,0,0.692,0.693,0.687,**0.705**
en,RandomForest,0,0,0.640,0.650,0.646,0.695
en,RidgeClassifier,0,0.638,0.672,0.690,0.653,0.675
en,SVM,0,0.680,0.689,0.689,0.679,0.696
en,XGBoost,0,0.650,0.657,0.661,0.660,0.684
fr,KNN,0.278,0.344,0.217,0.415,0.344,0.437
fr,LinearSVM,0.270,0.408,0.360,0.325,0.366,0.389
fr,LogisticRegression,0.295,0.428,0.362,0.356,0.354,0.402
fr,LogisticRegressionElasticNet,0.280,0.436,0.364,0.314,0.401,0.398
fr,LogisticRegressionLasso,0.279,0.423,0.374,0.369,0.389,0.382
fr,LogisticRegressionRidge,0.316,0.424,0.396,0.324,0.365,**0.452**
fr,NaiveBayes,0.358,0.388,0.391,0.365,0.431,0.400
fr,RandomForest,0.306,0.395,0.361,0.365,0.394,0.437
fr,RidgeClassifier,0.332,0.412,0.350,0.288,0.319,0.317
fr,SVM,0.371,0.398,0.374,0.353,0.365,0.381
fr,XGBoost,0.346,0.371,0.374,0.375,0.373,0.448
ge,KNN,0.156,0.361,0.388,0.379,0.417,0.449
ge,LinearSVM,0.364,0.458,0.480,0.462,0.433,0.452
ge,LogisticRegression,0.347,0.465,0.443,0.489,0.439,0.518
ge,LogisticRegressionElasticNet,0.339,0.469,0.455,0.474,0.447,0.534
ge,LogisticRegressionLasso,0.348,0.467,0.449,0.463,0.458,0.542
ge,LogisticRegressionRidge,0.363,0.514,0.445,0.483,0.457,0.523
ge,NaiveBayes,0.337,0.494,0.485,0.484,0.529,0.488
ge,RandomForest,0.389,0.522,0.527,0.511,0.499,0.541
ge,RidgeClassifier,0.353,0.460,0.427,0.449,0.485,0.477
ge,SVM,0.397,0.500,0.465,0.501,0.532,0.526
ge,XGBoost,0.475,0.550,0.501,0.509,0.501,**0.567**
it,KNN,0.391,0.364,0.322,0.549,0.379,0.470
it,LinearSVM,0.441,0.428,0.472,0.486,0.414,0.552
it,LogisticRegression,0.444,0.444,0.442,0.498,0.488,0.558
it,LogisticRegressionElasticNet,0.416,0.431,0.464,0.483,0.479,0.552
it,LogisticRegressionLasso,0.388,0.467,0.468,0.474,0.488,0.507
it,LogisticRegressionRidge,0.429,0.432,0.472,0.498,0.444,0.538
it,NaiveBayes,0.512,0.481,0.474,0.475,0.484,0.537
it,RandomForest,0.441,0.497,0.501,0.519,0.516,**0.561**
it,RidgeClassifier,0.439,0.439,0.452,0.467,0.462,0.534
it,SVM,0.485,0.485,0.500,0.524,0.514,0.533
it,XGBoost,0.411,0.468,0.480,0.501,0.508,0.535
po,KNN,0.482,0.429,0.428,0.390,0.066,0.462
po,LinearSVM,0.545,0.480,0.537,0.557,0.572,0.601
po,LogisticRegression,0.540,0.486,0.535,0.545,0.553,0.629
po,LogisticRegressionElasticNet,0.543,0.502,0.554,0.533,0.566,0.623
po,LogisticRegressionLasso,0.422,0.494,0.500,0.549,0.547,**0.652**
po,LogisticRegressionRidge,0.553,0.506,0.554,0.556,0.596,0.606
po,NaiveBayes,0.537,0.505,0.526,0.552,0.610,0.624
po,RandomForest,0.379,0.528,0.544,0.519,0.580,0.640
po,RidgeClassifier,0.561,0.503,0.509,0.531,0.592,0.590
po,SVM,0.550,0.541,0.527,0.539,0.599,0.614
po,XGBoost,0.570,0.563,0.564,0.563,0.590,0.649
ru,KNN,0.275,0.203,0.270,0.300,0.323,0.258
ru,LinearSVM,0.324,0.347,0.273,0.369,0.324,0.353
ru,LogisticRegression,0.354,0.314,0.299,0.329,0.300,0.381
ru,LogisticRegressionElasticNet,0.331,0.366,0.339,0.352,0.300,0.402
ru,LogisticRegressionLasso,0.309,0.307,0.283,0.390,0.316,0.411
ru,LogisticRegressionRidge,0.345,0.359,0.343,0.346,0.311,0.371
ru,NaiveBayes,0.363,0.317,0.330,0.372,0.351,0.398
ru,RandomForest,0.300,0.311,0.313,0.277,0.341,0.324
ru,RidgeClassifier,0.333,0.365,0.299,0.333,0.318,0.338
ru,SVM,0.388,0.435,0.365,0.354,0.364,0.379
ru,XGBoost,0.275,0.259,0.320,0.347,0.367,**0.454**
