model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,0.451,0.420,0.496,0.490,0.471,0.560
LinearSVM,0.460,0.470,0.508,0.556,0.537,0.614
LogisticRegression,0.479,0.463,0.471,0.492,0.549,0.578
LogisticRegressionElasticNet,0.465,0.463,0.509,0.517,0.668,0.643
LogisticRegressionLasso,0.490,0.515,0.479,0.550,0.570,0.616
LogisticRegressionRidge,0.467,0.476,0.520,0.532,0.550,0.626
NaiveBayes,0.487,0.496,0.546,0.568,0.602,0.595
RandomForest,0.473,0.493,0.477,0.540,0.532,0.667
RidgeClassifier,0.462,0.493,0.551,0.581,0.602,**0.722**
SVM,0.486,0.508,0.575,0.637,0.612,0.631
XGBoost,0.353,0.417,0.448,0.453,0.512,0.527
