model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,0.583,0.453,0.575,0.510,0.050,0.577
LinearSVM,0.549,0.520,0.586,0.593,0.670,0.685
LogisticRegression,0.584,0.516,0.536,0.571,0.621,0.645
LogisticRegressionElasticNet,0.619,0.542,0.602,0.586,0.597,0.667
LogisticRegressionLasso,0.614,0.614,0.585,0.614,0.601,0.624
LogisticRegressionRidge,0.549,0.515,0.620,0.608,0.610,0.669
NaiveBayes,0.625,0.564,0.567,0.584,0.624,0.658
RandomForest,0.636,0.591,0.570,0.540,0.709,**0.784**
RidgeClassifier,0.625,0.526,0.554,0.657,0.724,0.713
SVM,0.569,0.581,0.625,0.579,0.733,0.737
XGBoost,0.501,0.524,0.535,0.550,0.601,0.640
