model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,0.413,0.342,0.298,0.362,0.375,0.317
LinearSVM,0.392,0.410,0.376,0.444,0.452,0.459
LogisticRegression,0.403,0.376,0.436,0.355,0.380,0.401
LogisticRegressionElasticNet,0.457,0.459,0.447,0.411,0.368,0.461
LogisticRegressionLasso,0.539,0.331,0.362,0.388,0.358,0.464
LogisticRegressionRidge,0.390,0.455,0.447,0.422,0.446,0.470
NaiveBayes,0.358,0.421,0.476,0.453,0.405,**0.567**
RandomForest,0.245,0.246,0.313,0.366,0.402,0.409
RidgeClassifier,0.398,0.430,0.420,0.441,0.448,0.422
SVM,0.385,0.474,0.498,0.497,0.526,0.555
XGBoost,0.335,0.264,0.354,0.385,0.400,0.452
