model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,0.140,0.360,0.366,0.360,0.436,0.471
LinearSVM,0.331,0.453,0.465,0.442,0.430,0.453
LogisticRegression,0.314,0.448,0.430,0.488,0.442,0.535
LogisticRegressionElasticNet,0.297,0.436,0.430,0.453,0.453,0.552
LogisticRegressionLasso,0.314,0.448,0.407,0.436,0.436,0.552
LogisticRegressionRidge,0.331,0.517,0.430,0.471,0.477,0.558
NaiveBayes,0.267,0.488,0.483,0.483,0.576,0.500
RandomForest,0.477,0.587,0.558,0.506,0.483,0.512
RidgeClassifier,0.320,0.442,0.395,0.424,0.471,0.448
SVM,0.366,0.506,0.442,0.506,0.535,0.517
XGBoost,**0.622**,0.616,0.529,0.517,0.535,**0.622**
