model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,0.256,0.174,0.267,0.279,0.326,0.233
LinearSVM,0.314,0.349,0.221,0.326,0.267,0.326
LogisticRegression,0.360,0.302,0.256,0.326,0.267,0.395
LogisticRegressionElasticNet,0.314,0.337,0.314,0.326,0.267,0.372
LogisticRegressionLasso,0.233,0.326,0.256,0.419,0.302,0.395
LogisticRegressionRidge,0.349,0.337,0.326,0.302,0.256,0.337
NaiveBayes,0.419,0.302,0.256,0.326,0.337,0.360
RandomForest,**0.535**,0.477,0.326,0.233,0.326,0.302
RidgeClassifier,0.326,0.360,0.244,0.279,0.267,0.291
SVM,0.419,0.465,0.326,0.302,0.326,0.326
XGBoost,0.407,0.326,0.337,0.360,0.372,**0.535**
