model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.37 $\pm$ 0.04,0.30 $\pm$ 0.05,0.41 $\pm$ 0.10,0.48 $\pm$ 0.06,0.35 $\pm$ 0.04,0.44 $\pm$ 0.04
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.20 $\pm$ 0.01,0.19 $\pm$ 0.03,0.21 $\pm$ 0.03,0.20 $\pm$ 0.03,0.23 $\pm$ 0.02,0.33 $\pm$ 0.05
ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,0.44 $\pm$ 0.01,0.47 $\pm$ 0.03,0.47 $\pm$ 0.02,0.48 $\pm$ 0.03,0.48 $\pm$ 0.04,0.54 $\pm$ 0.03
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.43 $\pm$ 0.01,0.44 $\pm$ 0.02,0.45 $\pm$ 0.03,0.45 $\pm$ 0.02,0.42 $\pm$ 0.03,0.47 $\pm$ 0.03
KNN,No Upsampling,kNN,0.44 $\pm$ 0.03,0.45 $\pm$ 0.04,0.45 $\pm$ 0.04,0.44 $\pm$ 0.04,0.44 $\pm$ 0.07,0.50 $\pm$ 0.03
KNN,Random Oversampling,kNN_ROS,0.43 $\pm$ 0.01,0.45 $\pm$ 0.02,0.45 $\pm$ 0.02,0.46 $\pm$ 0.03,0.44 $\pm$ 0.03,0.47 $\pm$ 0.03
KNN,SMOTE,kNN_SMOTE,0.42 $\pm$ 0.01,0.45 $\pm$ 0.03,0.44 $\pm$ 0.01,0.44 $\pm$ 0.02,0.43 $\pm$ 0.04,0.47 $\pm$ 0.04
KNN,SVMSMOTE,kNN_SVMSMOTE,0.39 $\pm$ 0.02,0.45 $\pm$ 0.02,0.43 $\pm$ 0.01,0.45 $\pm$ 0.03,0.43 $\pm$ 0.05,0.48 $\pm$ 0.03
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.43 $\pm$ 0.03,0.46 $\pm$ 0.02,0.45 $\pm$ 0.02,0.45 $\pm$ 0.03,0.42 $\pm$ 0.03,0.48 $\pm$ 0.01
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.44 $\pm$ 0.03,0.46 $\pm$ 0.02,0.44 $\pm$ 0.02,0.46 $\pm$ 0.02,0.42 $\pm$ 0.04,0.50 $\pm$ 0.02
LinearSVM,No Upsampling,LinearSVMDual,0.42 $\pm$ 0.03,0.46 $\pm$ 0.02,0.44 $\pm$ 0.02,0.45 $\pm$ 0.03,0.42 $\pm$ 0.03,0.48 $\pm$ 0.03
LinearSVM,RakelD Partitioning of labels,RakelD_LineaSVM,0.45 $\pm$ 0.04,0.46 $\pm$ 0.02,0.44 $\pm$ 0.02,0.45 $\pm$ 0.03,0.42 $\pm$ 0.03,0.47 $\pm$ 0.02
LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.43 $\pm$ 0.02,0.46 $\pm$ 0.01,0.44 $\pm$ 0.03,0.46 $\pm$ 0.02,0.42 $\pm$ 0.03,0.48 $\pm$ 0.02
LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.44 $\pm$ 0.03,0.46 $\pm$ 0.02,0.44 $\pm$ 0.02,0.45 $\pm$ 0.03,0.42 $\pm$ 0.03,0.47 $\pm$ 0.00
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.44 $\pm$ 0.03,0.47 $\pm$ 0.02,0.45 $\pm$ 0.02,0.46 $\pm$ 0.04,0.46 $\pm$ 0.04,0.50 $\pm$ 0.02
LogisticRegression,No Upsampling,LogisticRegression,0.43 $\pm$ 0.02,0.48 $\pm$ 0.04,0.45 $\pm$ 0.02,0.46 $\pm$ 0.04,0.47 $\pm$ 0.05,0.51 $\pm$ 0.02
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.44 $\pm$ 0.02,0.47 $\pm$ 0.04,0.43 $\pm$ 0.02,0.46 $\pm$ 0.04,0.47 $\pm$ 0.05,0.51 $\pm$ 0.03
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.44 $\pm$ 0.03,0.47 $\pm$ 0.04,0.44 $\pm$ 0.03,0.46 $\pm$ 0.03,0.45 $\pm$ 0.04,0.52 $\pm$ 0.03
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.43 $\pm$ 0.03,0.50 $\pm$ 0.04,0.46 $\pm$ 0.02,0.46 $\pm$ 0.03,0.46 $\pm$ 0.04,0.51 $\pm$ 0.04
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.44 $\pm$ 0.03,0.45 $\pm$ 0.02,0.45 $\pm$ 0.03,0.48 $\pm$ 0.03,0.50 $\pm$ 0.06,0.53 $\pm$ 0.02
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.44 $\pm$ 0.02,0.47 $\pm$ 0.02,0.46 $\pm$ 0.03,0.47 $\pm$ 0.03,0.49 $\pm$ 0.06,0.54 $\pm$ 0.02
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.44 $\pm$ 0.03,0.46 $\pm$ 0.02,0.46 $\pm$ 0.02,0.48 $\pm$ 0.03,0.49 $\pm$ 0.04,0.52 $\pm$ 0.02
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.44 $\pm$ 0.02,0.47 $\pm$ 0.02,0.46 $\pm$ 0.02,0.47 $\pm$ 0.03,0.49 $\pm$ 0.04,0.53 $\pm$ 0.02
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.44 $\pm$ 0.02,0.44 $\pm$ 0.03,0.45 $\pm$ 0.03,0.46 $\pm$ 0.03,0.48 $\pm$ 0.05,0.53 $\pm$ 0.01
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.44 $\pm$ 0.03,0.45 $\pm$ 0.01,0.44 $\pm$ 0.01,0.47 $\pm$ 0.04,0.48 $\pm$ 0.06,0.54 $\pm$ 0.02
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.44 $\pm$ 0.03,0.46 $\pm$ 0.03,0.46 $\pm$ 0.02,0.47 $\pm$ 0.04,0.48 $\pm$ 0.06,0.55 $\pm$ 0.03
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.44 $\pm$ 0.03,0.47 $\pm$ 0.03,0.46 $\pm$ 0.01,0.47 $\pm$ 0.04,0.48 $\pm$ 0.05,0.52 $\pm$ 0.02
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.44 $\pm$ 0.02,0.47 $\pm$ 0.03,0.46 $\pm$ 0.04,0.47 $\pm$ 0.03,0.47 $\pm$ 0.06,0.52 $\pm$ 0.02
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.44 $\pm$ 0.03,0.45 $\pm$ 0.02,0.45 $\pm$ 0.02,0.45 $\pm$ 0.03,0.43 $\pm$ 0.03,0.48 $\pm$ 0.01
LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.43 $\pm$ 0.04,0.46 $\pm$ 0.02,0.44 $\pm$ 0.02,0.45 $\pm$ 0.03,0.42 $\pm$ 0.04,0.49 $\pm$ 0.02
LogisticRegressionRidge,RakelD Partitioning of labels,RakelD_LogisticRegression,0.43 $\pm$ 0.02,0.47 $\pm$ 0.03,0.47 $\pm$ 0.02,0.48 $\pm$ 0.03,0.46 $\pm$ 0.04,0.49 $\pm$ 0.03
LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,0.42 $\pm$ 0.04,0.46 $\pm$ 0.02,0.44 $\pm$ 0.02,0.46 $\pm$ 0.03,0.42 $\pm$ 0.04,0.47 $\pm$ 0.02
LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,0.42 $\pm$ 0.04,0.46 $\pm$ 0.02,0.45 $\pm$ 0.03,0.46 $\pm$ 0.02,0.42 $\pm$ 0.04,0.48 $\pm$ 0.01
LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidgeDual_SVMSMOTE,0.43 $\pm$ 0.03,0.47 $\pm$ 0.03,0.44 $\pm$ 0.02,0.46 $\pm$ 0.04,0.43 $\pm$ 0.03,0.46 $\pm$ 0.03
Multi-label ARAM,Natively Multilabel,MLARAM,0.22 $\pm$ 0.02,0.23 $\pm$ 0.08,0.14 $\pm$ 0.06,0.14 $\pm$ 0.04,0.20 $\pm$ 0.09,0.32 $\pm$ 0.01
Multilabel k Nearest Neighbours,Natively Multilabel,MLkNN,0.42 $\pm$ 0.05,0.43 $\pm$ 0.07,0.42 $\pm$ 0.00,0.49 $\pm$ 0.04,0.43 $\pm$ 0.03,0.51 $\pm$ 0.05
NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.44 $\pm$ 0.01,0.47 $\pm$ 0.01,0.47 $\pm$ 0.03,0.48 $\pm$ 0.02,0.47 $\pm$ 0.04,0.54 $\pm$ 0.03
NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.44 $\pm$ 0.01,0.48 $\pm$ 0.02,0.47 $\pm$ 0.03,0.48 $\pm$ 0.02,0.48 $\pm$ 0.04,0.54 $\pm$ 0.03
NaiveBayes,No Upsampling,ComplementNaiveBayes,0.44 $\pm$ 0.01,0.48 $\pm$ 0.02,0.47 $\pm$ 0.02,0.48 $\pm$ 0.03,0.48 $\pm$ 0.04,0.55 $\pm$ 0.03
NaiveBayes,No Upsampling,NaiveBayes,0.44 $\pm$ 0.01,0.48 $\pm$ 0.02,0.48 $\pm$ 0.02,0.48 $\pm$ 0.03,0.47 $\pm$ 0.04,0.54 $\pm$ 0.03
NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.44 $\pm$ 0.01,0.48 $\pm$ 0.02,0.47 $\pm$ 0.03,0.48 $\pm$ 0.03,0.48 $\pm$ 0.03,0.55 $\pm$ 0.03
NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.44 $\pm$ 0.01,0.48 $\pm$ 0.02,0.48 $\pm$ 0.02,0.48 $\pm$ 0.03,0.48 $\pm$ 0.04,0.54 $\pm$ 0.03
NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.44 $\pm$ 0.01,0.48 $\pm$ 0.02,0.47 $\pm$ 0.02,0.48 $\pm$ 0.01,0.47 $\pm$ 0.03,0.54 $\pm$ 0.04
NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.44 $\pm$ 0.01,0.48 $\pm$ 0.03,0.48 $\pm$ 0.02,0.48 $\pm$ 0.03,0.48 $\pm$ 0.03,0.54 $\pm$ 0.03
NaiveBayes,SVMSMOTE,ComplementNaiveBayes_SVMSMOTE,0.44 $\pm$ 0.01,0.48 $\pm$ 0.02,0.48 $\pm$ 0.02,0.48 $\pm$ 0.02,0.47 $\pm$ 0.04,0.54 $\pm$ 0.03
NaiveBayes,SVMSMOTE,NaiveBayes_SVMSMOTE,0.44 $\pm$ 0.01,0.48 $\pm$ 0.02,0.48 $\pm$ 0.02,0.48 $\pm$ 0.03,0.48 $\pm$ 0.04,0.54 $\pm$ 0.03
RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0.37 $\pm$ 0.10,0.48 $\pm$ 0.01,0.49 $\pm$ 0.01,0.50 $\pm$ 0.02,0.51 $\pm$ 0.02,**0.59 $\pm$ 0.01**
RandomForest,No Upsampling,RandomForest,0.39 $\pm$ 0.12,0.47 $\pm$ 0.01,0.47 $\pm$ 0.02,0.50 $\pm$ 0.01,0.51 $\pm$ 0.01,0.56 $\pm$ 0.01
RandomForest,Random Oversampling,RandomForest_ROS,0.46 $\pm$ 0.06,0.49 $\pm$ 0.01,0.47 $\pm$ 0.01,0.49 $\pm$ 0.01,0.52 $\pm$ 0.03,0.57 $\pm$ 0.02
RandomForest,SMOTE,RandomForest_SMOTE,0.45 $\pm$ 0.03,0.48 $\pm$ 0.01,0.47 $\pm$ 0.01,0.49 $\pm$ 0.01,0.52 $\pm$ 0.03,0.58 $\pm$ 0.02
RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,0.35 $\pm$ 0.09,0.47 $\pm$ 0.01,0.47 $\pm$ 0.02,0.50 $\pm$ 0.02,0.51 $\pm$ 0.02,0.57 $\pm$ 0.01
RidgeClassifier,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0.44 $\pm$ 0.02,0.49 $\pm$ 0.03,0.47 $\pm$ 0.02,0.47 $\pm$ 0.05,0.46 $\pm$ 0.03,0.55 $\pm$ 0.03
RidgeClassifier,No Upsampling,RidgeClassifier,0.42 $\pm$ 0.02,0.50 $\pm$ 0.04,0.47 $\pm$ 0.03,0.48 $\pm$ 0.04,0.46 $\pm$ 0.04,0.55 $\pm$ 0.03
RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,0.42 $\pm$ 0.03,0.47 $\pm$ 0.04,0.46 $\pm$ 0.03,0.47 $\pm$ 0.03,0.47 $\pm$ 0.04,0.54 $\pm$ 0.03
RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,0.42 $\pm$ 0.02,0.50 $\pm$ 0.04,0.47 $\pm$ 0.03,0.47 $\pm$ 0.03,0.47 $\pm$ 0.04,0.55 $\pm$ 0.03
RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,0.42 $\pm$ 0.02,0.49 $\pm$ 0.05,0.46 $\pm$ 0.04,0.47 $\pm$ 0.03,0.45 $\pm$ 0.02,0.55 $\pm$ 0.04
SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,0.43 $\pm$ 0.03,0.46 $\pm$ 0.02,0.48 $\pm$ 0.02,0.47 $\pm$ 0.04,0.46 $\pm$ 0.03,0.54 $\pm$ 0.02
SVM,BorderlineSMOTE,SVM_sigmoid_BorderlineSMOTE,0.43 $\pm$ 0.02,0.46 $\pm$ 0.02,0.44 $\pm$ 0.01,0.47 $\pm$ 0.02,0.48 $\pm$ 0.03,0.52 $\pm$ 0.00
SVM,No Upsampling,SVM_rbf,0.44 $\pm$ 0.03,0.47 $\pm$ 0.03,0.47 $\pm$ 0.01,0.48 $\pm$ 0.03,0.51 $\pm$ 0.04,0.45 $\pm$ 0.03
SVM,No Upsampling,SVM_sigmoid,0.43 $\pm$ 0.02,0.47 $\pm$ 0.02,0.47 $\pm$ 0.01,0.48 $\pm$ 0.02,0.49 $\pm$ 0.04,0.54 $\pm$ 0.02
SVM,RakelD Partitioning of labels,RakelD_SVM,0.43 $\pm$ 0.04,0.45 $\pm$ 0.02,0.43 $\pm$ 0.03,0.46 $\pm$ 0.01,0.47 $\pm$ 0.06,0.48 $\pm$ 0.01
SVM,Random Oversampling,SVM_rbf_ROS,0.43 $\pm$ 0.02,0.47 $\pm$ 0.03,0.47 $\pm$ 0.03,0.48 $\pm$ 0.02,0.50 $\pm$ 0.04,0.44 $\pm$ 0.03
SVM,Random Oversampling,SVM_sigmoid_ROS,0.43 $\pm$ 0.01,0.47 $\pm$ 0.02,0.48 $\pm$ 0.03,0.47 $\pm$ 0.03,0.49 $\pm$ 0.04,0.54 $\pm$ 0.03
SVM,SMOTE,SVM_rbf_SMOTE,0.42 $\pm$ 0.01,0.45 $\pm$ 0.04,0.48 $\pm$ 0.02,0.49 $\pm$ 0.02,0.50 $\pm$ 0.05,0.56 $\pm$ 0.03
SVM,SMOTE,SVM_sigmoid_SMOTE,0.42 $\pm$ 0.01,0.46 $\pm$ 0.02,0.47 $\pm$ 0.03,0.48 $\pm$ 0.03,0.47 $\pm$ 0.01,0.54 $\pm$ 0.02
SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,0.42 $\pm$ 0.02,0.40 $\pm$ 0.08,0.46 $\pm$ 0.01,0.48 $\pm$ 0.02,0.51 $\pm$ 0.06,0.54 $\pm$ 0.03
SVM,SVMSMOTE,SVM_sigmoid_SVMSMOTE,0.43 $\pm$ 0.01,0.47 $\pm$ 0.01,0.45 $\pm$ 0.02,0.48 $\pm$ 0.04,0.51 $\pm$ 0.05,0.53 $\pm$ 0.02
XGBoost,BorderlineSMOTE,XGBoost_broad_BorderlineSMOTE,0.38 $\pm$ 0.02,0.42 $\pm$ 0.02,0.40 $\pm$ 0.02,0.42 $\pm$ 0.01,0.40 $\pm$ 0.03,0.48 $\pm$ 0.03
XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,0.38 $\pm$ 0.02,0.40 $\pm$ 0.02,0.40 $\pm$ 0.02,0.42 $\pm$ 0.01,0.42 $\pm$ 0.00,0.48 $\pm$ 0.04
XGBoost,No Upsampling,XGBoost_broad,0.39 $\pm$ 0.03,0.41 $\pm$ 0.02,0.41 $\pm$ 0.02,0.41 $\pm$ 0.02,0.39 $\pm$ 0.02,0.44 $\pm$ 0.04
XGBoost,No Upsampling,XGBoost_narrow,0.39 $\pm$ 0.03,0.40 $\pm$ 0.02,0.40 $\pm$ 0.02,0.41 $\pm$ 0.02,0.40 $\pm$ 0.02,0.47 $\pm$ 0.01
XGBoost,Random Oversampling,XGBoost_broad_ROS,0.39 $\pm$ 0.03,0.41 $\pm$ 0.03,0.40 $\pm$ 0.01,0.41 $\pm$ 0.01,0.39 $\pm$ 0.02,0.49 $\pm$ 0.02
XGBoost,Random Oversampling,XGBoost_narrow_ROS,0.38 $\pm$ 0.02,0.41 $\pm$ 0.02,0.39 $\pm$ 0.02,0.42 $\pm$ 0.03,0.43 $\pm$ 0.03,0.51 $\pm$ 0.03
XGBoost,SMOTE,XGBoost_broad_SMOTE,0.39 $\pm$ 0.02,0.40 $\pm$ 0.02,0.40 $\pm$ 0.01,0.41 $\pm$ 0.02,0.40 $\pm$ 0.02,0.49 $\pm$ 0.03
XGBoost,SMOTE,XGBoost_narrow_SMOTE,0.39 $\pm$ 0.03,0.41 $\pm$ 0.02,0.40 $\pm$ 0.01,0.41 $\pm$ 0.02,0.42 $\pm$ 0.03,0.50 $\pm$ 0.04
XGBoost,SVMSMOTE,XGBoost_broad_SVMSMOTE,0.39 $\pm$ 0.01,0.41 $\pm$ 0.02,0.39 $\pm$ 0.01,0.41 $\pm$ 0.03,0.40 $\pm$ 0.01,0.47 $\pm$ 0.02
