model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.19 $\pm$ 0.02,0.23 $\pm$ 0.02,0.31 $\pm$ 0.01,0.29 $\pm$ 0.04,0.30 $\pm$ 0.01,0.31 $\pm$ 0.02
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.23 $\pm$ 0.03,0.24 $\pm$ 0.01,0.24 $\pm$ 0.02,0.24 $\pm$ 0.02,0.25 $\pm$ 0.03,0.26 $\pm$ 0.01
ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,0.65 $\pm$ 0.11,0.56 $\pm$ 0.03,0.60 $\pm$ 0.08,0.57 $\pm$ 0.04,0.56 $\pm$ 0.04,0.61 $\pm$ 0.05
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.74 $\pm$ 0.17,0.63 $\pm$ 0.06,0.57 $\pm$ 0.05,0.67 $\pm$ 0.03,0.69 $\pm$ 0.05,0.72 $\pm$ 0.05
KNN,No Upsampling,kNN,0.28 $\pm$ 0.05,0.31 $\pm$ 0.08,0.31 $\pm$ 0.02,0.31 $\pm$ 0.02,0.41 $\pm$ 0.04,0.41 $\pm$ 0.03
KNN,Random Oversampling,kNN_ROS,0.58 $\pm$ 0.12,0.60 $\pm$ 0.02,0.61 $\pm$ 0.02,0.64 $\pm$ 0.03,0.64 $\pm$ 0.05,0.73 $\pm$ 0.05
KNN,SMOTE,kNN_SMOTE,0.74 $\pm$ 0.20,0.70 $\pm$ 0.21,0.58 $\pm$ 0.04,0.67 $\pm$ 0.02,0.67 $\pm$ 0.01,0.68 $\pm$ 0.03
KNN,SVMSMOTE,kNN_SVMSMOTE,**0.96 $\pm$ 0.01**,0.31 $\pm$ 0.16,0.45 $\pm$ 0.03,0.54 $\pm$ 0.02,0.55 $\pm$ 0.05,0.60 $\pm$ 0.05
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.45 $\pm$ 0.02,0.63 $\pm$ 0.07,0.59 $\pm$ 0.07,0.58 $\pm$ 0.07,0.61 $\pm$ 0.06,0.64 $\pm$ 0.04
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.49 $\pm$ 0.01,0.63 $\pm$ 0.08,0.58 $\pm$ 0.06,0.61 $\pm$ 0.02,0.62 $\pm$ 0.04,0.61 $\pm$ 0.08
LinearSVM,No Upsampling,LinearSVMDual,0.50 $\pm$ 0.02,0.68 $\pm$ 0.03,0.62 $\pm$ 0.02,0.60 $\pm$ 0.06,0.67 $\pm$ 0.03,0.62 $\pm$ 0.01
LinearSVM,RakelD Partitioning of labels,RakelD_LineaSVM,0.48 $\pm$ 0.03,0.66 $\pm$ 0.06,0.58 $\pm$ 0.04,0.64 $\pm$ 0.07,0.59 $\pm$ 0.11,0.58 $\pm$ 0.01
LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.50 $\pm$ 0.02,0.67 $\pm$ 0.03,0.58 $\pm$ 0.02,0.63 $\pm$ 0.08,0.57 $\pm$ 0.03,0.63 $\pm$ 0.03
LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.43 $\pm$ 0.02,0.62 $\pm$ 0.09,0.55 $\pm$ 0.07,0.52 $\pm$ 0.05,0.59 $\pm$ 0.05,0.60 $\pm$ 0.03
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.29 $\pm$ 0.01,0.40 $\pm$ 0.04,0.34 $\pm$ 0.03,0.44 $\pm$ 0.03,0.46 $\pm$ 0.03,0.49 $\pm$ 0.02
LogisticRegression,No Upsampling,LogisticRegression,0.27 $\pm$ 0.02,0.32 $\pm$ 0.05,0.24 $\pm$ 0.03,0.35 $\pm$ 0.02,0.39 $\pm$ 0.02,0.40 $\pm$ 0.03
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.29 $\pm$ 0.01,0.32 $\pm$ 0.05,0.25 $\pm$ 0.03,0.35 $\pm$ 0.02,0.37 $\pm$ 0.03,0.41 $\pm$ 0.04
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.34 $\pm$ 0.03,0.33 $\pm$ 0.04,0.26 $\pm$ 0.04,0.36 $\pm$ 0.01,0.38 $\pm$ 0.01,0.41 $\pm$ 0.05
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.29 $\pm$ 0.03,0.31 $\pm$ 0.04,0.26 $\pm$ 0.03,0.35 $\pm$ 0.02,0.38 $\pm$ 0.01,0.40 $\pm$ 0.05
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.38 $\pm$ 0.02,0.43 $\pm$ 0.03,0.45 $\pm$ 0.08,0.49 $\pm$ 0.03,0.47 $\pm$ 0.03,0.50 $\pm$ 0.04
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.33 $\pm$ 0.03,0.39 $\pm$ 0.03,0.42 $\pm$ 0.06,0.50 $\pm$ 0.02,0.50 $\pm$ 0.05,0.60 $\pm$ 0.04
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.36 $\pm$ 0.02,0.42 $\pm$ 0.04,0.40 $\pm$ 0.08,0.55 $\pm$ 0.06,0.45 $\pm$ 0.02,0.59 $\pm$ 0.06
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.37 $\pm$ 0.03,0.35 $\pm$ 0.01,0.42 $\pm$ 0.02,0.52 $\pm$ 0.04,0.51 $\pm$ 0.03,0.60 $\pm$ 0.08
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.38 $\pm$ 0.03,0.29 $\pm$ 0.04,0.40 $\pm$ 0.05,0.56 $\pm$ 0.01,0.50 $\pm$ 0.04,0.60 $\pm$ 0.03
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.35 $\pm$ 0.02,0.30 $\pm$ 0.03,0.42 $\pm$ 0.03,0.57 $\pm$ 0.04,0.52 $\pm$ 0.03,0.63 $\pm$ 0.05
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.36 $\pm$ 0.03,0.31 $\pm$ 0.05,0.40 $\pm$ 0.03,0.52 $\pm$ 0.02,0.52 $\pm$ 0.08,0.61 $\pm$ 0.05
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.36 $\pm$ 0.01,0.30 $\pm$ 0.02,0.37 $\pm$ 0.04,0.50 $\pm$ 0.04,0.51 $\pm$ 0.05,0.57 $\pm$ 0.09
