model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.05 $\pm$ 0.01,0.07 $\pm$ 0.03,0.05 $\pm$ 0.02,0.10 $\pm$ 0.03,0.05 $\pm$ 0.03,0.06 $\pm$ 0.05
ComplementNB,RakelD Partitioning of labels,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02,0.04 $\pm$ 0.02,0.05 $\pm$ 0.02,0.06 $\pm$ 0.05,0.06 $\pm$ 0.01
KNN,BorderlineSMOTE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01
KNN,No Upsampling,0.04 $\pm$ 0.03,0.05 $\pm$ 0.03,0.12 $\pm$ 0.03,0.08 $\pm$ 0.02,0.07 $\pm$ 0.02,0.09 $\pm$ 0.03
KNN,Random Oversampling,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00
KNN,SMOTE,0.01 $\pm$ 0.02,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01
KNN,SVMSMOTE,0.00 $\pm$ 0.00,0.03 $\pm$ 0.01,0.03 $\pm$ 0.02,0.03 $\pm$ 0.02,0.04 $\pm$ 0.01,0.04 $\pm$ 0.02
LinearSVM,BorderlineSMOTE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.02 $\pm$ 0.02,0.03 $\pm$ 0.02,0.02 $\pm$ 0.01,0.04 $\pm$ 0.02
LinearSVM,No Upsampling,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02,0.02 $\pm$ 0.01,0.04 $\pm$ 0.02
LinearSVM,RakelD Partitioning of labels,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.07 $\pm$ 0.03
